questionId,url,question,isArchived,department,questionGroup,publicationDate,expiryDate,backgroundInformation,combinedTextLength,topics,fieldsOfResearch,tags,relatedQuestionsCount,relatedUKRIProjectsCount,selectionReasons
1000500,https://ari.org.uk/aris/1000500,How effective are collective redundancy consultations in reducing redundancies and improving labour market outcomes?,false,Department for Business and Trade,Labour Market and Employment Rights,2026-03-18 00:00:00,,"To make work pay and create a resilient labour market that underpins economic growth, we are looking to continuing building the best evidence base to support businesses and people. This applies to employers of and workers with different cost requirements, characteristics, skills, and immigration status. We recognise these factors will have direct impacts on living standards, poverty, wage expectations, and ability to spend or save.

This theme focuses on building a skilled, empowered workforce, essential for inclusive growth and innovation. This in turn will raise living standards, create opportunities for all, through tackling poor working conditions, low pay, and poor job security. We have included questions that relate to driving trends for labour allocation, skills development and retention, technology deployment, and best practise for businesses.

The ability to nurture a strong labour market and support employment rights includes:
- modernising the UK labour market and strengthening employment protections
- entitlement to parental leave, establishing bereavement leave, facilitating flexible working and protection from unfair dismissal
- increasing protection from sexual harassment, identifying gender and menopause action plans, and strengthening rights for pregnant workers
- ensuring security and flexibility for workers and for working families
- empowering workers, trade unions and employers to negotiate fair pay, terms and conditions, and training standards
- increasing employment opportunities for disabled people and people with health conditions, supporting them to thrive as part of a workforce
- strengthening workers’ rights and empowering employees to speak out against unfair processes and helping to remove unnecessary restrictions",1924,[],[],"[""Labour rights, enforcement and industrial relations""]",1,0,background; current; long_text; ukri_zero; department_spread
15376,https://ari.org.uk/aris/15376,"Evaluation and analysis of the commemorations of the Centenary of the First World War. Particular metrics include:
○ Education
○ Engagement
○ Remembrance",true,"Department for Culture, Media & Sport","Culture, Heritage, Tourism, Sport",2018-05-17 00:00:00,,,187,"[""arts, culture, entertainment and media"",""customs and tradition"",""library and museum"",""monument and heritage site"",""society""]","[""education"",""history, heritage and archaeology"",""heritage, archive and museum studies"",""historical studies"",""language, communication and culture""]","[""history"",""commemoration"",""First World War""]",0,10,archived; no_background; short_text; ukri_many; department_spread
725795,https://ari.org.uk/aris/725795,"How can we best develop and inspire our workforces across all our sectors to improve children’s outcomes, informed by the best available evidence?",false,Department for Education,Workforce: performance,2025-04-24 00:00:00,2025-04-24 00:00:00,We are particularly interested in analysis that looks at outcomes in terms of practice improvement.,269,"[""education"",""teachers"",""health"",""labour"",""employment"",""politics"",""local government and authority"",""science and technology"",""society"",""social services""]","[""commerce, management, tourism and services"",""human resources and industrial relations"",""economics"",""education"",""curriculum and pedagogy"",""health sciences"",""human society"",""social work"",""psychology"",""applied and developmental psychology""]","[""evidence-based practice"",""workforce development"",""professional development"",""leadership"",""management"",""childminders"",""early years practitioners"",""foster care"",""academics""]",1,10,background; current; dea_overlap_department; health_related; short_text; ukri_many; department_spread
346191,https://ari.org.uk/aris/346191,We would like to understand the extent to which capital allowance rules and the overall corporate tax burden affects investment decisions in the sector.,false,"Department for Science, Innovation & Technology",Government Office for Life Sciences - Investment - Business environment,2024-02-26 00:00:00,,"The analysis team is responsible for two datasets on life sciences activity in the UK and how it compares with other countries. One of its publications, the Bioscience and health technology sector statistics, is an official statistic and captures a detailed breakdown of where life sciences activity occurs in the UK, as well as key economic indicators such as employment and turnover. The analysis team is also responsible for publishing the Life sciences competitiveness indicators, a publication which tracks UK performance against international comparators. These two publications form the bulk of the evidence base that supports OLS policy making and key facts and figures for stakeholders. One of the ambitions of the team is to expand the range of data collected on activity in the sector to encompass a broader range of economic indicators, including Gross Value Added, R&D spending, Wages, and workforce statistics, among others.

In addition to this critical evidence base, OLS is also interested in key research questions and evidence to support the development of policy for the Life Sciences Missions, a set of disease and intervention areas identified in the Life Sciences Vision as key areas of intervention to help the NHS to solve some of the biggest healthcare problems of our generation. These range from establishing a strong evidence base on incidence and its regional distribution to identifying potential innovative technologies that could address them. Additionally, the analysis team is also very interested in deepening our understanding of the economic impact and possibilities of the broad area of genomics, as well as understanding the economic impacts and societal benefits that accrue from conducting clinical trials and other forms of R&D in the life sciences.

On the regulatory front, OLS would like to expand its understanding of the main regulatory barriers to the approval and roll-out of new, innovative technologies, as well as understanding the costs and benefits associated with these regulations. We have a limited evidence base for some products but would like to expand that understanding to be better able to assess the impact of specific regulatory interventions. We would also like to have more comprehensive data on the introduction and adoption of these technologies across the country and through the NHS.

On the investment front, we are particularly interested in building a more comprehensive evidence base on the determinants of investment in both manufacturing and R&D facilities, and how elements of both the commercial and business environment affects company location and investment decisions.

Finally, we are very interested in developing a more comprehensive understanding of the manufacturing landscape in the UK, from being able to interrogate the pipeline of new products and innovations in development, to establishing the UK’s manufacturing capabilities for health and supply chain resilience, as well as understanding key challenges faced by companies in terms of access to skilled workers and finance across the country.",3309,"[""economy, business and finance"",""business information""]","[""commerce, management, tourism and services"",""accounting, auditing and accountability"",""banking, finance and investment"",""economics"",""applied economics"",""econometrics""]","[""investment"",""corporate tax"",""capital allowance rules"",""business environment""]",1,1,background; current; long_text; ukri_few; department_spread
16032,https://ari.org.uk/aris/16032,"What research methods are capable of estimating which users are not travelling, since the introduction of Covid-19 restrictions? Which journeys might be being foregone or replaced?",true,Department for Transport,Covid-19 pandemic,2021-08-01 01:00:00,,"Build confidence in the transport network as the country
recovers from Covid-19 and improve transport users’
experience, ensuring that the network is safe, reliable, and
inclusive
Context
We must put the needs and expectations of current and potential users at the heart
of the operation of the transport system, especially given the significant impact
Covid-19 has had on both usage and perceptions of public transport. Ensuring that
our infrastructure and the services which use it meet the varied needs of businesses
and the public, are attractive, affordable, sustainable and resilient is a crucial goal for
the department.
Key areas of focus are:
• Building confidence and improving the public transport experience
• Improving the experience for road users
• Building a transport network that works for everyone
• Continually improving the safety, security and resilience of the transport system
The research and evidence needs listed below are integral parts to help deliver our
key areas of focus and address how we make progress against initiatives such as the
National Bus Strategy, William-Shapps Plan for Rail, and the Inclusive Transport
Strategy. This is more important than ever as the risks from COVID-19 reduce,
people build the confidence to return to public transport and new travel patterns
emerge. Social and behavioural science and research is core to the delivery of all our
programmes, including R&D. This is critical to ensure the development and delivery
of policy includes the needs of all groups, especially those often marginalised.",1759,"[""economy, business and finance"",""transport"",""health"",""science and technology"",""social sciences"",""society"",""demographics"",""population and census""]","[""commerce, management, tourism and services"",""transportation, logistics and supply chains"",""human society"",""information and computing sciences""]","[""transport"",""research methods""]",0,2,archived; background; health_related; long_text; ukri_few; department_spread
1114126,https://ari.org.uk/aris/1114126,"What are the safeguarding impacts of different assessment channels for people with complex needs, and which reasonable adjustments most reduce risk without degrading assessment quality?",false,Department for Work and Pensions,"Support disabled people to get into work where possible, providing a safety net to those who cannot",2026-06-19 00:00:00,,,285,"[""health"",""public health"",""politics"",""government policy"",""society"",""disabilities"",""social problem""]","[""health sciences"",""public health"",""human society"",""policy and administration""]","[""safeguarding impacts"",""vulnerable groups"",""service delivery"",""work and health""]",1,2,current; dea_overlap_department; health_related; no_background; short_text; ukri_few
1114127,https://ari.org.uk/aris/1114127,What factors are associated with take-up of Carers Allowance among the eligible population? What are the social/spillover benefits associated with take up of this benefit (e.g. reduced health/care costs)?,false,Department for Work and Pensions,"Support disabled people to get into work where possible, providing a safety net to those who cannot",2026-06-19 00:00:00,,,304,"[""labour"",""social security"",""society"",""family"",""welfare"",""long-term care""]","[""human society"",""policy and administration"",""social work"",""sociology""]","[""Carers Allowance"",""benefit system"",""income support""]",1,0,current; dea_overlap_department; health_related; no_background; short_text; ukri_zero
1114148,https://ari.org.uk/aris/1114148,"For functional assessments, which channel (face to face, video, telephony) yields the best balance of customer understanding, perceived fairness, and assessment accuracy – according to customer segment and need?",false,Department for Work and Pensions,"Deliver high quality, efficient services, ensuring that people are treated with dignity and respect",2026-06-19 00:00:00,,,311,"[""health"",""public health"",""society"",""disabilities"",""welfare""]","[""health sciences"",""public health"",""human society"",""policy and administration"",""evaluation programmes""]","[""customer experience"",""service delivery"",""channel access""]",0,0,current; dea_overlap_department; health_related; no_background; short_text; ukri_zero
1127225,https://ari.org.uk/aris/1127225,"How can DWP best support people (particularly young people at greatest risk of becoming NEET [not in employment, education or training]) to transition from education into further education, training, or employment?",false,Department for Work and Pensions,"Enable people to get into work, improve skills, support young people and boost employment and productivity",2026-06-19 00:00:00,,,321,"[""education"",""labour"",""employment"",""wages and benefits"",""labour market"",""unemployment"",""society"",""teenagers""]","[""economics"",""education"",""human society"",""policy and administration"",""sociology""]","[""youth"",""NEET"",""employment support"",""skills training"",""job entry""]",1,0,current; dea_overlap_department; no_background; short_text; ukri_zero
345084,https://ari.org.uk/aris/345084,"ARI 3: shaping and supporting the health and social care workforce of the future

Research objective: Research to optimise a public health, NHS, social care and wider health workforce that is effectively structured, trained, deployed and supported to deliver future effective and efficient models of healthcare which meet the needs of the UK’s ageing population.

Priority research topics: Developing future models of healthcare which effectively and efficiently meet the changing needs of the UK population. Developing, evaluating and understanding how to implement interventions to enable a diverse health and care workforce to deliver world-class care while addressing the current recruitment, retention and wellbeing issues such as:
- understanding the barriers to recruiting and retaining staff in the NHS and social care and identifying solutions including supporting wellbeing
- identifying how to structure the workforce to meet future health needs and how to drive cultural and behavioural change within organisations
- developing and evaluating interventions to increase the efficiency and effectiveness of staff (for example, skills-mix, task-shifting and service integration)
- developing and evaluating technology-assisted workforce solutions to reduce burden on staff while maintaining patient outcomes (for example, diagnoses assisted by artificial intelligence, robotics to support surgery and care, remote monitoring of patients including hospital at home and virtual wards)",true,Department of Health and Social Care,DHSC's areas of research interest,2023-01-25 00:00:00,,"4.3% of the UK population is expected to be aged 85 or over by 2045. As healthy life expectancy has not increased at the same rate, more years are now being spent in poor health, driving demand for health and social care services.

The health and social care workforce are struggling to meet this increased demand. For example, the overall vacancy rate in adult social care was 10.7% in 2021 to 2022, while NHS vacancy rates were 11.9% in September 2021 compared to the labour market average of 4.2%. Staff turnover in adult social care was 29% in 2021 to 2022 with fewer people joining the workforce each year. The Health Foundation recently identified an overall workforce supply-demand gap of around 103,000 full-time equivalent (FTE) posts across the NHS and general practice in 2021 to 2022 (around 7% of estimated FTE workforce demand) and a 1 in 4 shortfall in GP and general practice nurse posts by 2030 to 2031.

Research into new and more efficient models of care with a focus on prevention, combined with understanding how the health and social care workforce can be trained and supported to deliver them, are required to deliver high quality care more efficiently.",2698,"[""health"",""government health care"",""health facility"",""hospital"",""labour"",""employment"",""science and technology"",""society"",""demographics"",""social condition""]","[""biomedical and clinical sciences"",""engineering"",""health sciences"",""health services and systems"",""public health"",""human society"",""policy and administration"",""information and computing sciences"",""applied computing"",""artificial intelligence""]","[""healthcare workforce"",""recruitment"",""retention"",""wellbeing"",""workforce structure"",""cultural change"",""efficiency"",""effectiveness"",""technology-assisted workforce solutions""]",1,10,archived; background; health_related; long_text; ukri_many; department_spread
