figure_id,role,population,dimension,source_table_id,source_row_key,quantity,series,label,source_value_string,plot_value,interval_lower_string,interval_lower,interval_upper_string,interval_upper,estimate_status,interval_status,interval_method,confidence_level_wording,sample_size_string,sample_size,sample_unit,support_band,exported_caution,unavailable_reason,human_majority_positive_n_string,human_majority_positive_n,model_positive_n_string,model_positive_n,fp_string,fp,fn_string,fn,performance_metrics_reportable,pair_family,relation,eligible_pairs_string,eligible_pairs,pair_count_string,pair_count,empty_set_pairs_string,empty_set_pairs,nonempty_proportion_status
figure_5,unavailable,baseline,Research Domains,disagreement_type_distribution.csv,human_human:both_empty,both_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,human_human,both_empty,220,220,0,0,0,0,not_applicable
figure_5,unavailable,baseline,Research Domains,disagreement_type_distribution.csv,human_human:exactly_one_empty,exactly_one_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,human_human,exactly_one_empty,220,220,0,0,0,0,not_applicable
figure_5,unavailable,baseline,Research Domains,disagreement_type_distribution.csv,human_human:identical,identical,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,human_human,identical,220,220,230,230,0,0,not_applicable
figure_5,plotted,baseline,Research Domains,disagreement_type_distribution.csv,human_human:containment,containment,relation_proportion,,0.47727272727272729,0.47727272727272729,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,human_human,containment,220,220,105,105,0,0,reported
figure_5,plotted,baseline,Research Domains,disagreement_type_distribution.csv,human_human:overlap,overlap,relation_proportion,,0.050000000000000003,0.050000000000000003,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,human_human,overlap,220,220,11,11,0,0,reported
figure_5,plotted,baseline,Research Domains,disagreement_type_distribution.csv,human_human:disjoint,disjoint,relation_proportion,,0.47272727272727272,0.47272727272727272,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,human_human,disjoint,220,220,104,104,0,0,reported
figure_5,unavailable,baseline,Research Domains,disagreement_type_distribution.csv,model_human:both_empty,both_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,model_human,both_empty,199,199,0,0,0,0,not_applicable
figure_5,unavailable,baseline,Research Domains,disagreement_type_distribution.csv,model_human:exactly_one_empty,exactly_one_empty,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,model_human,exactly_one_empty,199,199,0,0,0,0,not_applicable
figure_5,unavailable,baseline,Research Domains,disagreement_type_distribution.csv,model_human:identical,identical,relation_proportion,,,,,,,,N,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,Proportion status is not_applicable; source does not report a plottable proportion.,,,,,,,,,,model_human,identical,199,199,251,251,0,0,not_applicable
figure_5,plotted,baseline,Research Domains,disagreement_type_distribution.csv,model_human:containment,containment,relation_proportion,,0.51758793969849248,0.51758793969849248,,,,,R,A,,interval unavailable in source,150 records; 450 pairs classified,150,records,,,,,,,,,,,,,model_human,containment,199,199,103,103,0,0,reported
