deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note
Table 1,tabulated,baseline,Research Domains,Business & Productivity,1,kappa,kappa,C01 versus C02,analysis/scratch_coder_results/results.md,S5T005,S5,Business & Productivity; C01 versus C02,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.7548485508825453,0.7548485508825453,0.6280430615742347,0.6280430615742347,0.8587820063598938,0.8587820063598938,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,41,STANDARD,False,True,True,,,
Table 1,tabulated,baseline,Research Domains,Business & Productivity,1,kappa,kappa,C01 versus C03,analysis/scratch_coder_results/results.md,S5T005,S5,Business & Productivity; C01 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.6776747342230264,0.6776747342230264,0.5384615384615385,0.5384615384615385,0.8050106357835026,0.8050106357835026,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,41,STANDARD,False,True,True,,,
Table 1,tabulated,baseline,Research Domains,Business & Productivity,1,kappa,kappa,C02 versus C03,analysis/scratch_coder_results/results.md,S5T005,S5,Business & Productivity; C02 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.7397124442240951,0.7397124442240951,0.5884895039140732,0.5884895039140732,0.8524078557913144,0.8524078557913144,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,41,STANDARD,False,True,True,,,
Table 1,tabulated,baseline,Research Domains,Business & Productivity,1,kappa,kappa,Fable 5 versus C01,analysis/scratch_coder_results/results.md,S5T005,S5,Business & Productivity; Fable 5 versus C01,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.7805642633228839,0.7805642633228839,0.6681391134305029,0.6681391134305029,0.8822605965463108,0.8822605965463108,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,41,STANDARD,False,True,True,,,
Table 1,tabulated,baseline,Research Domains,Business & Productivity,1,kappa,kappa,Fable 5 versus C02,analysis/scratch_coder_results/results.md,S5T005,S5,Business & Productivity; Fable 5 versus C02,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.8504983388704318,0.8504983388704318,0.7450886957914548,0.7450886957914548,0.9348754008859266,0.9348754008859266,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,41,STANDARD,False,True,True,,,
Table 1,tabulated,baseline,Research Domains,Business & Productivity,1,kappa,kappa,Fable 5 versus C03,analysis/scratch_coder_results/results.md,S5T005,S5,Business & Productivity; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.7750865051903114,0.7750865051903114,0.6499777250438277,0.6499777250438277,0.878048780487805,0.878048780487805,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,41,STANDARD,False,True,True,,,
Table 1,tabulated,baseline,Research Domains,Crime & Justice,2,kappa,kappa,C01 versus C02,analysis/scratch_coder_results/results.md,S5T009,S5,Crime & Justice; C01 versus C02; C01 versus C03; C02 versus C03; Fable 5 versus C01; Fable 5 versus C02; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,150 records,150,records,4,RARE,False,False,False,,Intentionally withheld by the source reporting rule.,
Table 1,tabulated,baseline,Research Domains,Crime & Justice,2,kappa,kappa,C01 versus C03,analysis/scratch_coder_results/results.md,S5T009,S5,Crime & Justice; C01 versus C02; C01 versus C03; C02 versus C03; Fable 5 versus C01; Fable 5 versus C02; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,150 records,150,records,4,RARE,False,False,False,,Intentionally withheld by the source reporting rule.,
Table 1,tabulated,baseline,Research Domains,Crime & Justice,2,kappa,kappa,C02 versus C03,analysis/scratch_coder_results/results.md,S5T009,S5,Crime & Justice; C01 versus C02; C01 versus C03; C02 versus C03; Fable 5 versus C01; Fable 5 versus C02; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,150 records,150,records,4,RARE,False,False,False,,Intentionally withheld by the source reporting rule.,
Table 1,tabulated,baseline,Research Domains,Crime & Justice,2,kappa,kappa,Fable 5 versus C01,analysis/scratch_coder_results/results.md,S5T009,S5,Crime & Justice; C01 versus C02; C01 versus C03; C02 versus C03; Fable 5 versus C01; Fable 5 versus C02; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,150 records,150,records,4,RARE,False,False,False,,Intentionally withheld by the source reporting rule.,
