deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Supplementary Table S1c,tabulated,baseline,Analytical Purposes,No agreed label,1,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,baseline|Analytical Purposes|majority_set_size|size_0,count; denominator; approved derivation,24,24,16,16,,,R,N,,,,150,150,records,,,,,,,,,G12.2,"{""records"": 150, ""source_count"": 24}",,16
Supplementary Table S1c,tabulated,baseline,Analytical Purposes,Agreed only on Unclear,2,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,baseline|Analytical Purposes|unclear_composition|unclear_present__substantive_absent,count; denominator; approved derivation,26,26,17,17,,,R,N,,,,150,150,records,,,,,,,,,G12.2,"{""records"": 150, ""source_count"": 26}",,17
Supplementary Table S1c,tabulated,baseline,Analytical Purposes,1 agreed label,3,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,G.12 derivation 1,G.12,size_1 123 minus Unclear-only 26,count; denominator; approved derivation,97,97,65,65,,,R,N,,,,150,150,records,,,,,,,,,G12.1; G12.2,"{""percentage_count"": 97, ""records"": 150, ""size_1"": 123, ""unclear_and_substantive"": 0, ""unclear_only"": 26}",,65
Supplementary Table S1c,tabulated,baseline,Analytical Purposes,2 agreed labels,4,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,baseline|Analytical Purposes|majority_set_size|size_2,count; denominator; approved derivation,3,3,2,2,,,R,N,,,,150,150,records,,,,,,,,,G12.2,"{""records"": 150, ""source_count"": 3}",,2
Supplementary Table S1c,tabulated,baseline,Analytical Purposes,3 agreed labels,5,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,baseline|Analytical Purposes|majority_set_size|size_3,count; denominator; approved derivation,0,0,0,0,,,R,N,,,,150,150,records,,,,,,,,,G12.2,"{""records"": 150, ""source_count"": 0}",,0
Supplementary Table S1c,tabulated,baseline,Research Domains,No agreed label,1,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,baseline|Research Domains|majority_set_size|size_0,count; denominator; approved derivation,5,5,3,3,,,R,N,,,,150,150,records,,,,,,,,,G12.2,"{""records"": 150, ""source_count"": 5}",,3
Supplementary Table S1c,tabulated,baseline,Research Domains,Agreed only on Unclear,2,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,baseline|Research Domains|unclear_composition|unclear_present__substantive_absent,count; denominator; approved derivation,13,13,9,9,,,R,N,,,,150,150,records,,,,,,,,,G12.2,"{""records"": 150, ""source_count"": 13}",,9
Supplementary Table S1c,tabulated,baseline,Research Domains,1 agreed label,3,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,G.12 derivation 1,G.12,size_1 120 minus Unclear-only 13,count; denominator; approved derivation,107,107,71,71,,,R,N,,,,150,150,records,,,,,,,,,G12.1; G12.2,"{""percentage_count"": 107, ""records"": 150, ""size_1"": 120, ""unclear_and_substantive"": 0, ""unclear_only"": 13}",,71
Supplementary Table S1c,tabulated,baseline,Research Domains,2 agreed labels,4,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,baseline|Research Domains|majority_set_size|size_2,count; denominator; approved derivation,22,22,15,15,,,R,N,,,,150,150,records,,,,,,,,,G12.2,"{""records"": 150, ""source_count"": 22}",,15
Supplementary Table S1c,tabulated,baseline,Research Domains,3 agreed labels,5,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,baseline|Research Domains|majority_set_size|size_3,count; denominator; approved derivation,3,3,2,2,,,R,N,,,,150,150,records,,,,,,,,,G12.2,"{""records"": 150, ""source_count"": 3}",,2
Supplementary Table S1c,tabulated,hard_case,Analytical Purposes,No agreed label,1,agreed labels,count and whole percentage,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,G.12,hard_case|Analytical Purposes|majority_set_size|size_0,count; denominator; approved derivation,9,9,12,12,,,R,N,,,,75,75,records,,,,,,,,,G12.2,"{""records"": 75, ""source_count"": 9}",,12
