deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Figure 3,plotted,baseline,Research Domains,Business & Productivity,1,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Business & Productivity,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,41,41,45,45,,,R,N,R/N,,,150 baseline records,150,baseline,41,STANDARD,False,True,True,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,Crime & Justice,2,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Crime & Justice,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,4,4,4,4,,,R,N,R/N,,,150 baseline records,150,baseline,4,RARE,False,False,False,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,Data Infrastructure & Methodology,3,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Data Infrastructure & Methodology,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,0,0,4,4,,,R,N,R/N,,,150 baseline records,150,baseline,0,RARE,False,False,False,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,Education & Skills,4,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Education & Skills,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,27,27,35,35,,,R,N,R/N,,,150 baseline records,150,baseline,27,LOW SUPPORT,True,True,True,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,Environment & Agriculture,5,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Environment & Agriculture,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,4,4,10,10,,,R,N,R/N,,,150 baseline records,150,baseline,4,RARE,False,False,False,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,Health & Social Care,6,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Health & Social Care,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,23,23,25,25,,,R,N,R/N,,,150 baseline records,150,baseline,23,LOW SUPPORT,True,True,True,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,Housing & Planning,7,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Housing & Planning,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,0,0,1,1,,,R,N,R/N,,,150 baseline records,150,baseline,0,RARE,False,False,False,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,Labour Market & Employment,8,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Labour Market & Employment,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,39,39,56,56,,,R,N,R/N,,,150 baseline records,150,baseline,39,STANDARD,False,True,True,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,Migration & Demographics,9,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,Migration & Demographics,S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,9,9,6,6,,,R,N,R/N,,,150 baseline records,150,baseline,9,RARE,False,False,False,,,x=human-majority-positive count; y=model-positive count,,,,
Figure 3,plotted,baseline,Research Domains,"Poverty, Wealth & Living Standards",10,label counts,human/model positive counts,,analysis/scratch_coder_results/results.md,S5T001,S5,"Poverty, Wealth & Living Standards",S5T001/S5T002 baseline_human_majority_positive_n and baseline_model_positive_n; exact keyed check against S5T003/S5T004,11,11,10,10,,,R,N,R/N,,,150 baseline records,150,baseline,11,LOW SUPPORT,True,True,True,,,x=human-majority-positive count; y=model-positive count,,,,
