strategy,selection_step,owner_total_eligible_projects,marginal_unique_projects,cumulative_unique_projects,cumulative_coverage_pct
total_project_count,0,,,0,0.0
total_project_count,1,20,20,20,1.769912
total_project_count,2,17,17,37,3.274336
total_project_count,3,12,12,49,4.336283
total_project_count,4,12,2,51,4.513274
total_project_count,5,12,7,58,5.132743
total_project_count,6,12,12,70,6.19469
total_project_count,7,11,0,70,6.19469
total_project_count,8,10,10,80,7.079646
total_project_count,9,10,3,83,7.345133
total_project_count,10,9,9,92,8.141593
total_project_count,11,9,9,101,8.938053
total_project_count,12,9,1,102,9.026549
total_project_count,13,8,8,110,9.734513
total_project_count,14,8,0,110,9.734513
total_project_count,15,8,0,110,9.734513
total_project_count,16,8,4,114,10.088496
total_project_count,17,8,6,120,10.619469
total_project_count,18,8,7,127,11.238938
total_project_count,19,7,7,134,11.858407
total_project_count,20,7,0,134,11.858407
total_project_count,21,7,6,140,12.389381
total_project_count,22,7,7,147,13.00885
total_project_count,23,7,0,147,13.00885
total_project_count,24,7,5,152,13.451327
total_project_count,25,7,7,159,14.070796
greedy_marginal_coverage,0,,,0,0.0
greedy_marginal_coverage,1,20,20,20,1.769912
greedy_marginal_coverage,2,17,17,37,3.274336
greedy_marginal_coverage,3,12,12,49,4.336283
greedy_marginal_coverage,4,12,12,61,5.39823
greedy_marginal_coverage,5,10,10,71,6.283186
greedy_marginal_coverage,6,9,9,80,7.079646
greedy_marginal_coverage,7,9,9,89,7.876106
greedy_marginal_coverage,8,8,8,97,8.584071
greedy_marginal_coverage,9,12,7,104,9.20354
greedy_marginal_coverage,10,8,7,111,9.823009
greedy_marginal_coverage,11,7,7,118,10.442478
greedy_marginal_coverage,12,7,7,125,11.061947
greedy_marginal_coverage,13,7,7,132,11.681416
greedy_marginal_coverage,14,7,7,139,12.300885
greedy_marginal_coverage,15,7,7,146,12.920354
greedy_marginal_coverage,16,8,6,152,13.451327
greedy_marginal_coverage,17,7,6,158,13.982301
greedy_marginal_coverage,18,6,6,164,14.513274
greedy_marginal_coverage,19,6,6,170,15.044248
greedy_marginal_coverage,20,6,6,176,15.575221
greedy_marginal_coverage,21,6,6,182,16.106195
greedy_marginal_coverage,22,6,6,188,16.637168
greedy_marginal_coverage,23,7,5,193,17.079646
greedy_marginal_coverage,24,7,5,198,17.522124
greedy_marginal_coverage,25,6,5,203,17.964602
