deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note
Table 4,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,contingency,tp,,analysis/scratch_coder_results/results.md,S5T004,S5,Descriptive Monitoring,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,26,26,,,,,R,N,R/N,,,150 records,150,records,36,STANDARD,False,True,True,True,,
Table 4,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,contingency,fp,,analysis/scratch_coder_results/results.md,S5T004,S5,Descriptive Monitoring,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,26,26,,,,,R,N,R/N,,,150 records,150,records,36,STANDARD,False,True,True,True,,
Table 4,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,contingency,fn,,analysis/scratch_coder_results/results.md,S5T004,S5,Descriptive Monitoring,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,10,10,,,,,R,N,R/N,,,150 records,150,records,36,STANDARD,False,True,True,True,,
Table 4,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,contingency,tn,,analysis/scratch_coder_results/results.md,S5T004,S5,Descriptive Monitoring,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,88,88,,,,,R,N,R/N,,,150 records,150,records,36,STANDARD,False,True,True,True,,
Table 4,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,performance,precision,,analysis/scratch_coder_results/results.md,S5T008,S5,Descriptive Monitoring,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.5,0.5,0.36666666666666664,0.36666666666666664,0.6389166666666665,0.6389166666666665,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,52 model-positive records (precision denominator),52,model-positive,36,STANDARD,False,True,True,True,,
Table 4,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,performance,recall,,analysis/scratch_coder_results/results.md,S5T008,S5,Descriptive Monitoring,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.7222222222222222,0.7222222222222222,0.5675675675675675,0.5675675675675675,0.8611111111111112,0.8611111111111112,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,36 human-majority-positive records (recall denominator),36,human-majority-positive,36,STANDARD,False,True,True,True,,
Table 4,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,performance,f1,,analysis/scratch_coder_results/results.md,S5T008,S5,Descriptive Monitoring,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.5909090909090908,0.5909090909090908,0.46336772983114444,0.46336772983114444,0.698825301204819,0.698825301204819,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,TP=26; FP=26; FN=10; denominator: precision+recall (source harmonic-mean definition); resulting denominator not separately exported,,,36,STANDARD,False,True,True,True,,
Table 4,tabulated,baseline,Analytical Purposes,Life-Course / Trajectory Analysis,2,contingency,tp,,analysis/scratch_coder_results/results.md,S5T004,S5,Life-Course / Trajectory Analysis,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,3,3,,,,,R,N,R/N,,,150 records,150,records,9,RARE,False,False,False,False,,
Table 4,tabulated,baseline,Analytical Purposes,Life-Course / Trajectory Analysis,2,contingency,fp,,analysis/scratch_coder_results/results.md,S5T004,S5,Life-Course / Trajectory Analysis,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,8,8,,,,,R,N,R/N,,,150 records,150,records,9,RARE,False,False,False,False,,
Table 4,tabulated,baseline,Analytical Purposes,Life-Course / Trajectory Analysis,2,contingency,fn,,analysis/scratch_coder_results/results.md,S5T004,S5,Life-Course / Trajectory Analysis,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,6,6,,,,,R,N,R/N,,,150 records,150,records,9,RARE,False,False,False,False,,
