deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Supplementary Figure S2,plotted,baseline,Register-entry information,Sufficient,1,Register-entry information,category count,C01,analysis/scratch_coder_results/results.md,S8T001,S8,C01; Sufficient,Estimate / count / flag (count and proportion rows),107,107,0.7133333333333334,0.7133333333333334,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Partially sufficient,2,Register-entry information,category count,C01,analysis/scratch_coder_results/results.md,S8T001,S8,C01; Partially sufficient,Estimate / count / flag (count and proportion rows),39,39,0.26,0.26,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Insufficient,3,Register-entry information,category count,C01,analysis/scratch_coder_results/results.md,S8T001,S8,C01; Insufficient,Estimate / count / flag (count and proportion rows),4,4,0.02666666666666667,0.02666666666666667,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Sufficient,1,Register-entry information,category count,C02,analysis/scratch_coder_results/results.md,S8T001,S8,C02; Sufficient,Estimate / count / flag (count and proportion rows),96,96,0.64,0.64,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Partially sufficient,2,Register-entry information,category count,C02,analysis/scratch_coder_results/results.md,S8T001,S8,C02; Partially sufficient,Estimate / count / flag (count and proportion rows),48,48,0.32,0.32,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Insufficient,3,Register-entry information,category count,C02,analysis/scratch_coder_results/results.md,S8T001,S8,C02; Insufficient,Estimate / count / flag (count and proportion rows),6,6,0.04,0.04,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Sufficient,1,Register-entry information,category count,C03,analysis/scratch_coder_results/results.md,S8T001,S8,C03; Sufficient,Estimate / count / flag (count and proportion rows),59,59,0.3933333333333333,0.3933333333333333,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Partially sufficient,2,Register-entry information,category count,C03,analysis/scratch_coder_results/results.md,S8T001,S8,C03; Partially sufficient,Estimate / count / flag (count and proportion rows),89,89,0.5933333333333334,0.5933333333333334,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Insufficient,3,Register-entry information,category count,C03,analysis/scratch_coder_results/results.md,S8T001,S8,C03; Insufficient,Estimate / count / flag (count and proportion rows),2,2,0.013333333333333334,0.013333333333333334,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Register-entry information,Sufficient,1,Register-entry information,category count,Majority of coders,analysis/scratch_coder_results/results.md,S8T003,S8,Sufficient,Estimate / count / flag (count and proportion rows),92,92,0.6133333333333333,0.6133333333333333,,,R,N,R/N,,,150 records,150,records,,,,,,,,,,,,
