deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Supplementary Table S2,tabulated,baseline,Research Domains,,,human_human,both_empty,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|human_human|both_empty,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,0,0,,,,,R,not_applicable,not_applicable,,,220,150,pair units,,,,,,,Proportion not applicable to this relation.,"{""all_nonidentical_pairs"": ""220"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""220"", ""total_pairs_classified"": ""450""}",,,,
Supplementary Table S2,tabulated,baseline,Research Domains,,,human_human,exactly_one_empty,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|human_human|exactly_one_empty,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,0,0,,,,,R,not_applicable,not_applicable,,,220,150,pair units,,,,,,,Proportion not applicable to this relation.,"{""all_nonidentical_pairs"": ""220"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""220"", ""total_pairs_classified"": ""450""}",,,,
Supplementary Table S2,tabulated,baseline,Research Domains,,,human_human,containment,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|human_human|containment,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,105,105,0.47727272727272729,0.47727272727272729,,,R,reported,reported,,,220,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""220"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""220"", ""total_pairs_classified"": ""450""}",,,,48
Supplementary Table S2,tabulated,baseline,Research Domains,,,human_human,overlap,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|human_human|overlap,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,11,11,0.050000000000000003,0.050000000000000003,,,R,reported,reported,,,220,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""220"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""220"", ""total_pairs_classified"": ""450""}",,,,5
Supplementary Table S2,tabulated,baseline,Research Domains,,,human_human,disjoint,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|human_human|disjoint,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,104,104,0.47272727272727272,0.47272727272727272,,,R,reported,reported,,,220,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""220"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""220"", ""total_pairs_classified"": ""450""}",,,,47
Supplementary Table S2,tabulated,baseline,Research Domains,,,model_human,both_empty,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|model_human|both_empty,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,0,0,,,,,R,not_applicable,not_applicable,,,199,150,pair units,,,,,,,Proportion not applicable to this relation.,"{""all_nonidentical_pairs"": ""199"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""199"", ""total_pairs_classified"": ""450""}",,,,
Supplementary Table S2,tabulated,baseline,Research Domains,,,model_human,exactly_one_empty,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|model_human|exactly_one_empty,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,0,0,,,,,R,not_applicable,not_applicable,,,199,150,pair units,,,,,,,Proportion not applicable to this relation.,"{""all_nonidentical_pairs"": ""199"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""199"", ""total_pairs_classified"": ""450""}",,,,
Supplementary Table S2,tabulated,baseline,Research Domains,,,model_human,containment,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|model_human|containment,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,103,103,0.51758793969849248,0.51758793969849248,,,R,reported,reported,,,199,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""199"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""199"", ""total_pairs_classified"": ""450""}",,,,52
Supplementary Table S2,tabulated,baseline,Research Domains,,,model_human,overlap,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|model_human|overlap,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,16,16,0.080402010050251257,0.080402010050251257,,,R,reported,reported,,,199,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""199"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""199"", ""total_pairs_classified"": ""450""}",,,,8
Supplementary Table S2,tabulated,baseline,Research Domains,,,model_human,disjoint,,analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv,disagreement_type_distribution.csv,baseline distribution,baseline|Research Domains|model_human|disjoint,count; proportion_of_nonidentical_nonempty_pairs; denominators; empty_set_involved_pairs,80,80,0.4020100502512563,0.4020100502512563,,,R,reported,reported,,,199,150,pair units,,,,,,,,"{""all_nonidentical_pairs"": ""199"", ""eligible_records"": ""150"", ""empty_set_involved_pairs"": ""0"", ""nonidentical_nonempty_pairs"": ""199"", ""total_pairs_classified"": ""450""}",,,,40
