deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Table 2,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,kappa,kappa,C01 versus C02,analysis/scratch_coder_results/results.md,S5T006,S5,Descriptive Monitoring; C01 versus C02,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.42424242424242425,0.42424242424242425,0.2718003685068386,0.2718003685068386,0.5663150804674348,0.5663150804674348,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,36,STANDARD,False,True,True,,,,,,Applied by coder majority to 30 or more records,
Table 2,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,kappa,kappa,C01 versus C03,analysis/scratch_coder_results/results.md,S5T006,S5,Descriptive Monitoring; C01 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.3152972611890448,0.3152972611890448,0.14891277656953927,0.14891277656953927,0.4705963280846289,0.4705963280846289,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,36,STANDARD,False,True,True,,,,,,Applied by coder majority to 30 or more records,
Table 2,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,kappa,kappa,C02 versus C03,analysis/scratch_coder_results/results.md,S5T006,S5,Descriptive Monitoring; C02 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.2950819672131146,0.2950819672131146,0.13169319826338638,0.13169319826338638,0.4465610094558955,0.4465610094558955,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,36,STANDARD,False,True,True,,,,,,Applied by coder majority to 30 or more records,
Table 2,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,kappa,kappa,Fable 5 versus C01,analysis/scratch_coder_results/results.md,S5T006,S5,Descriptive Monitoring; Fable 5 versus C01,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.3105515587529976,0.3105515587529976,0.15199921577160383,0.15199921577160383,0.46462249814325823,0.46462249814325823,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,36,STANDARD,False,True,True,,,,,,Applied by coder majority to 30 or more records,
Table 2,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,kappa,kappa,Fable 5 versus C02,analysis/scratch_coder_results/results.md,S5T006,S5,Descriptive Monitoring; Fable 5 versus C02,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.5544554455445545,0.5544554455445545,0.39924770892595524,0.39924770892595524,0.6901993144849261,0.6901993144849261,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,36,STANDARD,False,True,True,,,,,,Applied by coder majority to 30 or more records,
Table 2,tabulated,baseline,Analytical Purposes,Descriptive Monitoring,1,kappa,kappa,Fable 5 versus C03,analysis/scratch_coder_results/results.md,S5T006,S5,Descriptive Monitoring; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.21120412105602043,0.21120412105602043,0.0533444590316672,0.0533444590316672,0.3566263823686441,0.3566263823686441,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,150 records,150,records,36,STANDARD,False,True,True,,,,,,Applied by coder majority to 30 or more records,
Table 2,tabulated,baseline,Analytical Purposes,Life-Course / Trajectory Analysis,2,kappa,kappa,C01 versus C02,analysis/scratch_coder_results/results.md,S5T010,S5,Life-Course / Trajectory Analysis; C01 versus C02; C01 versus C03; C02 versus C03; Fable 5 versus C01; Fable 5 versus C02; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,150 records,150,records,9,RARE,False,False,False,,Intentionally withheld by the source reporting rule.,,,,Applied by coder majority to fewer than 10 records: counts only,
Table 2,tabulated,baseline,Analytical Purposes,Life-Course / Trajectory Analysis,2,kappa,kappa,C01 versus C03,analysis/scratch_coder_results/results.md,S5T010,S5,Life-Course / Trajectory Analysis; C01 versus C02; C01 versus C03; C02 versus C03; Fable 5 versus C01; Fable 5 versus C02; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,150 records,150,records,9,RARE,False,False,False,,Intentionally withheld by the source reporting rule.,,,,Applied by coder majority to fewer than 10 records: counts only,
Table 2,tabulated,baseline,Analytical Purposes,Life-Course / Trajectory Analysis,2,kappa,kappa,C02 versus C03,analysis/scratch_coder_results/results.md,S5T010,S5,Life-Course / Trajectory Analysis; C01 versus C02; C01 versus C03; C02 versus C03; Fable 5 versus C01; Fable 5 versus C02; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,150 records,150,records,9,RARE,False,False,False,,Intentionally withheld by the source reporting rule.,,,,Applied by coder majority to fewer than 10 records: counts only,
Table 2,tabulated,baseline,Analytical Purposes,Life-Course / Trajectory Analysis,2,kappa,kappa,Fable 5 versus C01,analysis/scratch_coder_results/results.md,S5T010,S5,Life-Course / Trajectory Analysis; C01 versus C02; C01 versus C03; C02 versus C03; Fable 5 versus C01; Fable 5 versus C02; Fable 5 versus C03,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,150 records,150,records,9,RARE,False,False,False,,Intentionally withheld by the source reporting rule.,,,,Applied by coder majority to fewer than 10 records: counts only,
