deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Table 3,tabulated,baseline,Research Domains,Business & Productivity,1,contingency,tp,,analysis/scratch_coder_results/results.md,S5T003,S5,Business & Productivity,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,40,40,,,,,R,N,R/N,,,150 records,150,records,41,STANDARD,False,True,True,True,,,,,30 or more records,
Table 3,tabulated,baseline,Research Domains,Business & Productivity,1,contingency,fp,,analysis/scratch_coder_results/results.md,S5T003,S5,Business & Productivity,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,5,5,,,,,R,N,R/N,,,150 records,150,records,41,STANDARD,False,True,True,True,,,,,30 or more records,
Table 3,tabulated,baseline,Research Domains,Business & Productivity,1,contingency,fn,,analysis/scratch_coder_results/results.md,S5T003,S5,Business & Productivity,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,1,1,,,,,R,N,R/N,,,150 records,150,records,41,STANDARD,False,True,True,True,,,,,30 or more records,
Table 3,tabulated,baseline,Research Domains,Business & Productivity,1,contingency,tn,,analysis/scratch_coder_results/results.md,S5T003,S5,Business & Productivity,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,104,104,,,,,R,N,R/N,,,150 records,150,records,41,STANDARD,False,True,True,True,,,,,30 or more records,
Table 3,tabulated,baseline,Research Domains,Business & Productivity,1,performance,precision,,analysis/scratch_coder_results/results.md,S5T007,S5,Business & Productivity,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.8888888888888888,0.8888888888888888,0.7872340425531915,0.7872340425531915,0.9750152439024389,0.9750152439024389,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,45 model-positive records (precision denominator),45,model-positive,41,STANDARD,False,True,True,True,,,,,30 or more records,
Table 3,tabulated,baseline,Research Domains,Business & Productivity,1,performance,recall,,analysis/scratch_coder_results/results.md,S5T007,S5,Business & Productivity,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.975609756097561,0.975609756097561,0.9166666666666666,0.9166666666666666,1.0,1.0,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,41 human-majority-positive records (recall denominator),41,human-majority-positive,41,STANDARD,False,True,True,True,,,,,30 or more records,
Table 3,tabulated,baseline,Research Domains,Business & Productivity,1,performance,f1,,analysis/scratch_coder_results/results.md,S5T007,S5,Business & Productivity,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.9302325581395349,0.9302325581395349,0.8641975308641975,0.8641975308641975,0.9777898550724636,0.9777898550724636,R,R,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,bootstrap_percentile,95%,TP=40; FP=5; FN=1; denominator: precision+recall (source harmonic-mean definition); resulting denominator not separately exported,,,41,STANDARD,False,True,True,True,,,,,30 or more records,
Table 3,tabulated,baseline,Research Domains,Crime & Justice,2,contingency,tp,,analysis/scratch_coder_results/results.md,S5T003,S5,Crime & Justice,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,4,4,,,,,R,N,R/N,,,150 records,150,records,4,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Crime & Justice,2,contingency,fp,,analysis/scratch_coder_results/results.md,S5T003,S5,Crime & Justice,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0,0,,,,,R,N,R/N,,,150 records,150,records,4,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Crime & Justice,2,contingency,fn,,analysis/scratch_coder_results/results.md,S5T003,S5,Crime & Justice,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0,0,,,,,R,N,R/N,,,150 records,150,records,4,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
