Year,domain,count,total,pct_of_projects
2019,Business & Productivity,6,22,27.3
2019,Crime & Justice,1,22,4.5
2019,Data Infrastructure & Methodology,2,22,9.1
2019,Education & Skills,1,22,4.5
2019,Health & Social Care,5,22,22.7
2019,Housing & Planning,4,22,18.2
2019,Labour Market & Employment,5,22,22.7
2019,Migration & Demographics,2,22,9.1
2019,"Poverty, Wealth & Living Standards",1,22,4.5
2020,Business & Productivity,55,120,45.8
2020,Crime & Justice,6,120,5.0
2020,Data Infrastructure & Methodology,2,120,1.7
2020,Education & Skills,11,120,9.2
2020,Environment & Agriculture,6,120,5.0
2020,Health & Social Care,18,120,15.0
2020,Housing & Planning,5,120,4.2
2020,Labour Market & Employment,32,120,26.7
2020,Migration & Demographics,14,120,11.7
2020,"Poverty, Wealth & Living Standards",7,120,5.8
2020,Public Finance & Taxation,5,120,4.2
2021,Business & Productivity,51,160,31.9
2021,Crime & Justice,8,160,5.0
2021,Data Infrastructure & Methodology,9,160,5.6
2021,Education & Skills,12,160,7.5
2021,Environment & Agriculture,15,160,9.4
2021,Health & Social Care,33,160,20.6
2021,Housing & Planning,4,160,2.5
2021,Labour Market & Employment,51,160,31.9
2021,Migration & Demographics,9,160,5.6
2021,"Poverty, Wealth & Living Standards",12,160,7.5
2021,Public Finance & Taxation,2,160,1.2
2021,Unclear from Register Entry,1,160,0.6
2022,Business & Productivity,69,202,34.2
2022,Crime & Justice,18,202,8.9
2022,Data Infrastructure & Methodology,6,202,3.0
2022,Education & Skills,25,202,12.4
2022,Environment & Agriculture,15,202,7.4
2022,Health & Social Care,38,202,18.8
2022,Housing & Planning,7,202,3.5
2022,Labour Market & Employment,62,202,30.7
2022,Migration & Demographics,10,202,5.0
2022,"Poverty, Wealth & Living Standards",16,202,7.9
2022,Public Finance & Taxation,4,202,2.0
2023,Business & Productivity,67,210,31.9
2023,Crime & Justice,9,210,4.3
2023,Data Infrastructure & Methodology,4,210,1.9
2023,Education & Skills,34,210,16.2
2023,Environment & Agriculture,18,210,8.6
2023,Health & Social Care,31,210,14.8
2023,Housing & Planning,6,210,2.9
2023,Labour Market & Employment,75,210,35.7
2023,Migration & Demographics,14,210,6.7
2023,"Poverty, Wealth & Living Standards",22,210,10.5
2023,Public Finance & Taxation,6,210,2.9
2023,Unclear from Register Entry,2,210,1.0
2024,Business & Productivity,49,236,20.8
2024,Crime & Justice,17,236,7.2
2024,Data Infrastructure & Methodology,11,236,4.7
2024,Education & Skills,72,236,30.5
2024,Environment & Agriculture,12,236,5.1
2024,Health & Social Care,44,236,18.6
2024,Housing & Planning,8,236,3.4
2024,Labour Market & Employment,88,236,37.3
2024,Migration & Demographics,8,236,3.4
2024,"Poverty, Wealth & Living Standards",11,236,4.7
2024,Public Finance & Taxation,2,236,0.8
2024,Unclear from Register Entry,1,236,0.4
2025,Business & Productivity,54,272,19.9
2025,Crime & Justice,17,272,6.2
2025,Data Infrastructure & Methodology,14,272,5.1
2025,Education & Skills,84,272,30.9
2025,Environment & Agriculture,18,272,6.6
2025,Health & Social Care,65,272,23.9
2025,Housing & Planning,9,272,3.3
2025,Labour Market & Employment,93,272,34.2
2025,Migration & Demographics,21,272,7.7
2025,"Poverty, Wealth & Living Standards",17,272,6.2
2025,Public Finance & Taxation,4,272,1.5
2026,Business & Productivity,28,87,32.2
2026,Crime & Justice,4,87,4.6
2026,Data Infrastructure & Methodology,3,87,3.4
2026,Education & Skills,16,87,18.4
2026,Environment & Agriculture,6,87,6.9
2026,Health & Social Care,18,87,20.7
2026,Housing & Planning,3,87,3.4
2026,Labour Market & Employment,23,87,26.4
2026,Migration & Demographics,6,87,6.9
2026,"Poverty, Wealth & Living Standards",6,87,6.9
2026,Public Finance & Taxation,4,87,4.6
