Year,purpose,count,total,pct_of_projects
2019,Descriptive Monitoring,10,22,45.5
2019,Methodological / Infrastructure Research,2,22,9.1
2019,Outcome Tracking,7,22,31.8
2019,Policy Evaluation / Impact Analysis,4,22,18.2
2020,Descriptive Monitoring,47,120,39.2
2020,Life-Course / Trajectory Analysis,3,120,2.5
2020,Methodological / Infrastructure Research,5,120,4.2
2020,Outcome Tracking,42,120,35.0
2020,Policy Evaluation / Impact Analysis,22,120,18.3
2020,Risk Prediction / Early Identification,3,120,2.5
2020,Service Interaction / Systems Analysis,3,120,2.5
2021,Descriptive Monitoring,48,160,30.0
2021,Life-Course / Trajectory Analysis,12,160,7.5
2021,Methodological / Infrastructure Research,11,160,6.9
2021,Outcome Tracking,52,160,32.5
2021,Policy Evaluation / Impact Analysis,37,160,23.1
2021,Risk Prediction / Early Identification,3,160,1.9
2021,Service Interaction / Systems Analysis,1,160,0.6
2021,Unclear from Register Entry,1,160,0.6
2022,Descriptive Monitoring,70,202,34.7
2022,Life-Course / Trajectory Analysis,13,202,6.4
2022,Methodological / Infrastructure Research,10,202,5.0
2022,Outcome Tracking,71,202,35.1
2022,Policy Evaluation / Impact Analysis,39,202,19.3
2022,Risk Prediction / Early Identification,2,202,1.0
2022,Service Interaction / Systems Analysis,1,202,0.5
2023,Descriptive Monitoring,68,210,32.4
2023,Life-Course / Trajectory Analysis,17,210,8.1
2023,Methodological / Infrastructure Research,7,210,3.3
2023,Outcome Tracking,80,210,38.1
2023,Policy Evaluation / Impact Analysis,40,210,19.0
2023,Risk Prediction / Early Identification,1,210,0.5
2023,Service Interaction / Systems Analysis,2,210,1.0
2023,Unclear from Register Entry,2,210,1.0
2024,Descriptive Monitoring,61,236,25.8
2024,Life-Course / Trajectory Analysis,21,236,8.9
2024,Methodological / Infrastructure Research,17,236,7.2
2024,Outcome Tracking,95,236,40.3
2024,Policy Evaluation / Impact Analysis,42,236,17.8
2024,Risk Prediction / Early Identification,3,236,1.3
2024,Service Interaction / Systems Analysis,8,236,3.4
2024,Unclear from Register Entry,1,236,0.4
2025,Descriptive Monitoring,80,272,29.4
2025,Life-Course / Trajectory Analysis,25,272,9.2
2025,Methodological / Infrastructure Research,22,272,8.1
2025,Outcome Tracking,100,272,36.8
2025,Policy Evaluation / Impact Analysis,49,272,18.0
2025,Risk Prediction / Early Identification,6,272,2.2
2025,Service Interaction / Systems Analysis,8,272,2.9
2026,Descriptive Monitoring,28,87,32.2
2026,Life-Course / Trajectory Analysis,6,87,6.9
2026,Methodological / Infrastructure Research,4,87,4.6
2026,Outcome Tracking,33,87,37.9
2026,Policy Evaluation / Impact Analysis,15,87,17.2
2026,Risk Prediction / Early Identification,1,87,1.1
2026,Service Interaction / Systems Analysis,3,87,3.4
