Year,domain,count,total,pct_of_projects
2019,Business & Productivity,7,22,31.8
2019,Crime & Justice,1,22,4.5
2019,Data Infrastructure & Methodology,1,22,4.5
2019,Health & Social Care,6,22,27.3
2019,Housing & Planning,4,22,18.2
2019,Labour Market & Employment,6,22,27.3
2019,Migration & Demographics,2,22,9.1
2019,"Poverty, Wealth & Living Standards",1,22,4.5
2020,Business & Productivity,53,120,44.2
2020,Crime & Justice,6,120,5.0
2020,Data Infrastructure & Methodology,4,120,3.3
2020,Education & Skills,11,120,9.2
2020,Environment & Agriculture,4,120,3.3
2020,Health & Social Care,21,120,17.5
2020,Housing & Planning,5,120,4.2
2020,Labour Market & Employment,36,120,30.0
2020,Migration & Demographics,8,120,6.7
2020,"Poverty, Wealth & Living Standards",8,120,6.7
2020,Public Finance & Taxation,6,120,5.0
2021,Business & Productivity,52,160,32.5
2021,Crime & Justice,8,160,5.0
2021,Data Infrastructure & Methodology,14,160,8.8
2021,Education & Skills,14,160,8.8
2021,Environment & Agriculture,10,160,6.2
2021,Health & Social Care,36,160,22.5
2021,Housing & Planning,5,160,3.1
2021,Labour Market & Employment,53,160,33.1
2021,Migration & Demographics,8,160,5.0
2021,"Poverty, Wealth & Living Standards",13,160,8.1
2021,Public Finance & Taxation,1,160,0.6
2022,Business & Productivity,67,202,33.2
2022,Crime & Justice,19,202,9.4
2022,Data Infrastructure & Methodology,14,202,6.9
2022,Education & Skills,27,202,13.4
2022,Environment & Agriculture,12,202,5.9
2022,Health & Social Care,36,202,17.8
2022,Housing & Planning,7,202,3.5
2022,Labour Market & Employment,63,202,31.2
2022,Migration & Demographics,7,202,3.5
2022,"Poverty, Wealth & Living Standards",16,202,7.9
2022,Public Finance & Taxation,5,202,2.5
2023,Business & Productivity,66,210,31.4
2023,Crime & Justice,9,210,4.3
2023,Data Infrastructure & Methodology,10,210,4.8
2023,Education & Skills,33,210,15.7
2023,Environment & Agriculture,19,210,9.0
2023,Health & Social Care,33,210,15.7
2023,Housing & Planning,5,210,2.4
2023,Labour Market & Employment,77,210,36.7
2023,Migration & Demographics,12,210,5.7
2023,"Poverty, Wealth & Living Standards",24,210,11.4
2023,Public Finance & Taxation,7,210,3.3
2024,Business & Productivity,47,236,19.9
2024,Crime & Justice,16,236,6.8
2024,Data Infrastructure & Methodology,14,236,5.9
2024,Education & Skills,73,236,30.9
2024,Environment & Agriculture,10,236,4.2
2024,Health & Social Care,46,236,19.5
2024,Housing & Planning,9,236,3.8
2024,Labour Market & Employment,85,236,36.0
2024,Migration & Demographics,7,236,3.0
2024,"Poverty, Wealth & Living Standards",9,236,3.8
2024,Public Finance & Taxation,2,236,0.8
2024,Unclear from Register Entry,1,236,0.4
2025,Business & Productivity,54,272,19.9
2025,Crime & Justice,17,272,6.2
2025,Data Infrastructure & Methodology,18,272,6.6
2025,Education & Skills,82,272,30.1
2025,Environment & Agriculture,17,272,6.2
2025,Health & Social Care,65,272,23.9
2025,Housing & Planning,8,272,2.9
2025,Labour Market & Employment,90,272,33.1
2025,Migration & Demographics,18,272,6.6
2025,"Poverty, Wealth & Living Standards",16,272,5.9
2025,Public Finance & Taxation,5,272,1.8
2025,Unclear from Register Entry,1,272,0.4
2026,Business & Productivity,26,87,29.9
2026,Crime & Justice,4,87,4.6
2026,Data Infrastructure & Methodology,5,87,5.7
2026,Education & Skills,15,87,17.2
2026,Environment & Agriculture,5,87,5.7
2026,Health & Social Care,17,87,19.5
2026,Housing & Planning,3,87,3.4
2026,Labour Market & Employment,31,87,35.6
2026,Migration & Demographics,6,87,6.9
2026,"Poverty, Wealth & Living Standards",6,87,6.9
2026,Public Finance & Taxation,5,87,5.7
