Year,purpose,count,total,pct_of_projects
2019,Descriptive Monitoring,12,22,54.5
2019,Methodological / Infrastructure Research,2,22,9.1
2019,Outcome Tracking,7,22,31.8
2019,Policy Evaluation / Impact Analysis,3,22,13.6
2020,Descriptive Monitoring,44,120,36.7
2020,Life-Course / Trajectory Analysis,3,120,2.5
2020,Methodological / Infrastructure Research,12,120,10.0
2020,Outcome Tracking,44,120,36.7
2020,Policy Evaluation / Impact Analysis,26,120,21.7
2020,Risk Prediction / Early Identification,1,120,0.8
2020,Service Interaction / Systems Analysis,1,120,0.8
2021,Descriptive Monitoring,46,160,28.7
2021,Life-Course / Trajectory Analysis,15,160,9.4
2021,Methodological / Infrastructure Research,17,160,10.6
2021,Outcome Tracking,59,160,36.9
2021,Policy Evaluation / Impact Analysis,35,160,21.9
2021,Risk Prediction / Early Identification,1,160,0.6
2021,Service Interaction / Systems Analysis,3,160,1.9
2021,Unclear from Register Entry,2,160,1.2
2022,Descriptive Monitoring,72,202,35.6
2022,Life-Course / Trajectory Analysis,13,202,6.4
2022,Methodological / Infrastructure Research,19,202,9.4
2022,Outcome Tracking,69,202,34.2
2022,Policy Evaluation / Impact Analysis,40,202,19.8
2022,Risk Prediction / Early Identification,2,202,1.0
2022,Service Interaction / Systems Analysis,2,202,1.0
2023,Descriptive Monitoring,70,209,33.5
2023,Life-Course / Trajectory Analysis,20,209,9.6
2023,Methodological / Infrastructure Research,13,209,6.2
2023,Outcome Tracking,77,209,36.8
2023,Policy Evaluation / Impact Analysis,46,209,22.0
2023,Service Interaction / Systems Analysis,3,209,1.4
2023,Unclear from Register Entry,1,209,0.5
2024,Descriptive Monitoring,70,236,29.7
2024,Life-Course / Trajectory Analysis,21,236,8.9
2024,Methodological / Infrastructure Research,23,236,9.7
2024,Outcome Tracking,89,236,37.7
2024,Policy Evaluation / Impact Analysis,40,236,16.9
2024,Risk Prediction / Early Identification,2,236,0.8
2024,Service Interaction / Systems Analysis,13,236,5.5
2024,Unclear from Register Entry,3,236,1.3
2025,Descriptive Monitoring,81,272,29.8
2025,Life-Course / Trajectory Analysis,21,272,7.7
2025,Methodological / Infrastructure Research,28,272,10.3
2025,Outcome Tracking,103,272,37.9
2025,Policy Evaluation / Impact Analysis,52,272,19.1
2025,Risk Prediction / Early Identification,5,272,1.8
2025,Service Interaction / Systems Analysis,11,272,4.0
2026,Descriptive Monitoring,25,87,28.7
2026,Life-Course / Trajectory Analysis,4,87,4.6
2026,Methodological / Infrastructure Research,7,87,8.0
2026,Outcome Tracking,38,87,43.7
2026,Policy Evaluation / Impact Analysis,16,87,18.4
2026,Risk Prediction / Early Identification,2,87,2.3
2026,Service Interaction / Systems Analysis,2,87,2.3
