Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,"Carolin Ioramashvili, London School of Economics",Digital Economy Act (2017),Office for National Statistics: Annual Respondents Database,Office for National Statistics Secure Research Service,2019-10-25,2019/003,2019,2019Q4,Q4 2019,Labour Market & Employment; Business & Productivity,Descriptive Monitoring,,"Assigned Labour Market & Employment and Business & Productivity because the project studies the labour share of income and earnings across UK regions using the firm-level Annual Respondents Database, linking factor income distribution to regional firm structure; Descriptive Monitoring because the analytical operation is characterising the fall of the labour share and regional patterns rather than testing a policy or exposure; no tag because no demographic comparison or pandemic framing is evident.",Labour Market & Employment
2019/004,The changing nature of the HR and training practitioner profession,"Jonathan Boys, Chartered Institute of Personnel and Development",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-25,2019/004,2019,2019Q4,Q4 2019,Labour Market & Employment,Descriptive Monitoring,,"Assigned Labour Market & Employment because the project examines the changing nature of the HR and training practitioner profession, an occupational-workforce question, using the Annual Population Survey; Descriptive Monitoring because the visible operation is profiling change in the composition of a profession over time; no tag because no equality-group comparison or pandemic lens is central.",Labour Market & Employment
2019/005,Measuring the impact of hearing loss on well-being,"Daniele Cox,
Office for National Statistics
Mary Cleaton,
Office for National Statistics",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-12,2019/005,2019,2019Q4,Q4 2019,Health & Social Care,Outcome Tracking,Demographic disparities / equity tag,Assigned Health & Social Care because hearing loss and well-being are health conditions and health-focused outcomes; Outcome Tracking because the design links a naturally occurring condition (hearing loss) to a downstream well-being outcome; Demographic disparities / equity tag because the research centres on comparing well-being outcomes for people with a disability-relevant condition against others.,Health & Social Care
2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,"Julian Molina, Office of the Victims' Commissioner for England and Wales",Digital Economy Act (2017),Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2019-10-14,2019/006,2019,2019Q4,Q4 2019,Crime & Justice,Descriptive Monitoring,,Assigned Crime & Justice because the project analyses victimisation using the Crime Survey for England and Wales; Descriptive Monitoring because the entry indicates analysis of victimisation patterns and prevalence rather than an exposure-outcome test or policy evaluation; no tag because no demographic comparison or pandemic condition is central.,Crime & Justice
2019/007,Thriving Places index indicators of wellbeing at local authority level,"Soraya Safazadeh, Happy City Initiative
Saamah Abdallah, New Economics Foundation",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/007,2019,2019Q4,Q4 2019,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because the project measures wellbeing indicators (Thriving Places index) at local authority level; Descriptive Monitoring because the operation is constructing and measuring indicators of wellbeing across local areas rather than testing exposures or evaluating a named policy; no tag because no demographic comparison or pandemic framing appears in the entry.,Health & Social Care
2019/008,Class in UK creative industries: Beyond participation,"Rebecca Florisson, The Work Foundation",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2019-11-19,2019/008,2019,2019Q4,Q4 2019,Labour Market & Employment,Descriptive Monitoring,,Assigned Labour Market & Employment because the project studies class composition and participation in the creative industries workforce using LFS/APS and Understanding Society; Descriptive Monitoring because the analysis characterises workforce composition and class patterns rather than testing a specific exposure or intervention; no tag because class is a socioeconomic rather than demographic or equality-relevant group comparison under the tag rules.,Labour Market & Employment
2019/009,Functional specialisation and their linkages between London & UK cities,"Joanna Jedrasaiak, ARUP
Enrico Vanino, University of Aston",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/009,2019,2019Q4,Q4 2019,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the project studies functional specialisation and inter-city economic linkages using the firm-level Business Structure Database; Descriptive Monitoring because the operation is characterising industrial structure and linkages between London and other UK cities; no tag because no demographic or pandemic lens is present.,Business & Productivity
2019/010,Diversity in the Creative Industries,"Danielle Cox, Office for National Statistics",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",Office for National Statistics Secure Research Service,2019-10-31,2019/010,2019,2019Q4,Q4 2019,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the project studies workforce diversity in the creative industries using LFS/APS and Understanding Society; Descriptive Monitoring because the operation is profiling workforce composition across groups; Demographic disparities / equity tag because diversity — comparison across demographic and equality-relevant groups — is the central research question.,Labour Market & Employment
2019/011,Modelling Return on Investment at the firm level,"Chris Dimos, University of Bath",Digital Economy Act (2017),"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",Office for National Statistics Secure Research Service,2019-10-14,2019/011,2019,2019Q4,Q4 2019,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the project models firm-level return on investment using the UK Innovation Survey, Annual Business Survey and BERD, making firm performance and R&D investment the substantive object; Outcome Tracking because the analysis links firm investment (exposure) to downstream firm returns rather than evaluating a named programme; no tag because no demographic or pandemic lens is present.",Business & Productivity
2019/012,The impact of the immigration white paper on the Northern Ireland economy,"Patrick Deshpande, Oxford Economics",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/012,2019,2019Q4,Q4 2019,Migration & Demographics; Labour Market & Employment,Policy Evaluation / Impact Analysis,,"Assigned Migration & Demographics and Labour Market & Employment because the project examines how immigration policy affects the Northern Ireland economy and labour market using LFS/APS data; Policy Evaluation / Impact Analysis because the analytical operation is estimating the impact of a specific named policy (the immigration white paper); no tag because migrant status is the policy object rather than a demographic-comparison lens, and there is no pandemic framing.",Migration & Demographics
