Record ID,Project ID,Title,Datasets Used,Year,substantive_domains_4_8_run_1,substantive_domains_4_8_run_2,substantive_domains_agree,linkage_mode_4_8_run_1,linkage_mode_4_8_run_2,linkage_mode_agree,analytical_purpose_4_8_run_1,analytical_purpose_4_8_run_2,analytical_purpose_agree,cross_cutting_tags_4_8_run_1,cross_cutting_tags_4_8_run_2,cross_cutting_tags_agree,rationale_4_8_run_1,rationale_4_8_run_2,disagreement_summary
2019/016,2019/016,Homeownership of the young,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",2019,Housing & Planning,Housing & Planning,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,Demographic disparities / equity tag,,False,Assigned Housing & Planning because homeownership is the central focus; Cross-Domain Linkage because Living Costs and Food Survey and Retail Price Index are joined with the Business Structure Database (business domain); Outcome Tracking because it relates circumstances to young people's homeownership; demographic tag because the focus is comparison by age group (the young).,Assigned Housing & Planning because the project studies homeownership of the young; Cross-Domain Linkage because Living Costs and Food Survey (living standards) and Business Structure Database (business) and Retail Price Index span domains; Outcome Tracking because it links circumstances to homeownership of young people; no tag because age is a population focus not a comparative equity lens.,Tag disagreed
2019/023,2019/023,Economic environment and child development,Office for National Statistics: Labour Force Survey,2019,Education & Skills; Labour Market & Employment,Education & Skills,False,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Education & Skills and Labour Market & Employment because the project links economic/labour-market conditions (Labour Force Survey) to child development outcomes; Single-Dataset because only the Labour Force Survey is listed; Outcome Tracking because it relates naturally occurring economic environment to downstream child development; no tag because no demographic-group comparison is central.,"Assigned Education & Skills because the focus is child development linked to economic conditions, with development as the substantive object; Single-Dataset because only the Labour Force Survey is listed; Outcome Tracking because it links a naturally occurring economic-environment exposure to child development outcomes; no tag because no demographic group comparison is central.",Layer A disagreed
2019/025,2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",2020,Migration & Demographics,Migration & Demographics,True,Cross-Domain Linkage,Within-Domain Linkage,False,Service Interaction / Systems Analysis,Service Interaction / Systems Analysis,True,,,True,Assigned Migration & Demographics because the focus is the older population aged 60+ profiled via census and deaths data; Cross-Domain Linkage because Census population data is linked to Registered Deaths records; Service Interaction / Systems Analysis because the project studies uptake and use of a concessionary fares scheme; no tag because age defines the population rather than a comparative equity lens.,Assigned Migration & Demographics because the population aged 60+ is studied via census and registered deaths as demographic data; Within-Domain Linkage because Census and Registered Deaths both sit within the population/demographic domain; Service Interaction / Systems Analysis because uptake and use of the Concessionary Fares Scheme is central; no tag because age defines the eligible population rather than an equity comparison.,Layer B disagreed
2020/018,2020/018,Inequalities in the 21st Century – Chapter on Labour Market Inequality,"Office for National Statistics: Annual Population Survey, Annual Survey of Hours and Earnings, Labour Force Survey, Longitudinal Labour Force Survey & New Earnings Survey",2020,Labour Market & Employment,Labour Market & Employment,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,Demographic disparities / equity tag,,False,"Assigned Labour Market & Employment because the chapter studies labour market inequality using earnings and labour force surveys; Within-Domain Linkage because APS, ASHE, LFS and New Earnings Survey all sit within the labour domain; Descriptive Monitoring because it profiles inequality patterns; demographic disparities tag because labour market inequality is framed around group disparities.","Assigned Labour Market & Employment because it analyses labour-market inequality using earnings and labour-force surveys; Within-Domain Linkage because the multiple datasets (APS, ASHE, LFS, NES) all fall within the labour-market domain; Descriptive Monitoring because it characterises patterns of labour-market inequality; no tag because the inequality lens is socioeconomic rather than a defined demographic-group comparison.",Tag disagreed
2020/022,2020/022,Digital skills in medium and associate professional job roles: An analysis of institutional data from English apprenticeship standard,Office for National Statistics: Annual Survey of Hours and Earnings,2020,Education & Skills,Education & Skills; Labour Market & Employment,False,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Education & Skills because the focus is digital skills in apprenticeship standards; Single-Dataset because only ASHE is listed; Descriptive Monitoring because it analyses the profile of digital skills across job roles; no tag because no demographic comparison is central.,"Assigned Education & Skills because the focus is apprenticeship standards and digital skills, and Labour Market & Employment because it analyses job roles and occupations; Single-Dataset because only ASHE is listed; Descriptive Monitoring because the project analyses and profiles digital skills within job roles rather than testing an exposure-outcome relationship or named intervention; no tag because no demographic comparison is central.",Layer A disagreed
2020/023,2020/023,"The determinants of performance-pay utilisation by firms and its consequences for firm behaviour, performance, and employee outcomes","Office for National Statistics: Business Structure Database, Annual Business Survey, Workplace Employment Relations Survey, International Trade in Services, Annual Survey of Hours and Earnings & Wealth and Assets Survey",2020,Business & Productivity; Labour Market & Employment,Business & Productivity; Labour Market & Employment,True,Within-Domain Linkage,Cross-Domain Linkage,False,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Business & Productivity because firm behaviour and performance are central and Labour Market & Employment because performance-pay and employee outcomes are analysed; Within-Domain Linkage because the business and labour datasets all sit within the business/labour economic domain; Outcome Tracking because it links a naturally occurring firm characteristic (performance-pay use) to firm and employee outcomes; no tag because no demographic comparison is central.,"Assigned Business & Productivity because the focus is firm behaviour and performance, and Labour Market & Employment because employee outcomes and performance-pay are central; Cross-Domain Linkage because datasets span business (BSD, ABS, trade), labour (WERS, ASHE) and household wealth (Wealth and Assets Survey); Outcome Tracking because it links performance-pay utilisation to downstream firm and employee outcomes; no tag because no demographic comparison is central.",Layer B disagreed
2020/025,2020/025,Modelling the regional implications of COVID-19 using the Enterprise Research Centre's longitudinal firm-level dataset based on the Business Structure Database,"Office for National Statistics: Business Structure Database, Longitudinal Inter-Departmental Business Register, International Trade in Services, Business Impact of COVID-19 Survey & E-Commerce Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",2020,Business & Productivity; COVID-19 & Pandemic,Business & Productivity; COVID-19 & Pandemic,True,Within-Domain Linkage,Within-Domain Linkage,True,Policy Evaluation / Impact Analysis,Descriptive Monitoring,False,,,True,Assigned Business & Productivity and COVID-19 & Pandemic because the project models regional COVID-19 implications using firm-level business data; Within-Domain Linkage because all datasets are firm/business sources; Policy Evaluation / Impact Analysis because it examines the impact of the pandemic shock on firms regionally; no tag because no demographic comparison is central.,Assigned Business & Productivity and COVID-19 & Pandemic because it models regional firm-level implications of COVID-19 using business datasets; Within-Domain Linkage because the firm-level datasets all sit within the business domain; Descriptive Monitoring because it models/profiles regional impacts rather than testing a specific intervention; no tag because no demographic comparison is central.,Layer C disagreed
2020/027,2020/027,COVID-19 Infection Survey,"Office for National Statistics: ONS COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data
Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data
Office for National Statistics / University of Oxford: Covid-19 Infection Survey with National Immunisation Management Service, Covid-19 Infection Survey linked with Death Occurrences England and Wales
Office for National Statistics /
NHSD / University of Oxford: COVID-19 Infection Survey linked with Public Health Research Database",2020,COVID-19 & Pandemic; Health & Social Care,COVID-19 & Pandemic; Health & Social Care,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Descriptive Monitoring,Outcome Tracking,False,,,True,"Assigned COVID-19 & Pandemic and Health & Social Care because it is an infection survey monitoring COVID-19, deaths, and immunisation; Cross-Domain Linkage because the linked datasets span health, housing/property (VOA, EPC), and labour force; Descriptive Monitoring because the infection survey characterises infection levels and patterns; no tag because no demographic comparison is central.","Assigned COVID-19 & Pandemic because the project is built around the COVID-19 Infection Survey, and Health & Social Care because infection, immunisation and deaths are central; Cross-Domain Linkage because the survey is linked to health (immunisation, deaths), labour (LFS) and housing/property data (VOA, EPC); Outcome Tracking because infection and immunisation status are linked to downstream outcomes such as mortality; no tag because no demographic comparison is central.",Layer C disagreed
2020/033,2020/033,Education and Identity,Office for National Statistics: Quarterly Labour Force Survey,2020,Education & Skills,Education & Skills,True,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,Demographic disparities / equity tag,False,Assigned Education & Skills because the title 'Education and Identity' centres on education; Single-Dataset because only the Quarterly Labour Force Survey is listed; Outcome Tracking because it relates education to identity outcomes; no tag because identity here is not clearly framed as a demographic equity comparison.,Assigned Education & Skills because the project concerns education and identity; Single-Dataset because only the Quarterly Labour Force Survey is listed; Outcome Tracking because it links education to identity-related outcomes; tag assigned because identity implies an equality-relevant group comparison.,Tag disagreed
2020/042,2020/042,UK coastal tourism: efficiency and revival,"Office for National Statistics: Annual Business Survey, Annual Respondents Database X, Annual Respondents Database & Annual Survey of Hours and Earnings",2020,Business & Productivity; Labour Market & Employment,Business & Productivity,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,"Assigned Business & Productivity because firm efficiency in coastal tourism is central, and Labour Market & Employment because Annual Survey of Hours and Earnings adds an earnings dimension; Cross-Domain Linkage because business datasets are linked with ASHE earnings data spanning business and labour-market domains; Descriptive Monitoring because the project measures efficiency and revival patterns of an industry; no tag because no demographic comparison is central.",Assigned Business & Productivity because the project examines coastal tourism firm efficiency and revival; Cross-Domain Linkage because business surveys are linked with Annual Survey of Hours and Earnings (labour market); Descriptive Monitoring because the aim is to measure efficiency and characterise the sector; no tag because no demographic comparison is central.,Layer A disagreed
