Record ID,Project ID,Title,Datasets Used,Year,substantive_domains_4_8_run_1,substantive_domains_4_8_run_2,substantive_domains_agree,linkage_mode_4_8_run_1,linkage_mode_4_8_run_2,linkage_mode_agree,analytical_purpose_4_8_run_1,analytical_purpose_4_8_run_2,analytical_purpose_agree,cross_cutting_tags_4_8_run_1,cross_cutting_tags_4_8_run_2,cross_cutting_tags_agree,rationale_4_8_run_1,rationale_4_8_run_2,disagreement_summary
2019/003,2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,Office for National Statistics: Annual Respondents Database,2019,Labour Market & Employment,Labour Market & Employment,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Labour Market & Employment because the project examines labour share and earnings across UK regions; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the analytical operation profiles distribution and trends in labour share and earnings across regions; no tag because the comparison is regional rather than across a demographic/equality-relevant group.,"Assigned Labour Market & Employment because the project studies labour share and earnings in UK regions, a core labour-market topic; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the analytical operation profiles the level and regional distribution of labour share and earnings rather than testing an intervention; no tag because regional comparison is not a demographic/equality-relevant lens.",
2019/004,2019/004,The changing nature of the HR and training practitioner profession,Office for National Statistics: Annual Population Survey,2019,Labour Market & Employment,Labour Market & Employment,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Labour Market & Employment because the focus is the HR and training practitioner profession and its workforce composition; Single-Dataset because only the Annual Population Survey is listed; Descriptive Monitoring because the project characterises the changing nature/profile of an occupation; no tag because no central demographic/equality comparison is indicated.,"Assigned Labour Market & Employment because the project examines the changing nature of the HR and training practitioner profession, an occupational/workforce topic; Single-Dataset because only the Annual Population Survey is listed; Descriptive Monitoring because it characterises change in a profession over time without testing an exposure-outcome or named policy; no tag because no demographic comparison is central.",
2019/005,2019/005,Measuring the impact of hearing loss on well-being,Office for National Statistics: Annual Population Survey,2019,Health & Social Care,Health & Social Care,True,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Health & Social Care because hearing loss and wellbeing are central; Single-Dataset because only the Annual Population Survey is listed; Outcome Tracking because it relates hearing loss to wellbeing outcomes; no tag because no demographic-group comparison is central.,Assigned Health & Social Care because the project measures the impact of hearing loss on wellbeing; Single-Dataset because only the Annual Population Survey is listed; Outcome Tracking because it links hearing loss (a condition) to wellbeing outcomes; no tag because no demographic comparison is central.,
2019/006,2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,Office for National Statistics: Crime Survey for England and Wales,2019,Crime & Justice,Crime & Justice,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Crime & Justice because the project analyses victimisation data; Single-Dataset because only the Crime Survey for England and Wales is listed; Descriptive Monitoring because the operation is profiling victimisation patterns; no tag because no central demographic comparison is indicated.,Assigned Crime & Justice because the project analyses victimisation data; Single-Dataset because only the Crime Survey for England and Wales is listed; Descriptive Monitoring because analysing victimisation patterns profiles the phenomenon rather than testing an intervention; no tag because no demographic comparison is centrally specified.,
2019/007,2019/007,Thriving Places index indicators of wellbeing at local authority level,Office for National Statistics: Labour Force Survey & Annual Population Survey,2019,Health & Social Care,Health & Social Care,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,"Assigned Health & Social Care because the project builds wellbeing indicators at local authority level; Within-Domain Linkage because the Labour Force Survey and Annual Population Survey are both labour-market/social survey sources within one domain; Descriptive Monitoring because it constructs indicators and profiles wellbeing across places; no tag because the variation is geographic, not demographic-group based.","Assigned Health & Social Care because the Thriving Places index focuses on indicators of wellbeing at local authority level; Within-Domain Linkage because the Labour Force Survey and Annual Population Survey are two related labour/population datasets within one domain; Descriptive Monitoring because it constructs and measures wellbeing indicators across places; no tag because comparison is geographic, not demographic/equality-relevant.",
2019/008,2019/008,Class in UK creative industries: Beyond participation,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",2019,Labour Market & Employment,Labour Market & Employment,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Labour Market & Employment because the focus is class composition and participation in creative-industry occupations; Within-Domain Linkage because LFS/APS and Understanding Society are general labour-market/social surveys within the same domain; Descriptive Monitoring because it characterises class composition beyond participation; tag assigned because class/social-origin comparison is central to the equity question.,Assigned Labour Market & Employment because the project examines class and participation in the creative industries workforce; Within-Domain Linkage because LFS/APS and Understanding Society are labour/socioeconomic survey datasets within the same domain; Descriptive Monitoring because it profiles class composition in an industry; tag assigned because class-based equity comparison in workforce participation is central.,
2019/009,2019/009,Functional specialisation and their linkages between London & UK cities,Office for National Statistics: Business Structure Database,2019,Business & Productivity,Business & Productivity,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Business & Productivity because the project studies functional specialisation and linkages between cities using firm-level data; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because it characterises specialisation and inter-city linkages; no tag because no demographic comparison is central.,Assigned Business & Productivity because the project studies functional specialisation and linkages between London and UK cities using firm-level data; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because it characterises specialisation patterns and linkages across cities; no tag because no demographic comparison is central.,
2019/010,2019/010,Diversity in the Creative Industries,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",2019,Labour Market & Employment,Labour Market & Employment,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Labour Market & Employment because the project examines workforce diversity in creative-industry employment; Within-Domain Linkage because LFS/APS and Understanding Society are labour-market/social surveys within one domain; Descriptive Monitoring because it profiles diversity composition; tag assigned because demographic diversity comparison is the central lens.,Assigned Labour Market & Employment because the project studies diversity in the creative-industries workforce; Within-Domain Linkage because LFS/APS and Understanding Society are labour/population survey datasets in the same domain; Descriptive Monitoring because it profiles diversity composition; tag assigned because diversity across demographic groups is the central lens.,
2019/011,2019/011,Modelling Return on Investment at the firm level,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,"Assigned Business & Productivity because the project models firm-level return on investment using innovation and business surveys; Within-Domain Linkage because the UK Innovation Survey, Annual Business Survey, BERD and BRES are all firm/business datasets within one domain; Outcome Tracking because it links firm investment to performance outcomes; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project models return on investment at the firm level using innovation and business surveys; Within-Domain Linkage because the UK Innovation Survey, Annual Business Survey, BERD and BRES are all business/firm-level datasets within one domain; Outcome Tracking because it relates firm investment to performance outcomes; no tag because no demographic comparison is central.",
2019/012,2019/012,The impact of the immigration white paper on the Northern Ireland economy,Office for National Statistics: Labour Force Survey & Annual Population Survey,2019,Labour Market & Employment; Migration & Demographics,Labour Market & Employment; Migration & Demographics,True,Single-Dataset,Single-Dataset,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Labour Market & Employment and Migration & Demographics because the project assesses immigration policy effects on the Northern Ireland economy and labour supply; Single-Dataset because only the Labour Force Survey & Annual Population Survey is listed; Policy Evaluation / Impact Analysis because it evaluates the impact of the named immigration white paper; no tag because migration is the policy object rather than a demographic-group comparison.,"Assigned Labour Market & Employment and Migration & Demographics because the project assesses the immigration white paper's impact on the Northern Ireland economy, centring on migration policy and labour-market effects; Single-Dataset because only LFS/APS is listed; Policy Evaluation / Impact Analysis because it evaluates the impact of a named immigration policy; no tag because the focus is economic impact rather than demographic group comparison.",
2019/013,2019/013,TechNation programme evaluation,Office for National Statistics: Business Structure Database,2019,Business & Productivity,Business & Productivity,True,Single-Dataset,Single-Dataset,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Business & Productivity because the project evaluates a firm-support/innovation programme using firm-level data; Single-Dataset because only the Business Structure Database is listed; Policy Evaluation / Impact Analysis because it is an evaluation of the named TechNation programme; no tag because no demographic comparison is central.,Assigned Business & Productivity because the project evaluates the TechNation programme using firm-level data; Single-Dataset because only the Business Structure Database is listed; Policy Evaluation / Impact Analysis because it is an explicit evaluation of a named programme; no tag because no demographic comparison is central.,
2019/014,2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring; Methodological / Infrastructure Research,Descriptive Monitoring; Methodological / Infrastructure Research,True,,,True,"Assigned Business & Productivity because the project measures the digital economy contribution in Wales via business surveys (Annual Business Survey, Business Structure Database, R&D, E-Commerce Survey); Within-Domain Linkage because the multiple datasets are all business/economic activity sources; Descriptive Monitoring and Methodological / Infrastructure Research because the aim is constructing a satellite-account measure characterising the digital economy; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project measures the digital economy's contribution using business surveys (Annual Business Survey, Business Structure Database, R&D, e-commerce); Within-Domain Linkage because all listed datasets are business/economic datasets within one domain; Descriptive Monitoring and Methodological / Infrastructure Research because it constructs a satellite account to measure the digital economy's contribution; no tag because no demographic comparison is central.",
2019/015,2019/015,Understanding saving behaviour in the UK,Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings,2019,"Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards",True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,"Assigned Poverty, Wealth & Living Standards because saving behaviour and household wealth are central via the Wealth and Assets Survey; Cross-Domain Linkage because it links wealth data with earnings (Annual Survey of Hours and Earnings, a labour-market source); Outcome Tracking because it relates earnings/circumstances to saving behaviour; no tag because no demographic comparison is centrally framed.","Assigned Poverty, Wealth & Living Standards because saving behaviour concerns household wealth and savings; Cross-Domain Linkage because Wealth and Assets Survey (wealth) is linked to Annual Survey of Hours and Earnings (labour market); Outcome Tracking because it links earnings/circumstances to saving behaviour; no tag because no demographic comparison is central.",
2019/016,2019/016,Homeownership of the young,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",2019,Housing & Planning,Housing & Planning,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,Demographic disparities / equity tag,,False,Assigned Housing & Planning because homeownership is the central focus; Cross-Domain Linkage because Living Costs and Food Survey and Retail Price Index are joined with the Business Structure Database (business domain); Outcome Tracking because it relates circumstances to young people's homeownership; demographic tag because the focus is comparison by age group (the young).,Assigned Housing & Planning because the project studies homeownership of the young; Cross-Domain Linkage because Living Costs and Food Survey (living standards) and Business Structure Database (business) and Retail Price Index span domains; Outcome Tracking because it links circumstances to homeownership of young people; no tag because age is a population focus not a comparative equity lens.,Tag disagreed
2019/017,2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking; Policy Evaluation / Impact Analysis,Outcome Tracking; Policy Evaluation / Impact Analysis,True,,,True,"Assigned Business & Productivity because FDI, firm investment, trade and innovation are central via business and FDI surveys; Within-Domain Linkage because all datasets are firm/business sources within the business domain; Outcome Tracking and Policy Evaluation / Impact Analysis because it studies causes, effects and policy around FDI distribution; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project studies the spatial distribution of foreign direct investment and firm-level data; Within-Domain Linkage because all datasets are business/firm datasets within one domain; Outcome Tracking and Policy Evaluation / Impact Analysis because it examines causes, effects, and policy of FDI; no tag because no demographic comparison is central.",
2019/018,2019/018,Foreign Direct Disinvestment: causes and effects,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,"Assigned Business & Productivity because foreign direct disinvestment, firm performance and trade are central via FDI and business surveys; Within-Domain Linkage because all datasets are firm-level business sources; Outcome Tracking because it analyses causes and effects of disinvestment; no tag because no demographic comparison is central.",Assigned Business & Productivity because the project studies foreign direct disinvestment using firm-level business data; Within-Domain Linkage because all datasets are business/firm datasets; Outcome Tracking because it examines causes and effects of disinvestment; no tag because no demographic comparison is central.,
