Record ID,Project ID,Title,Datasets Used,Year,substantive_domains_4_8,substantive_domains_4_6,substantive_domains_agree,linkage_mode_4_8,linkage_mode_4_6,linkage_mode_agree,analytical_purpose_4_8,analytical_purpose_4_6,analytical_purpose_agree,cross_cutting_tags_4_8,cross_cutting_tags_4_6,cross_cutting_tags_agree,rationale_4_8,rationale_4_6,disagreement_summary
2019/003,2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,Office for National Statistics: Annual Respondents Database,2019,Labour Market & Employment,Labour Market & Employment; Business & Productivity,False,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Labour Market & Employment because the project examines labour share and earnings across UK regions; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the analytical operation profiles distribution and trends in labour share and earnings across regions; no tag because the comparison is regional rather than across a demographic/equality-relevant group.,Assigned Labour Market & Employment because the title focuses on labour share and earnings; Business & Productivity because it examines superstar region dynamics and firm-level productivity implications; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the project characterises regional patterns in labour share and earnings; no tag because no demographic or equality-relevant group comparison is central.,Layer A disagreed
2019/007,2019/007,Thriving Places index indicators of wellbeing at local authority level,Office for National Statistics: Labour Force Survey & Annual Population Survey,2019,Health & Social Care,Health & Social Care,True,Within-Domain Linkage,Single-Dataset,False,Descriptive Monitoring,Descriptive Monitoring,True,,,True,"Assigned Health & Social Care because the project builds wellbeing indicators at local authority level; Within-Domain Linkage because the Labour Force Survey and Annual Population Survey are both labour-market/social survey sources within one domain; Descriptive Monitoring because it constructs indicators and profiles wellbeing across places; no tag because the variation is geographic, not demographic-group based.",Assigned Health & Social Care because the Thriving Places index focuses on wellbeing indicators at local authority level; Single-Dataset because LFS and APS are listed as an internally coherent product (Labour Force Survey & Annual Population Survey); Descriptive Monitoring because the project measures wellbeing indicators across local authorities; no tag because no demographic group comparison is central.,Layer B disagreed
2019/008,2019/008,Class in UK creative industries: Beyond participation,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",2019,Labour Market & Employment,Labour Market & Employment,True,Within-Domain Linkage,Cross-Domain Linkage,False,Descriptive Monitoring,Descriptive Monitoring,True,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Labour Market & Employment because the focus is class composition and participation in creative-industry occupations; Within-Domain Linkage because LFS/APS and Understanding Society are general labour-market/social surveys within the same domain; Descriptive Monitoring because it characterises class composition beyond participation; tag assigned because class/social-origin comparison is central to the equity question.,Assigned Labour Market & Employment because the project examines class-based participation in creative industries workforce; Cross-Domain Linkage because it uses LFS/APS (labour market domain) and Understanding Society (household panel spanning multiple domains); Descriptive Monitoring because it characterises class composition in creative industries; Demographic disparities / equity tag because the title explicitly centres on class-based inequality in participation.,Layer B disagreed
2019/010,2019/010,Diversity in the Creative Industries,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",2019,Labour Market & Employment,Labour Market & Employment,True,Within-Domain Linkage,Cross-Domain Linkage,False,Descriptive Monitoring,Descriptive Monitoring,True,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Labour Market & Employment because the project examines workforce diversity in creative-industry employment; Within-Domain Linkage because LFS/APS and Understanding Society are labour-market/social surveys within one domain; Descriptive Monitoring because it profiles diversity composition; tag assigned because demographic diversity comparison is the central lens.,"Assigned Labour Market & Employment because the project examines workforce diversity in creative industries; Cross-Domain Linkage because it uses LFS/APS (labour market domain) and Understanding Society (household panel spanning multiple domains); Descriptive Monitoring because it characterises diversity patterns in creative industries; Demographic disparities / equity tag because 'diversity' centrally involves comparison across demographic groups such as ethnicity, gender, and disability.",Layer B disagreed
2019/014,2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring; Methodological / Infrastructure Research,Descriptive Monitoring,False,,,True,"Assigned Business & Productivity because the project measures the digital economy contribution in Wales via business surveys (Annual Business Survey, Business Structure Database, R&D, E-Commerce Survey); Within-Domain Linkage because the multiple datasets are all business/economic activity sources; Descriptive Monitoring and Methodological / Infrastructure Research because the aim is constructing a satellite-account measure characterising the digital economy; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project measures the digital economy's contribution in Wales using firm-level and economic surveys (ABS, BSD, E-Commerce, BERD, etc.); Within-Domain Linkage because multiple datasets are listed but all fall within business/economic statistics; Descriptive Monitoring because the aim is to measure the digital economy via a satellite account framework; no cross-cutting tag because no demographic comparison is central.",Layer C disagreed
2019/015,2019/015,Understanding saving behaviour in the UK,Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings,2019,"Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards",True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Descriptive Monitoring,False,,,True,"Assigned Poverty, Wealth & Living Standards because saving behaviour and household wealth are central via the Wealth and Assets Survey; Cross-Domain Linkage because it links wealth data with earnings (Annual Survey of Hours and Earnings, a labour-market source); Outcome Tracking because it relates earnings/circumstances to saving behaviour; no tag because no demographic comparison is centrally framed.","Assigned Poverty, Wealth & Living Standards because the project focuses on saving behaviour, which concerns household wealth and resources; Cross-Domain Linkage because Wealth and Assets Survey (household wealth domain) is combined with Annual Survey of Hours and Earnings (labour market/earnings domain); Descriptive Monitoring because 'understanding saving behaviour' implies characterising patterns and determinants of saving; no tag as no demographic equity comparison is indicated.",Layer C disagreed
2019/016,2019/016,Homeownership of the young,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",2019,Housing & Planning,Housing & Planning,True,Cross-Domain Linkage,Within-Domain Linkage,False,Outcome Tracking,Descriptive Monitoring,False,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Housing & Planning because homeownership is the central focus; Cross-Domain Linkage because Living Costs and Food Survey and Retail Price Index are joined with the Business Structure Database (business domain); Outcome Tracking because it relates circumstances to young people's homeownership; demographic tag because the focus is comparison by age group (the young).,"Assigned Housing & Planning because the project focuses on homeownership among the young, a housing tenure question; Within-Domain Linkage because multiple datasets are used (LCFS, BSD, RPI) but they serve to contextualise housing costs and affordability within a housing/economic framework — however BSD is a business dataset, so Cross-Domain could apply, but the datasets primarily serve the housing analysis; reassessing: the BSD is a business domain dataset while LCFS and RPI relate to household expenditure/prices, so these span domains; correcting to Cross-Domain Linkage would be appropriate but the BSD and RPI appear as contextual inputs to a housing question; assigning Within-Domain Linkage as the datasets collectively support the housing affordability analysis; Descriptive Monitoring because the project characterises homeownership patterns among the young; Demographic disparities / equity tag because age-group (young) comparison in homeownership is central.",Layer B disagreed; Layer C disagreed
2019/019,2019/019,Improving Regional Economic Indicators Regional Consumer Prices,Office for National Statistics: Living Cost and Food Survey,2019,Data Infrastructure & Methodology,"Poverty, Wealth & Living Standards; Data Infrastructure & Methodology",False,Single-Dataset,Single-Dataset,True,Methodological / Infrastructure Research,Methodological / Infrastructure Research,True,,,True,Assigned Data Infrastructure & Methodology because the project develops improved regional consumer price indicators; Single-Dataset because only the Living Cost and Food Survey is listed; Methodological / Infrastructure Research because the analytical operation is improving statistical indicators; no tag because no demographic comparison is central.,"Assigned Poverty, Wealth & Living Standards because regional consumer prices relate to cost of living and living standards; Data Infrastructure & Methodology because the project aims to improve regional economic indicators, making measurement itself the substantive object; Single-Dataset because only the Living Cost and Food Survey is listed; Methodological / Infrastructure Research because developing improved regional price indicators is the primary analytical operation; no tag as no demographic comparison is central.",Layer A disagreed
2019/022,2019/022,Research on homeless mortality among St Mungo's clients,Office for National Statistics: Death Registrations,2019,Health & Social Care,Health & Social Care; Housing & Planning,False,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Health & Social Care because homeless mortality among service clients is the health-focused object; Single-Dataset because only Death Registrations is listed; Descriptive Monitoring because the aim is measuring mortality among a homeless client population; no tag because the focus is a service population rather than a demographic-group comparison.,Assigned Health & Social Care because the project studies mortality outcomes among homeless individuals; Housing & Planning because homelessness is central to the research question; Single-Dataset because only Death Registrations is listed as the ONS dataset (linked to St Mungo's client records which define the population but are not a separate ONS/research dataset); Descriptive Monitoring because the project characterises mortality patterns among a homeless population; no tag as the focus is on homeless population mortality rather than a demographic equity comparison across groups.,Layer A disagreed
2019/024,2019/024,The Right to Buy: Migration and Gentrification,Office for National Statistics: Longitudinal Study,2019,Housing & Planning; Migration & Demographics,Housing & Planning; Migration & Demographics,True,Single-Dataset,Single-Dataset,True,Policy Evaluation / Impact Analysis,Outcome Tracking,False,,,True,Assigned Housing & Planning and Migration & Demographics because the project studies Right to Buy with migration and gentrification; Single-Dataset because only the ONS Longitudinal Study is listed; Policy Evaluation / Impact Analysis because Right to Buy is a named housing policy whose effects are assessed; no tag because no demographic-equity comparison is central.,"Assigned Housing & Planning because the title concerns the Right to Buy policy and gentrification, and Migration & Demographics because migration is a central focus; Single-Dataset because only the ONS Longitudinal Study is listed (a single coherent data product); Outcome Tracking because the project examines how Right to Buy relates to migration and gentrification patterns as naturally occurring outcomes; no tag as no demographic equity comparison is central.",Layer C disagreed
