Record ID,Project ID,Title,Datasets Used,Year,substantive_domains_4_8,substantive_domains_4_6,substantive_domains_agree,linkage_mode_4_8,linkage_mode_4_6,linkage_mode_agree,analytical_purpose_4_8,analytical_purpose_4_6,analytical_purpose_agree,cross_cutting_tags_4_8,cross_cutting_tags_4_6,cross_cutting_tags_agree,rationale_4_8,rationale_4_6,disagreement_summary
2019/003,2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,Office for National Statistics: Annual Respondents Database,2019,Labour Market & Employment,Labour Market & Employment; Business & Productivity,False,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Labour Market & Employment because the project examines labour share and earnings across UK regions; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the analytical operation profiles distribution and trends in labour share and earnings across regions; no tag because the comparison is regional rather than across a demographic/equality-relevant group.,Assigned Labour Market & Employment because the title focuses on labour share and earnings; Business & Productivity because it examines superstar region dynamics and firm-level productivity implications; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the project characterises regional patterns in labour share and earnings; no tag because no demographic or equality-relevant group comparison is central.,Layer A disagreed
2019/004,2019/004,The changing nature of the HR and training practitioner profession,Office for National Statistics: Annual Population Survey,2019,Labour Market & Employment,Labour Market & Employment,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Labour Market & Employment because the focus is the HR and training practitioner profession and its workforce composition; Single-Dataset because only the Annual Population Survey is listed; Descriptive Monitoring because the project characterises the changing nature/profile of an occupation; no tag because no central demographic/equality comparison is indicated.,Assigned Labour Market & Employment because the project studies the HR and training practitioner profession and workforce dynamics; Single-Dataset because only the Annual Population Survey is listed; Descriptive Monitoring because it characterises the changing nature of a profession; no tag because no demographic equity comparison is indicated.,
2019/005,2019/005,Measuring the impact of hearing loss on well-being,Office for National Statistics: Annual Population Survey,2019,Health & Social Care,Health & Social Care,True,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Health & Social Care because hearing loss and wellbeing are central; Single-Dataset because only the Annual Population Survey is listed; Outcome Tracking because it relates hearing loss to wellbeing outcomes; no tag because no demographic-group comparison is central.,Assigned Health & Social Care because the project measures the impact of hearing loss (a health condition) on well-being; Single-Dataset because only the Annual Population Survey is listed; Outcome Tracking because the project links hearing loss as an exposure to well-being as an outcome; no tag as no demographic group comparison is indicated as central.,
2019/006,2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,Office for National Statistics: Crime Survey for England and Wales,2019,Crime & Justice,Crime & Justice,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Crime & Justice because the project analyses victimisation data; Single-Dataset because only the Crime Survey for England and Wales is listed; Descriptive Monitoring because the operation is profiling victimisation patterns; no tag because no central demographic comparison is indicated.,Assigned Crime & Justice because the project analyses victimisation data; Single-Dataset because only the Crime Survey for England and Wales is listed; Descriptive Monitoring because the title indicates analysis of victimisation patterns; no tag because no demographic equity comparison is central.,
2019/007,2019/007,Thriving Places index indicators of wellbeing at local authority level,Office for National Statistics: Labour Force Survey & Annual Population Survey,2019,Health & Social Care,Health & Social Care,True,Within-Domain Linkage,Single-Dataset,False,Descriptive Monitoring,Descriptive Monitoring,True,,,True,"Assigned Health & Social Care because the project builds wellbeing indicators at local authority level; Within-Domain Linkage because the Labour Force Survey and Annual Population Survey are both labour-market/social survey sources within one domain; Descriptive Monitoring because it constructs indicators and profiles wellbeing across places; no tag because the variation is geographic, not demographic-group based.",Assigned Health & Social Care because the Thriving Places index focuses on wellbeing indicators at local authority level; Single-Dataset because LFS and APS are listed as an internally coherent product (Labour Force Survey & Annual Population Survey); Descriptive Monitoring because the project measures wellbeing indicators across local authorities; no tag because no demographic group comparison is central.,Layer B disagreed
2019/008,2019/008,Class in UK creative industries: Beyond participation,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",2019,Labour Market & Employment,Labour Market & Employment,True,Within-Domain Linkage,Cross-Domain Linkage,False,Descriptive Monitoring,Descriptive Monitoring,True,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Labour Market & Employment because the focus is class composition and participation in creative-industry occupations; Within-Domain Linkage because LFS/APS and Understanding Society are general labour-market/social surveys within the same domain; Descriptive Monitoring because it characterises class composition beyond participation; tag assigned because class/social-origin comparison is central to the equity question.,Assigned Labour Market & Employment because the project examines class-based participation in creative industries workforce; Cross-Domain Linkage because it uses LFS/APS (labour market domain) and Understanding Society (household panel spanning multiple domains); Descriptive Monitoring because it characterises class composition in creative industries; Demographic disparities / equity tag because the title explicitly centres on class-based inequality in participation.,Layer B disagreed
2019/009,2019/009,Functional specialisation and their linkages between London & UK cities,Office for National Statistics: Business Structure Database,2019,Business & Productivity,Business & Productivity,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Business & Productivity because the project studies functional specialisation and linkages between cities using firm-level data; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because it characterises specialisation and inter-city linkages; no tag because no demographic comparison is central.,Assigned Business & Productivity because the project studies functional specialisation and linkages between cities using firm-level data; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because it maps and characterises functional specialisation patterns across cities; no tag because no demographic equity comparison is indicated.,
2019/010,2019/010,Diversity in the Creative Industries,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",2019,Labour Market & Employment,Labour Market & Employment,True,Within-Domain Linkage,Cross-Domain Linkage,False,Descriptive Monitoring,Descriptive Monitoring,True,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Labour Market & Employment because the project examines workforce diversity in creative-industry employment; Within-Domain Linkage because LFS/APS and Understanding Society are labour-market/social surveys within one domain; Descriptive Monitoring because it profiles diversity composition; tag assigned because demographic diversity comparison is the central lens.,"Assigned Labour Market & Employment because the project examines workforce diversity in creative industries; Cross-Domain Linkage because it uses LFS/APS (labour market domain) and Understanding Society (household panel spanning multiple domains); Descriptive Monitoring because it characterises diversity patterns in creative industries; Demographic disparities / equity tag because 'diversity' centrally involves comparison across demographic groups such as ethnicity, gender, and disability.",Layer B disagreed
2019/011,2019/011,Modelling Return on Investment at the firm level,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,"Assigned Business & Productivity because the project models firm-level return on investment using innovation and business surveys; Within-Domain Linkage because the UK Innovation Survey, Annual Business Survey, BERD and BRES are all firm/business datasets within one domain; Outcome Tracking because it links firm investment to performance outcomes; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project models return on investment at the firm level using innovation and business surveys; Within-Domain Linkage because multiple datasets (UK Innovation Survey, Annual Business Survey, BERD, BRES) all sit within the business/firm domain; Outcome Tracking because it links firm-level investment/innovation inputs to return-on-investment outcomes; no tag because no demographic equity comparison is central.",
2019/012,2019/012,The impact of the immigration white paper on the Northern Ireland economy,Office for National Statistics: Labour Force Survey & Annual Population Survey,2019,Labour Market & Employment; Migration & Demographics,Labour Market & Employment; Migration & Demographics,True,Single-Dataset,Single-Dataset,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Labour Market & Employment and Migration & Demographics because the project assesses immigration policy effects on the Northern Ireland economy and labour supply; Single-Dataset because only the Labour Force Survey & Annual Population Survey is listed; Policy Evaluation / Impact Analysis because it evaluates the impact of the named immigration white paper; no tag because migration is the policy object rather than a demographic-group comparison.,Assigned Labour Market & Employment because the project examines economic and labour market impacts; Migration & Demographics because it focuses on the immigration white paper and migration policy; Single-Dataset because only the LFS/APS is listed; Policy Evaluation / Impact Analysis because it evaluates the impact of a specific named policy (immigration white paper) on the economy; no tag because no demographic equity comparison is central beyond migration policy itself.,
