Record ID,record_linkage,matched_products,record_linkage_component_domains,dataset_collection_types,dataset_units,researcher_sectors
2019/003,No record linkage,,,survey,business,academic
2019/004,No record linkage,,,survey,individual,third-sector
2019/006,No record linkage,,,survey,individual,government
2019/007,No record linkage,,,survey,individual,third-sector
2019/008,No record linkage,,,survey; cohort,individual; household,third-sector
2019/009,No record linkage,,,administrative,business,academic; commercial
2019/010,No record linkage,,,survey; cohort,individual; household,government
2019/011,No record linkage,,,survey,business,academic
2019/012,No record linkage,,,survey,individual,commercial
2019/013,No record linkage,,,administrative,business,commercial
2019/014,No record linkage,,,survey; administrative,household; business,academic
2019/015,No record linkage,,,survey,individual; household,third-sector
2019/017,No record linkage,,,survey; administrative,business,government
2019/018,No record linkage,,,survey; administrative,business,academic; government
2019/019,No record linkage,,,survey,household,academic; government
2019/020,No record linkage,,,survey; administrative,individual,academic
2019/021,No record linkage,,,survey; administrative,individual,academic
2019/005,No record linkage,,,survey,individual,government
2019/016,No record linkage,,,survey; administrative,household; business; area,government
2019/022,No record linkage,,,administrative,individual,third-sector
2019/023,No record linkage,,,survey,individual,academic
2019/024,No record linkage,,,cohort,individual,academic
2019/026,No record linkage,,,survey,individual,academic
2020/001,No record linkage,,,cohort,business,third-sector
2020/003,No record linkage,,,survey,individual; business,academic
2020/004,No record linkage,,,administrative,business,commercial
2020/005,No record linkage,,,cohort,household; business,academic; commercial; unclassified
2020/002,No record linkage,,,survey; administrative,individual; business,commercial
2019/025,No record linkage,,,survey; administrative,individual,government
2020/008,No record linkage,,,administrative,individual,academic; government
2020/010,No record linkage,,,survey; cohort,individual; household,third-sector
2020/011,No record linkage,,,survey; cohort; administrative,individual; business,government; unclassified
2020/012,No record linkage,,,survey; administrative,individual; business,third-sector
2020/013,No record linkage,,,survey; administrative,individual; business,government
2020/007,No record linkage,,,survey; cohort; administrative,business,academic
2020/015,No record linkage,,,survey; administrative,individual; business,third-sector
2020/025,No record linkage,,,survey; administrative,business,academic
2020/016,No record linkage,,,survey; cohort,individual; business,academic; commercial
2020/017,No record linkage,,,survey,household,commercial
2020/018,No record linkage,,,survey,individual,academic; third-sector
2020/020,No record linkage,,,administrative,business,academic; government
2020/021,No record linkage,,,survey,individual,academic; third-sector
2020/022,No record linkage,,,survey,individual,third-sector
2020/023,No record linkage,,,survey; administrative,individual; household; business,academic
2020/024,No record linkage,,,survey; administrative,individual; business,academic
2020/026,No record linkage,,,survey,business,commercial
2020/027,No record linkage,,,survey; administrative,individual,academic; government; unclassified
2020/030/a,No record linkage,,,cohort,individual,academic
2020/048,No record linkage,,,survey; administrative,business,academic; third-sector
2020/049,No record linkage,,,survey; administrative,individual; business,commercial
2020/039,No record linkage,,,survey,individual,third-sector
2020/014,No record linkage,,,survey; administrative,business,academic; government
2020/028,No record linkage,,,survey,individual,academic
2020/029,No record linkage,,,survey; administrative,business,academic
2020/030/b,No record linkage,,,survey,business,academic
2020/033,No record linkage,,,survey,individual,academic
2020/034,No record linkage,,,survey,household,academic
2020/035,No record linkage,,,survey,individual,academic
2020/037,No record linkage,,,survey,individual,unclassified
2020/038,No record linkage,,,administrative,business,academic
2020/040,No record linkage,,,cohort,business,academic
2020/041,No record linkage,,,survey; administrative,individual; business,academic; third-sector
2020/042,No record linkage,,,survey,individual; business,academic
2020/043,No record linkage,,,survey; administrative,business,academic
