Year,linkage_mode,count,total,pct_of_projects
2019,Cross-Domain Linkage,1,22,4.5
2019,Single-Dataset,12,22,54.5
2019,Within-Domain Linkage,9,22,40.9
2020,Cross-Domain Linkage,23,120,19.2
2020,Single-Dataset,46,120,38.3
2020,Within-Domain Linkage,51,120,42.5
2021,Cross-Domain Linkage,24,160,15.0
2021,Single-Dataset,63,160,39.4
2021,Within-Domain Linkage,73,160,45.6
2022,Cross-Domain Linkage,25,202,12.4
2022,Single-Dataset,83,202,41.1
2022,Within-Domain Linkage,94,202,46.5
2023,Cross-Domain Linkage,38,209,18.2
2023,Single-Dataset,84,209,40.2
2023,Unclear from Title,1,209,0.5
2023,Within-Domain Linkage,86,209,41.1
2024,Cross-Domain Linkage,72,236,30.5
2024,Single-Dataset,100,236,42.4
2024,Within-Domain Linkage,64,236,27.1
2025,Cross-Domain Linkage,56,271,20.7
2025,Single-Dataset,127,271,46.9
2025,Within-Domain Linkage,88,271,32.5
2026,Cross-Domain Linkage,6,51,11.8
2026,Single-Dataset,22,51,43.1
2026,Within-Domain Linkage,23,51,45.1
