Year,purpose,count,total,pct_of_projects
2019,Descriptive Monitoring,10,22,45.5
2019,Inequality / Disparities Analysis,2,22,9.1
2019,Methodological / Infrastructure Research,1,22,4.5
2019,Outcome Tracking,5,22,22.7
2019,Policy Evaluation / Impact Analysis,3,22,13.6
2019,Risk Prediction / Early Identification,1,22,4.5
2020,Descriptive Monitoring,54,120,45.0
2020,Inequality / Disparities Analysis,13,120,10.8
2020,Life-Course / Trajectory Analysis,3,120,2.5
2020,Methodological / Infrastructure Research,4,120,3.3
2020,Outcome Tracking,18,120,15.0
2020,Policy Evaluation / Impact Analysis,29,120,24.2
2020,Risk Prediction / Early Identification,2,120,1.7
2020,Service Interaction / Systems Analysis,1,120,0.8
2021,Descriptive Monitoring,51,160,31.9
2021,Inequality / Disparities Analysis,39,160,24.4
2021,Life-Course / Trajectory Analysis,7,160,4.4
2021,Methodological / Infrastructure Research,10,160,6.2
2021,Outcome Tracking,26,160,16.2
2021,Policy Evaluation / Impact Analysis,36,160,22.5
2021,Risk Prediction / Early Identification,1,160,0.6
2021,Unclear from Title,1,160,0.6
2022,Descriptive Monitoring,82,202,40.6
2022,Inequality / Disparities Analysis,34,202,16.8
2022,Life-Course / Trajectory Analysis,9,202,4.5
2022,Methodological / Infrastructure Research,7,202,3.5
2022,Outcome Tracking,36,202,17.8
2022,Policy Evaluation / Impact Analysis,39,202,19.3
2022,Risk Prediction / Early Identification,2,202,1.0
2022,Service Interaction / Systems Analysis,1,202,0.5
2023,Descriptive Monitoring,77,209,36.8
2023,Inequality / Disparities Analysis,34,209,16.3
2023,Life-Course / Trajectory Analysis,9,209,4.3
2023,Methodological / Infrastructure Research,6,209,2.9
2023,Outcome Tracking,42,209,20.1
2023,Policy Evaluation / Impact Analysis,48,209,23.0
2023,Risk Prediction / Early Identification,1,209,0.5
2023,Service Interaction / Systems Analysis,3,209,1.4
2023,Unclear from Title,1,209,0.5
2024,Descriptive Monitoring,68,236,28.8
2024,Inequality / Disparities Analysis,36,236,15.3
2024,Life-Course / Trajectory Analysis,16,236,6.8
2024,Methodological / Infrastructure Research,14,236,5.9
2024,Outcome Tracking,55,236,23.3
2024,Policy Evaluation / Impact Analysis,47,236,19.9
2024,Risk Prediction / Early Identification,6,236,2.5
2024,Service Interaction / Systems Analysis,8,236,3.4
2025,Descriptive Monitoring,85,271,31.4
2025,Inequality / Disparities Analysis,40,271,14.8
2025,Life-Course / Trajectory Analysis,18,271,6.6
2025,Methodological / Infrastructure Research,18,271,6.6
2025,Outcome Tracking,67,271,24.7
2025,Policy Evaluation / Impact Analysis,55,271,20.3
2025,Risk Prediction / Early Identification,6,271,2.2
2025,Service Interaction / Systems Analysis,10,271,3.7
2026,Descriptive Monitoring,14,51,27.5
2026,Inequality / Disparities Analysis,9,51,17.6
2026,Life-Course / Trajectory Analysis,4,51,7.8
2026,Methodological / Infrastructure Research,4,51,7.8
2026,Outcome Tracking,12,51,23.5
2026,Policy Evaluation / Impact Analysis,9,51,17.6
2026,Risk Prediction / Early Identification,1,51,2.0
2026,Service Interaction / Systems Analysis,2,51,3.9
