Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,primary_domain
2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,"Carolin Ioramashvili, London School of Economics",Digital Economy Act (2017) ,Office for National Statistics: Annual Respondents Database ,Office for National Statistics Secure Research Service,2019-10-25,2019/003,2019,2019Q4,Q4 2019,Labour Market & Employment; Business & Productivity,Single-Dataset,Descriptive Monitoring,Labour Market & Employment
2019/004,The changing nature of the HR and training practitioner profession,"Jonathan Boys, Chartered Institute of Personnel and Development",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey ,Office for National Statistics Secure Research Service,2019-10-25,2019/004,2019,2019Q4,Q4 2019,Labour Market & Employment; Education & Skills,Single-Dataset,Descriptive Monitoring,Labour Market & Employment
2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,"Julian Molina, Office of the Victims' Commissioner for England and Wales",Digital Economy Act (2017) ,Office for National Statistics: Crime Survey for England and Wales ,Office for National Statistics Secure Research Service,2019-10-14,2019/006,2019,2019Q4,Q4 2019,Crime & Justice,Single-Dataset,Descriptive Monitoring,Crime & Justice
2019/007,Thriving Places index indicators of wellbeing at local authority level,"Soraya Safazadeh, Happy City Initiative 
Saamah Abdallah, New Economics Foundation",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey  & Annual Population Survey ,Office for National Statistics Secure Research Service,2019-10-14,2019/007,2019,2019Q4,Q4 2019,"Poverty, Inequality & Living Standards",Single-Dataset,Descriptive Monitoring,"Poverty, Inequality & Living Standards"
2019/008,Class in UK creative industries: Beyond participation,"Rebecca Florisson, The Work Foundation",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society ",Office for National Statistics Secure Research Service,2019-11-19,2019/008,2019,2019Q4,Q4 2019,"Labour Market & Employment; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment
2019/009,Functional specialisation and their linkages between London & UK cities,"Joanna Jedrasaiak, ARUP
Enrico Vanino, University of Aston",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database ,Office for National Statistics Secure Research Service,2019-10-14,2019/009,2019,2019Q4,Q4 2019,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity
2019/010,Diversity in the Creative Industries,"Danielle Cox, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey  & Annual Population Survey 
Institute for Social and Economic Research: Understanding Society  ",Office for National Statistics Secure Research Service,2019-10-31,2019/010,2019,2019Q4,Q4 2019,"Labour Market & Employment; Gender, Race & Ethnicity",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment
2019/011,Modelling Return on Investment at the firm level,"Chris Dimos, University of Bath",Digital Economy Act (2017) ,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",Office for National Statistics Secure Research Service,2019-10-14,2019/011,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking,Business & Productivity
2019/012,The impact of the immigration white paper on the Northern Ireland economy,"Patrick Deshpande, Oxford Economics",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey  & Annual Population Survey ,Office for National Statistics Secure Research Service,2019-10-14,2019/012,2019,2019Q4,Q4 2019,Migration & Demographics; Labour Market & Employment,Single-Dataset,Policy Evaluation / Impact Analysis,Migration & Demographics
2019/013,TechNation programme evaluation,"Thomas Baily, Frontier Economics
Eli Daniels, Frontier Economics
Federico Cilauro, Frontier Economics",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database ,Office for National Statistics Secure Research Service,2019-10-14,2019/013,2019,2019Q4,Q4 2019,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity
