Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,sample_reason
2025/220,2025/220,Low Earner Lifecourses,"Office for National Statistics: Annual Survey of Hours and Earnings 
Longitudinal - UK",2025-10-08,2025,short_title
2024/252,2024/252,ICT and firm performance,"Office for National Statistics: Annual Respondents Database x - UK, E-commerce and Digital Economy Survey - UK, Annual Respondents Database 2 - UK",2024-12-18,2024,short_title
2020/014,2020/014,UK Competition Indicators,"Office for National Statistics: Business Structure Database, Annual Respondents Database , Annual Respondents Database X , Longitudinal Inter-Departmental Business Register, Business Register Employment Survey, Business Expenditure on Research and Development, Annual Business Survey, Producer Price Index  & Business Impact of COVID-19 Survey  
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",2020-03-24,2020,short_title
2021/110,2021/110,UK Productivity Puzzle,"Office for National Statistics: Annual Business Survey, Annual Respondents Database X, Annual Respondents Database, Business Structure Database, Longitudinal Small Business Survey, Prices Survey Microdata 
Department for Business, Energy & Industrial Strategy: UK Innovation Survey  ",2021-11-23,2021,short_title
2020/052,2020/052,Ethic inequalities in the UK,"Office for National Statistics: Annual Population Survey:  Wellbeing, Labour Force Survey , Labour Force Survey   & Labour Force Survey  ",2020-09-07,2020,short_title
2021/149,2021/149,Joint Economic Data Hub ,"Office for National Statistics: Annual Business Survey, Annual Population Survey , Annual Population Survey , Annual Survey of Hours and Earnings, Business Enterprise Research and Development, Business Register Employment Survey, UK Manufacturers' Sales by Product Survey, Linked Trade-in-Goods/IDBR Dataset
Department for Business, Energy & Industrial Strategy: UK Innovation Survey ",2021-11-11,2021,short_title
2021/109,2021/109,Is Britain Fairer? 2020-2021,"Office for National Statistics: Annual Population Survey, Crime Survey for England and Wales ",2021-08-09,2021,short_title
2024/126,2024/126,Firming Up Technology Trade,"Office for National Statistics: Business Structure Database - UK, Business Enterprise Research and Development - Great Britain, Annual Survey of Hours and Earnings - GB, International Trade in Services - UK, Annual Respondents Database x - UK, Annual Survey of Hours and Earnings Longitudinal - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
DBT: UK Innovation Survey",2024-07-02,2024,short_title
2021/062,2021/062,Post-Pandemic Prosperity ,"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Impact of COVID­-19 Survey, Business Structure Database, Longitudinal Inter ­Departmental Business Register, Management and Expectations Survey ",2021-08-06,2021,short_title
2024/109,2024/109,London childcare demand,Department For Education: Childcare and Early Years Survey of Parents - England,2024-06-06,2024,short_title
