dataset,dataset_family,projects
Business Structure Database (BSD),,273
Annual Business Survey (ABS),ABS,220
Annual Survey of Hours and Earnings (ASHE),ASHE,197
Annual Population Survey (APS),APS,165
Longitudinal Education Outcomes (LEO),LEO,116
UK Innovation Survey (UKIS),,75
Business Enterprise Research and Development (BERD),,70
Labour Force Survey Person,Labour Force Survey,66
Business Register and Employment Survey (BRES),,64
Labour Force Survey (LFS),Labour Force Survey,62
Annual Respondents Database X,,57
Understanding Society,,56
ONS Longitudinal Study (LS),,51
Labour Force Survey Household,Labour Force Survey,46
Quarterly Labour Force Survey,Labour Force Survey,44
ASHE Longitudinal,ASHE,41
Annual Respondents Database,,40
Crime Survey for England and Wales (CSEW),,38
Living Costs and Food Survey (LCF),,38
Labour Force Survey Longitudinal,Labour Force Survey,37
International Trade in Services,,36
Education and Child Health Insights from Linked Data (ECHILD),,32
Longitudinal Small Business Survey (LSBS),,31
Census Wales 2011,Census,30
Wealth and Assets Survey (WAS),,28
Census 2011,Census,27
Universities and Colleges Admissions Service (UCAS),,25
Census 2021,Census,24
Annual Survey of Hours and Earnings linked to Census 2011,ASHE-linked,22
COVID-19 Infection Survey (CIS),,22
Annual Purchases Survey,,21
Business Insights and Conditions Survey (BICS),,20
Coronavirus and the Social Impacts on Great Britain,,19
Death Registrations,Death Registrations,19
Linked Trade-in-Goods/Inter-Departmental Business Register,,19
Management and Expectations Survey (MES),,19
Annual Foreign Direct Investment Survey,,18
Business Impact of COVID-19 Survey,,18
Business Structure Database Longitudinal,,18
Opinions and Lifestyle Survey (OPN),,18
E-Commerce Survey,,17
New Earnings Survey (NES),,17
Annual Respondents Database 2,,16
Business Expenditure on Research and Development,,15
Consumer Prices Index,,15
Longitudinal Inter-Departmental Business Register,,15
Quarterly Acquisitions and Disposals of Capital Assets Survey,,14
Quarterly Capital Expenditure Survey,,14
Employer Skills Survey and Investment in Training,,13
Vacancy Survey,,13
Workplace Employment Relations Survey,,13
Community Innovation Survey,,12
GRading and Admissions Data England (GRADE),,12
Growing Up in England Wave 1 (GUIE),GUIE,12
Low Carbon and Renewable Energy Economy Survey,,12
UK Manufacturers' Sales by Product Survey,,12
Longitudinal Business Database,,11
Annual Business Inquiry,,10
Death Registration Data - Provisional Monthly Extracts,,10
MoJ Data First Crown Court Defendant Case Level,Data First,10
MoJ Data First Magistrates' Court Defendant Case Level,Data First,10
Monthly Wages and Salary Survey,,10
Quarterly Fuels Inquiry,,10
Annual International Trade in Services,,9
Decision Maker Panel,,9
Employer Skills Survey,,9
Linked Trade-in-Goods/IDBR,,9
Management Practices Survey,,9
Monthly Business Survey,,9
National Employer Skills Survey,,9
Producer Price Index,,9
Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,WED,8
Education and Child Health Insights from Linked Data Research Data,,8
Family Resources Survey,,8
Linked Census and Death Occurrences,Census,8
Census Wales 2021,Census,7
E-Commerce and Digital Economy Survey,,7
Growing Up in England Wave 2 (GUIE),GUIE,7
Investment in Intangible Assets Survey,,7
Labour Force Survey Five-Quarter Longitudinal,Labour Force Survey,7
MoJ Data First Cross-Justice System Linking Dataset,Data First,7
MoJ Data First Prisoner Custodial Journey,Data First,7
MoJ Data First Probation,Data First,7
New Earnings Survey Panel,,7
Public Health Research Database,,7
Annual Population Survey Household,APS,6
Annual Population Survey Longitudinal,APS,6
Annual Survey of Goods and Services,,6
Birth Registrations in England and Wales,,6
Broad Economy Sales and Exports,,6
Death Registrations Finalised,Death Registrations,6
English School Census Absences,School Census,6
Growing Up in England Wave 2 - Exclusions,GUIE,6
MoJ Data First Crown Court Defendant,Data First,6
MoJ Data First Crown Court Iteration 2,Data First,6
Northern Ireland Annual Business Inquiry,,6
Small Business Survey,,6
Administrative Data | Agricultural Research Collection (AD|ARC),AD|ARC,5
Business Enterprise Research and Development England,,5
COVID-19 Infection Survey linked to Combined Vaccination,COVID-19 Infection Survey linked products,5
Capital Stock Dataset,,5
Labour Force Survey Two-Quarter Longitudinal,Labour Force Survey,5
MoJ Data First Linked Criminal Courts Defendant Case Level,Data First,5
MoJ Data First Magistrates Court Iteration 2,Data First,5
National Travel Survey,,5
Annual Inquiry into Foreign Direct Investment,,4
Annual Population Survey: Well-Being,APS,4
COVID-19 Schools Infection Survey,,4
Mergers and Acquisitions Survey,,4
MoJ Data First Family Court,Data First,4
MoJ Data First Linked Criminal Courts,Data First,4
Products of the European Community,,4
Annual Gas and Electricity Consumption at Meter Level,,3
Annual Population Survey Person,APS,3
Bespoke Management and Expectations Survey,,3
British Household Panel Survey,,3
COVID-19 Infection Survey linked to NHS Test and Trace,COVID-19 Infection Survey linked products,3
COVID-19 Infection Survey linked to VOA and EPC,COVID-19 Infection Survey linked products,3
Census 1961,Census,3
Census 1971,Census,3
Census 1981,Census,3
Census 2001 Household,Census,3
Census 2001 Individual,Census,3
Census 2011 England and Wales Household Structure for COVID-19 Models,Census,3
Census 2011 Household,Census,3
Census 2011 Origin-Destination,Census,3
Census 2011 linked to Benefits and Income,Census,3
Earnings and Employees Study,,3
Employment Creation and Survival,,3
Firm Productivity,,3
Further Education Workforce Data Collection,,3
HES and Mortality,,3
Linked Census,,3
Longitudinal Labour Force Survey,Labour Force Survey,3
MoJ Data First Magistrates' Court Defendant,Data First,3
