raw_dataset,canonical_dataset_name,dataset_family,match_type,needs_review,count,example_project_id
Business Structure Database,Business Structure Database (BSD),,alias,0,170,2019/009
Annual Business Survey,Annual Business Survey (ABS),ABS,alias,0,137,2019/011
Annual Population Survey,Annual Population Survey (APS),APS,alias,0,124,2019/004
Annual Survey of Hours and Earnings,Annual Survey of Hours and Earnings (ASHE),ASHE,alias,0,117,2019/015
Business Structure Database - UK,Business Structure Database (BSD),,alias,0,86,2023/016
UK Innovation Survey,UK Innovation Survey (UKIS),,alias,0,74,2019/011
Labour Force Survey,Labour Force Survey (LFS),Labour Force Survey,alias,0,70,2019/007
Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England,Longitudinal Education Outcomes (LEO),LEO,alias,0,57,2023/232
Quarterly Labour Force Survey,Quarterly Labour Force Survey,Labour Force Survey,identity,0,46,2020/010
Annual Business Survey - GB,Annual Business Survey (ABS),ABS,alias,0,43,2023/172
Annual Population Survey - UK,Annual Population Survey (APS),APS,alias,0,43,2023/001
Annual Respondents Database,Annual Respondents Database,,alias,0,43,2019/003
Annual Survey of Hours and Earnings - UK,Annual Survey of Hours and Earnings (ASHE),ASHE,alias,0,43,2023/021
Labour Force Survey Person - UK,Labour Force Survey Person,Labour Force Survey,normalised_format,0,41,2023/001
Crime Survey for England and Wales,Crime Survey for England and Wales (CSEW),,alias,0,39,2019/006
Annual Business Survey - UK,Annual Business Survey (ABS),ABS,alias,0,31,2023/042
Business Enterprise Research and Development - Great Britain,Business Enterprise Research and Development (BERD),,alias,0,30,2023/042
Understanding Society - UK,Understanding Society,,normalised_format,0,30,2023/010
Business Enterprise Research and Development,Business Enterprise Research and Development (BERD),,alias,0,29,2019/011
Annual Survey of Hours and Earnings Longitudinal - UK,ASHE Longitudinal,ASHE,alias,0,28,2023/028
Living Costs and Food Survey,Living Costs and Food Survey (LCF),,alias,0,27,2019/014
Business Register Employment Survey - UK,Business Register and Employment Survey (BRES),,alias,0,26,2023/009
Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England,Longitudinal Education Outcomes (LEO),LEO,alias,0,26,2023/011
Understanding Society,Understanding Society,,identity,0,26,2019/008
Annual Survey of Hours and Earnings - GB,Annual Survey of Hours and Earnings (ASHE),ASHE,alias,0,25,2024/132
Census 2011,Census 2011,Census,identity,0,25,2019/021
Annual Respondents Database x - UK,Annual Respondents Database X,,alias,0,23,2022/128
Labour Force Survey Longitudinal - UK,Labour Force Survey Longitudinal,Labour Force Survey,normalised_format,0,23,2023/001
Longitudinal Small Business Survey,Longitudinal Small Business Survey (LSBS),,alias,0,23,2020/001
Labour Force Survey Household - UK,Labour Force Survey Household,Labour Force Survey,normalised_format,0,22,2022/045
Education and Child Health Insights from Linked Data - England,Education and Child Health Insights from Linked Data (ECHILD),,alias,0,20,2024/197
Longitudinal Study of England and Wales,ONS Longitudinal Study (LS),,alias,0,20,2020/050
ONS Longitudinal Study - England and Wales,ONS Longitudinal Study (LS),,alias,0,20,2023/015
Business Register and Employment Survey,Business Register and Employment Survey (BRES),,alias,0,19,2019/011
Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,Annual Survey of Hours and Earnings linked to Census 2011,ASHE,alias,0,18,2023/058
Coronavirus and the social impacts on Great Britain,Coronavirus and the Social Impacts on Great Britain,,alias,0,18,2020/066
2011 Census Data Welsh residents,Census Wales 2011,Census,alias,0,17,2020/047
Annual Respondents Database X,Annual Respondents Database X,,alias,0,17,2020/014
Business Register Employment Survey,Business Register and Employment Survey (BRES),,alias,0,17,2020/012
Census 2021,Census 2021,Census,identity,0,17,2024/019
Death Registrations,Death Registrations,Death Registrations,alias,0,17,2019/020
International Trade in Services,International Trade in Services,,alias,0,17,2019/014
LEO via SRS Iteration 1 Standard Extract,Longitudinal Education Outcomes (LEO),LEO,alias,0,17,2021/074
Labour Force Survey Person,Labour Force Survey Person,Labour Force Survey,identity,0,16,2020/011
Wealth and Assets Survey,Wealth and Assets Survey (WAS),,alias,0,16,2019/015
Business Expenditure on Research and Development,Business Expenditure on Research and Development,,identity,0,14,2019/014
Business Impact of COVID-19 Survey,Business Impact of COVID-19 Survey,COVID-19,identity,0,14,2020/003
International Trade in Services - UK,International Trade in Services,,alias,0,14,2023/050
Linked Trade-in-Goods/Inter-Departmental Business Register - UK,Linked Trade-in-Goods/Inter-Departmental Business Register,,alias,0,14,2023/050
Employer Skills Survey and Investment in Training - UK,Employer Skills Survey and Investment in Training,,normalised_format,0,13,2023/065
Business Insights and Conditions Survey - UK,Business Insights and Conditions Survey (BICS),,alias,0,12,2023/042
Business Structure Database UK,Business Structure Database (BSD),,alias,0,12,2022/081
Education and Child Health Insights from Linked Data,Education and Child Health Insights from Linked Data (ECHILD),,alias,0,12,2025/006
Growing Up in England Wave 1,Growing Up in England Wave 1 (GUIE),GUIE,alias,0,12,2021/035
Management and Expectations Survey,Management and Expectations Survey (MES),,alias,0,12,2020/054
