Project ID,Record ID,Title,Datasets Used,substantive_domains,linkage_mode,analytical_purpose,primary_domain,n_providers,n_datasets,is_flagged,human_domain,human_linkage,human_purpose,notes
2020/038,2020/038,Evaluation of the Small Business Bonus Scheme in Scotland,"Office for National Statistics: Business Structure Database   
Scottish Government: Valuation data of Scottish properties ",Business & Productivity; Public Finance & Taxation,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,1,1,True,,,,
2020/020,2020/020,Business dynamism,Office for National Statistics: Business Structure Database,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity,1,1,True,,,,
2020/007,2020/007,Business Succession in Wales,"Office for National Statistics: Business Structure Database, Annual Business Survey 
Department for Business, Energy and Industrial Strategy: Small Business Survey  & Longitudinal Small Business Survey ",Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,2,4,True,,,,
2020/026,2020/026,Research on Digital Trade,Office for National Statistics: E-Commerce Survey  & International Trade in Services ,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,1,2,True,,,,
2020/014,2020/014,UK Competition Indicators,"Office for National Statistics: Business Structure Database, Annual Respondents Database , Annual Respondents Database X , Longitudinal Inter-Departmental Business Register, Business Register Employment Survey, Business Expenditure on Research and Development, Annual Business Survey, Producer Price Index  & Business Impact of COVID-19 Survey  
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,2,10,True,,,,
2020/029,2020/029,Incentives for Innovation,"Office for National Statistics: Annual Respondents Database, Annual Business Survey, Business Structure Database, Business Expenditure on Research and Development  
Department for Business, Energy and Industrial Strategy: UK Innovation Survey ",Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,2,5,True,,,,
2021/062,2021/062,Post-Pandemic Prosperity ,"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Impact of COVID­-19 Survey, Business Structure Database, Longitudinal Inter ­Departmental Business Register, Management and Expectations Survey ",Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Outcome Tracking,Business & Productivity,1,6,True,,,,
2020/027,2020/027,COVID-19 Infection Survey,"Office for National Statistics: ONS COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data 
Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data  
Office for National Statistics / University of Oxford: Covid-19 Infection Survey with National Immunisation Management Service, Covid-19 Infection Survey linked with Death Occurrences England and Wales 
Office for National Statistics / NHSD / University of Oxford: COVID-19 Infection Survey linked with Public Health Research Database  ",COVID-19 & Pandemic; Health & Social Care,Cross-Domain Linkage,Descriptive Monitoring; Outcome Tracking,COVID-19 & Pandemic,4,8,True,,,,
2020/120,2020/120,COVID-19 Local Area Profiles,"Office for National Statistics: Annual Population Survey , Annual Survey of Hours and Earnings, Business Structure Database, Coronavirus and the social impacts on Great Britain, Death registration data Provisional Monthly Extracts, Linked Census and death occurrences   & 2011 Census Ethnicity Data
Office for National Statistics / University of Oxford: COVID-19 Infection Survey ",COVID-19 & Pandemic; Health & Social Care; Migration & Demographics,Cross-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic,2,8,True,,,,
2020/044,2020/044,Social factors impacting offending and resettlement in Northern Ireland,"Northern Ireland General Register Office: Death data 
Northern Ireland Department of Justice: Offending data 
",Crime & Justice,Cross-Domain Linkage,Outcome Tracking,Crime & Justice,1,1,True,,,,
2020/033,2020/033,Education and Identity,Office for National Statistics: Quarterly Labour Force Survey ,Education & Skills,Single-Dataset,Descriptive Monitoring,Education & Skills,1,1,True,,,,
2021/109,2021/109,Is Britain Fairer? 2020-2021,"Office for National Statistics: Annual Population Survey, Crime Survey for England and Wales ","Gender, Race & Ethnicity",Cross-Domain Linkage,Inequality / Disparities Analysis; Descriptive Monitoring,"Gender, Race & Ethnicity",1,2,True,,,,
2020/052,2020/052,Ethic inequalities in the UK,"Office for National Statistics: Annual Population Survey:  Wellbeing, Labour Force Survey , Labour Force Survey   & Labour Force Survey  ","Gender, Race & Ethnicity; Labour Market & Employment",Single-Dataset,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,4,True,,,,
