proposed_canonical,current_name,projects,total_projects_in_group,n_variants
Business Structure Database,Business Structure Database,170,272,7
Business Structure Database,Business Structure Database - UK,86,272,7
Business Structure Database,Business Structure Database UK,12,272,7
Business Structure Database,Business Structure Database ­ UK,1,272,7
Business Structure Database,Business structure database,1,272,7
Business Structure Database,Business Structure Database UK,1,272,7
Business Structure Database,Business structure Database - UK,1,272,7
Annual Business Survey,Annual Business Survey,137,220,6
Annual Business Survey,Annual Business Survey - GB,43,220,6
Annual Business Survey,Annual Business Survey - UK,31,220,6
Annual Business Survey,Annual Business Survey GB,4,220,6
Annual Business Survey,Annual Business Survey UK,4,220,6
Annual Business Survey,Annual Business Survey,1,220,6
Annual Survey of Hours and Earnings,Annual Survey of Hours and Earnings,117,198,9
Annual Survey of Hours and Earnings,Annual Survey of Hours and Earnings - UK,43,198,9
Annual Survey of Hours and Earnings,Annual Survey of Hours and Earnings - GB,25,198,9
Annual Survey of Hours and Earnings,Annual Survey of Hours and Earnings UK,7,198,9
Annual Survey of Hours and Earnings,Annual Survey of Hours,2,198,9
Annual Survey of Hours and Earnings,ASHE,1,198,9
Annual Survey of Hours and Earnings,Annual Survey for Hours and Earnings,1,198,9
Annual Survey of Hours and Earnings,Annual Survey of Hours and Earnings (ASHE),1,198,9
Annual Survey of Hours and Earnings,Annual Survey of Hours and Earnings ­ GB,1,198,9
Annual Population Survey,Annual Population Survey,119,165,5
Annual Population Survey,Annual Population Survey - UK,41,165,5
Annual Population Survey,Annual Population Survey UK,3,165,5
Annual Population Survey,Annual Population Surveys - Wales,1,165,5
Annual Population Survey,Annual population survey - UK,1,165,5
Longitudinal Education Outcomes,Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England,57,113,14
Longitudinal Education Outcomes,Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England,26,113,14
Longitudinal Education Outcomes,LEO via SRS Iteration 1 Standard Extract,17,113,14
Longitudinal Education Outcomes,LEO via SRS Iteration 2 Standard Extract,2,113,14
Longitudinal Education Outcomes,Longitudinal Education Outcomes SRS Iteration 2 standard extract - England,2,113,14
Longitudinal Education Outcomes,LEO via SRS Iteration 1 Standard Extract OFSTED: State-­funded schools inspections and outcomes - England,1,113,14
Longitudinal Education Outcomes,Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - EnglandDfE,1,113,14
Longitudinal Education Outcomes,LEO,1,113,14
Longitudinal Education Outcomes,Longitudinal Education Outcomes - ­ England,1,113,14
Longitudinal Education Outcomes,Longitudinal Education Outcomes SRS Iteration 2,1,113,14
