Year,domain,count,total,pct_of_projects
2019,Business & Productivity,6,22,27.3
2019,Crime & Justice,1,22,4.5
2019,Data Infrastructure & Methodology,1,22,4.5
2019,Education & Skills,1,22,4.5
2019,Health & Social Care,5,22,22.7
2019,Housing & Planning,3,22,13.6
2019,Labour Market & Employment,6,22,27.3
2019,Migration & Demographics,2,22,9.1
2019,"Poverty, Wealth & Living Standards",1,22,4.5
2020,Business & Productivity,54,120,45.0
2020,COVID-19 & Pandemic,17,120,14.2
2020,Crime & Justice,6,120,5.0
2020,Data Infrastructure & Methodology,2,120,1.7
2020,Education & Skills,12,120,10.0
2020,Environment & Agriculture,6,120,5.0
2020,Health & Social Care,16,120,13.3
2020,Housing & Planning,5,120,4.2
2020,Labour Market & Employment,35,120,29.2
2020,Migration & Demographics,12,120,10.0
2020,"Poverty, Wealth & Living Standards",7,120,5.8
2020,Public Finance & Taxation,5,120,4.2
2021,Business & Productivity,54,160,33.8
2021,COVID-19 & Pandemic,31,160,19.4
2021,Crime & Justice,8,160,5.0
2021,Data Infrastructure & Methodology,8,160,5.0
2021,Education & Skills,12,160,7.5
2021,Environment & Agriculture,13,160,8.1
2021,Health & Social Care,30,160,18.8
2021,Housing & Planning,4,160,2.5
2021,Labour Market & Employment,56,160,35.0
2021,Migration & Demographics,12,160,7.5
2021,"Poverty, Wealth & Living Standards",12,160,7.5
2021,Public Finance & Taxation,3,160,1.9
2021,Unclear from Register Entry,1,160,0.6
2022,Business & Productivity,68,202,33.7
2022,COVID-19 & Pandemic,17,202,8.4
2022,Crime & Justice,19,202,9.4
2022,Data Infrastructure & Methodology,5,202,2.5
2022,Education & Skills,24,202,11.9
2022,Environment & Agriculture,15,202,7.4
2022,Health & Social Care,32,202,15.8
2022,Housing & Planning,7,202,3.5
2022,Labour Market & Employment,62,202,30.7
2022,Migration & Demographics,10,202,5.0
2022,"Poverty, Wealth & Living Standards",16,202,7.9
2022,Public Finance & Taxation,5,202,2.5
2023,Business & Productivity,67,210,31.9
2023,COVID-19 & Pandemic,4,210,1.9
2023,Crime & Justice,9,210,4.3
2023,Data Infrastructure & Methodology,4,210,1.9
2023,Education & Skills,32,210,15.2
2023,Environment & Agriculture,18,210,8.6
2023,Health & Social Care,33,210,15.7
2023,Housing & Planning,4,210,1.9
2023,Labour Market & Employment,83,210,39.5
2023,Migration & Demographics,14,210,6.7
2023,"Poverty, Wealth & Living Standards",24,210,11.4
2023,Public Finance & Taxation,8,210,3.8
2023,Unclear from Register Entry,1,210,0.5
2024,Business & Productivity,49,236,20.8
2024,COVID-19 & Pandemic,7,236,3.0
2024,Crime & Justice,16,236,6.8
2024,Data Infrastructure & Methodology,9,236,3.8
2024,Education & Skills,72,236,30.5
2024,Environment & Agriculture,10,236,4.2
2024,Health & Social Care,43,236,18.2
2024,Housing & Planning,8,236,3.4
2024,Labour Market & Employment,92,236,39.0
2024,Migration & Demographics,12,236,5.1
2024,"Poverty, Wealth & Living Standards",14,236,5.9
2024,Public Finance & Taxation,3,236,1.3
2024,Unclear from Register Entry,1,236,0.4
2025,Business & Productivity,55,271,20.3
2025,COVID-19 & Pandemic,2,271,0.7
2025,Crime & Justice,17,271,6.3
2025,Data Infrastructure & Methodology,12,271,4.4
2025,Education & Skills,84,271,31.0
2025,Environment & Agriculture,18,271,6.6
2025,Health & Social Care,64,271,23.6
2025,Housing & Planning,8,271,3.0
2025,Labour Market & Employment,97,271,35.8
2025,Migration & Demographics,21,271,7.7
2025,"Poverty, Wealth & Living Standards",18,271,6.6
2025,Public Finance & Taxation,6,271,2.2
2026,Business & Productivity,15,51,29.4
2026,Crime & Justice,2,51,3.9
2026,Data Infrastructure & Methodology,3,51,5.9
2026,Education & Skills,13,51,25.5
2026,Environment & Agriculture,4,51,7.8
2026,Health & Social Care,10,51,19.6
2026,Housing & Planning,2,51,3.9
2026,Labour Market & Employment,11,51,21.6
2026,Migration & Demographics,3,51,5.9
2026,"Poverty, Wealth & Living Standards",5,51,9.8
2026,Public Finance & Taxation,2,51,3.9
