Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,"Carolin Ioramashvili, London School of Economics",Digital Economy Act (2017) ,Office for National Statistics: Annual Respondents Database,Office for National Statistics Secure Research Service,2019-10-25,2019/003,2019,2019Q4,Q4 2019,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,,Assigned Labour Market & Employment because the project examines labour share and earnings across UK regions; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the analytical operation profiles distribution and trends in labour share and earnings across regions; no tag because the comparison is regional rather than across a demographic/equality-relevant group.,Labour Market & Employment
2019/004,The changing nature of the HR and training practitioner profession,"Jonathan Boys, Chartered Institute of Personnel and Development",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-25,2019/004,2019,2019Q4,Q4 2019,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,,Assigned Labour Market & Employment because the focus is the HR and training practitioner profession and its workforce composition; Single-Dataset because only the Annual Population Survey is listed; Descriptive Monitoring because the project characterises the changing nature/profile of an occupation; no tag because no central demographic/equality comparison is indicated.,Labour Market & Employment
2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,"Julian Molina, Office of the Victims' Commissioner for England and Wales",Digital Economy Act (2017) ,Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2019-10-14,2019/006,2019,2019Q4,Q4 2019,Crime & Justice,Single-Dataset,Descriptive Monitoring,,Assigned Crime & Justice because the project analyses victimisation data; Single-Dataset because only the Crime Survey for England and Wales is listed; Descriptive Monitoring because the operation is profiling victimisation patterns; no tag because no central demographic comparison is indicated.,Crime & Justice
2019/007,Thriving Places index indicators of wellbeing at local authority level,"Soraya Safazadeh, Happy City Initiative 
Saamah Abdallah, New Economics Foundation",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/007,2019,2019Q4,Q4 2019,Health & Social Care,Within-Domain Linkage,Descriptive Monitoring,,"Assigned Health & Social Care because the project builds wellbeing indicators at local authority level; Within-Domain Linkage because the Labour Force Survey and Annual Population Survey are both labour-market/social survey sources within one domain; Descriptive Monitoring because it constructs indicators and profiles wellbeing across places; no tag because the variation is geographic, not demographic-group based.",Health & Social Care
2019/008,Class in UK creative industries: Beyond participation,"Rebecca Florisson, The Work Foundation",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2019-11-19,2019/008,2019,2019Q4,Q4 2019,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the focus is class composition and participation in creative-industry occupations; Within-Domain Linkage because LFS/APS and Understanding Society are general labour-market/social surveys within the same domain; Descriptive Monitoring because it characterises class composition beyond participation; tag assigned because class/social-origin comparison is central to the equity question.,Labour Market & Employment
2019/009,Functional specialisation and their linkages between London & UK cities,"Joanna Jedrasaiak, ARUP
Enrico Vanino, University of Aston",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/009,2019,2019Q4,Q4 2019,Business & Productivity,Single-Dataset,Descriptive Monitoring,,Assigned Business & Productivity because the project studies functional specialisation and linkages between cities using firm-level data; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because it characterises specialisation and inter-city linkages; no tag because no demographic comparison is central.,Business & Productivity
2019/010,Diversity in the Creative Industries,"Danielle Cox, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",Office for National Statistics Secure Research Service,2019-10-31,2019/010,2019,2019Q4,Q4 2019,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the project examines workforce diversity in creative-industry employment; Within-Domain Linkage because LFS/APS and Understanding Society are labour-market/social surveys within one domain; Descriptive Monitoring because it profiles diversity composition; tag assigned because demographic diversity comparison is the central lens.,Labour Market & Employment
2019/011,Modelling Return on Investment at the firm level,"Chris Dimos, University of Bath",Digital Economy Act (2017) ,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",Office for National Statistics Secure Research Service,2019-10-14,2019/011,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking,,"Assigned Business & Productivity because the project models firm-level return on investment using innovation and business surveys; Within-Domain Linkage because the UK Innovation Survey, Annual Business Survey, BERD and BRES are all firm/business datasets within one domain; Outcome Tracking because it links firm investment to performance outcomes; no tag because no demographic comparison is central.",Business & Productivity
2019/012,The impact of the immigration white paper on the Northern Ireland economy,"Patrick Deshpande, Oxford Economics",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/012,2019,2019Q4,Q4 2019,Labour Market & Employment; Migration & Demographics,Single-Dataset,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Migration & Demographics because the project assesses immigration policy effects on the Northern Ireland economy and labour supply; Single-Dataset because only the Labour Force Survey & Annual Population Survey is listed; Policy Evaluation / Impact Analysis because it evaluates the impact of the named immigration white paper; no tag because migration is the policy object rather than a demographic-group comparison.,Labour Market & Employment
2019/013,TechNation programme evaluation,"Thomas Baily, Frontier Economics
Eli Daniels, Frontier Economics
Federico Cilauro, Frontier Economics",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/013,2019,2019Q4,Q4 2019,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the project evaluates a firm-support/innovation programme using firm-level data; Single-Dataset because only the Business Structure Database is listed; Policy Evaluation / Impact Analysis because it is an evaluation of the named TechNation programme; no tag because no demographic comparison is central.,Business & Productivity
2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Chen Xu, University of Cardiff",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services",Office for National Statistics Secure Research Service,2019-11-19,2019/014,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring; Methodological / Infrastructure Research,,"Assigned Business & Productivity because the project measures the digital economy contribution in Wales via business surveys (Annual Business Survey, Business Structure Database, R&D, E-Commerce Survey); Within-Domain Linkage because the multiple datasets are all business/economic activity sources; Descriptive Monitoring and Methodological / Infrastructure Research because the aim is constructing a satellite-account measure characterising the digital economy; no tag because no demographic comparison is central.",Business & Productivity
2019/015,Understanding saving behaviour in the UK,"Zoe Oldfield, Institute for Fiscal Studies
Carl Emmerson, Institute for Fiscal Studies
Polly Simpson, Institute for Fiscal Studies 
David Sturrock, Institute for Fiscal Studies
Laurence O'Brien, Institute for Fiscal Studies
Heidi Karjalainen, Institute for Fiscal Studies
Beatrice	Boileau, Institute for Fiscal Studies",Digital Economy Act (2017) ,Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,2019-11-19,2019/015,2019,2019Q4,Q4 2019,"Poverty, Wealth & Living Standards",Cross-Domain Linkage,Outcome Tracking,,"Assigned Poverty, Wealth & Living Standards because saving behaviour and household wealth are central via the Wealth and Assets Survey; Cross-Domain Linkage because it links wealth data with earnings (Annual Survey of Hours and Earnings, a labour-market source); Outcome Tracking because it relates earnings/circumstances to saving behaviour; no tag because no demographic comparison is centrally framed.","Poverty, Wealth & Living Standards"
2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Fragkiskos Danelakis, Department for International Trade
Elizabeth McCrea, 
Department for International Trade
David Baker,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
Kit Angel-Scott,
Department for International Trade
Sophie Haldane,
Department for International Trade",Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-19,2019/017,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking; Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because FDI, firm investment, trade and innovation are central via business and FDI surveys; Within-Domain Linkage because all datasets are firm/business sources within the business domain; Outcome Tracking and Policy Evaluation / Impact Analysis because it studies causes, effects and policy around FDI distribution; no tag because no demographic comparison is central.",Business & Productivity
2019/018,Foreign Direct Disinvestment: causes and effects,"Anuj Mathew, Department for International Trade
Palitha Konara, University of Sussex
Nicolo Tamberi, University of Sussex
Elizabeth McCrea,
Department for International Trade
Matthew Needham,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
David Baker,
Department for International Trade",Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-22,2019/018,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking,,"Assigned Business & Productivity because foreign direct disinvestment, firm performance and trade are central via FDI and business surveys; Within-Domain Linkage because all datasets are firm-level business sources; Outcome Tracking because it analyses causes and effects of disinvestment; no tag because no demographic comparison is central.",Business & Productivity
2019/019,Improving Regional Economic Indicators Regional Consumer Prices,"Christopher Jenkins, Competition and Markets Authority
Kevin Connolly, University of Strathclyde
Aureo De Paula,
University College London
",Digital Economy Act (2017) ,Office for National Statistics: Living Cost and Food Survey,Office for National Statistics Secure Research Service,2019-11-19,2019/019,2019,2019Q4,Q4 2019,Data Infrastructure & Methodology,Single-Dataset,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the project develops improved regional consumer price indicators; Single-Dataset because only the Living Cost and Food Survey is listed; Methodological / Infrastructure Research because the analytical operation is improving statistical indicators; no tag because no demographic comparison is central.,Data Infrastructure & Methodology
2019/020,"Housing, family and environmental risk factors for hospital admissions in children","Pia Hardelid, University College London
Linda Wijlaars, University College London
Philip Symonds,
University College London
Kate Lewis,
University College London
",Digital Economy Act (2017) ,Office for National Statistics: Death Registrations & Census 2011: Household Sample,Office for National Statistics Secure Research Service,2019-11-27,2019/020,2019,2019Q4,Q4 2019,Health & Social Care; Housing & Planning,Cross-Domain Linkage,Outcome Tracking,,Assigned Health & Social Care because child hospital admissions are the outcome and Housing & Planning because housing risk factors are central exposures; Cross-Domain Linkage because Death Registrations (health/demographic) is linked with Census household data; Outcome Tracking because it relates housing/family/environmental exposures to hospital admissions; no tag because demographic groups are not the central comparison.,Health & Social Care
2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK","Jayati Das-Munshi, King's College London
Lukasz Cybulski, King's College London
Rosanna Hildersley, King's College London",Digital Economy Act (2017) ,Office for National Statistics: Census 2011 & Death Registrations,Office for National Statistics Secure Research Service,2019-03-12,2019/021,2019,2019Q1,Q1 2019,Health & Social Care,Cross-Domain Linkage,Outcome Tracking,,Assigned Health & Social Care because severe mental disorders are the substantive outcome; Cross-Domain Linkage because Census 2011 (demographic) is linked with Death Registrations (health); Outcome Tracking because social and economic predictors are linked to mental disorder outcomes; no tag because socioeconomic predictors are not centrally a demographic-group comparison.,Health & Social Care
2019/005,Measuring the impact of hearing loss on well-being,"Daniele Cox,
Office for National Statistics
Mary Cleaton, 
Office for National Statistics",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-12,2019/005,2019,2019Q4,Q4 2019,Health & Social Care,Single-Dataset,Outcome Tracking,,Assigned Health & Social Care because hearing loss and wellbeing are central; Single-Dataset because only the Annual Population Survey is listed; Outcome Tracking because it relates hearing loss to wellbeing outcomes; no tag because no demographic-group comparison is central.,Health & Social Care
2019/016,Homeownership of the young,"Belinda Tracey, Bank of England
Veronica Veggente,
Bank of England",Digital Economy Act (2017) ,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",Office for National Statistics Secure Research Service,2019-12-12,2019/016,2019,2019Q4,Q4 2019,Housing & Planning,Cross-Domain Linkage,Outcome Tracking,Demographic disparities / equity tag,Assigned Housing & Planning because homeownership is the central focus; Cross-Domain Linkage because Living Costs and Food Survey and Retail Price Index are joined with the Business Structure Database (business domain); Outcome Tracking because it relates circumstances to young people's homeownership; demographic tag because the focus is comparison by age group (the young).,Housing & Planning
2019/022,Research on homeless mortality among St Mungo's clients,"David Wilson, St Mungo's",Digital Economy Act (2017) ,Office for National Statistics: Death Registrations,Office for National Statistics Secure Research Service,2019-12-12,2019/022,2019,2019Q4,Q4 2019,Health & Social Care,Single-Dataset,Descriptive Monitoring,,Assigned Health & Social Care because homeless mortality among service clients is the health-focused object; Single-Dataset because only Death Registrations is listed; Descriptive Monitoring because the aim is measuring mortality among a homeless client population; no tag because the focus is a service population rather than a demographic-group comparison.,Health & Social Care
2019/023,Economic environment and child development,"Cheti Nicoletti, 
University of York
Charles Simpson,
University College London,
Samantha Hajna, University College London
Glory Atilola, University College London
",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey,Office for National Statistics Secure Research Service,2019-12-12,2019/023,2019,2019Q4,Q4 2019,Education & Skills; Labour Market & Employment,Single-Dataset,Outcome Tracking,,Assigned Education & Skills and Labour Market & Employment because the project links economic/labour-market conditions (Labour Force Survey) to child development outcomes; Single-Dataset because only the Labour Force Survey is listed; Outcome Tracking because it relates naturally occurring economic environment to downstream child development; no tag because no demographic-group comparison is central.,Education & Skills
2019/024,The Right to Buy: Migration and Gentrification,"Iain Bamford, Columbia University",Digital Economy Act (2017) ,Office for National Statistics: Longitudinal Study,Office for National Statistics Secure Research Service,2019-12-19,2019/024,2019,2019Q4,Q4 2019,Housing & Planning; Migration & Demographics,Single-Dataset,Policy Evaluation / Impact Analysis,,Assigned Housing & Planning and Migration & Demographics because the project studies Right to Buy with migration and gentrification; Single-Dataset because only the ONS Longitudinal Study is listed; Policy Evaluation / Impact Analysis because Right to Buy is a named housing policy whose effects are assessed; no tag because no demographic-equity comparison is central.,Housing & Planning
2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Madeleine Sumption, University of Oxford
Denis Kierans, University of Oxford",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",Office for National Statistics Secure Research Service,2020-03-01,2019/026,2020,2020Q1,Q1 2020,Migration & Demographics,Within-Domain Linkage,Descriptive Monitoring,,Assigned Migration & Demographics because it analyses EU and non-EU migration in the UK; Within-Domain Linkage because Annual Population Survey and Labour Force Survey both sit in the labour-market/population data domain used for migration measurement; Descriptive Monitoring because it profiles migration patterns; no tag because migrant status here defines the population studied rather than an equity comparison lens.,Migration & Demographics
2020/001,How does tax affect incorporation and business outcomes?,"Kate Smith, Institute for Fiscal Studies",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/001,2020,2020Q1,Q1 2020,Business & Productivity; Public Finance & Taxation,Within-Domain Linkage,Outcome Tracking,,Assigned Business & Productivity and Public Finance & Taxation because the project studies how tax affects incorporation and business outcomes; Within-Domain Linkage because the Longitudinal Small Business Survey and Small Business Survey are both business datasets; Outcome Tracking because it relates tax conditions to firm outcomes without a single named intervention; no tag because no demographic comparison is central.,Business & Productivity
2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Lars Nesheim, University College London",Digital Economy Act (2017) ,"Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/003,2020,2020Q1,Q1 2020,Housing & Planning; Labour Market & Employment,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,,"Assigned Housing & Planning and Labour Market & Employment because it studies spatial sorting in housing and employment; Cross-Domain Linkage because datasets span earnings (ASHE), census/migration flows, and a COVID business survey; Policy Evaluation / Impact Analysis because it assesses impacts of public investments, planning decisions, housing subsidies, and business rates; no tag because no demographic-equity comparison is central.",Housing & Planning
2020/004,Medina Valley Marine Sector Proposition and Funding,"Joshua Harding-Jones, Hardisty Jones Associates",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2020-01-17,2020/004,2020,2020Q1,Q1 2020,Business & Productivity,Single-Dataset,Descriptive Monitoring,,Assigned Business & Productivity because it concerns a marine-sector business proposition and funding; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because the operation is characterising a sector's business activity; no tag because no demographic comparison is involved.,Business & Productivity
