Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,"Carolin Ioramashvili, London School of Economics",Digital Economy Act (2017) ,Office for National Statistics: Annual Respondents Database,Office for National Statistics Secure Research Service,2019-10-25,2019/003,2019,2019Q4,Q4 2019,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,,"Assigned Labour Market & Employment because the project studies labour share and earnings in UK regions, a core labour-market topic; Single-Dataset because only the Annual Respondents Database is listed; Descriptive Monitoring because the analytical operation profiles the level and regional distribution of labour share and earnings rather than testing an intervention; no tag because regional comparison is not a demographic/equality-relevant lens.",Labour Market & Employment
2019/004,The changing nature of the HR and training practitioner profession,"Jonathan Boys, Chartered Institute of Personnel and Development",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-25,2019/004,2019,2019Q4,Q4 2019,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,,"Assigned Labour Market & Employment because the project examines the changing nature of the HR and training practitioner profession, an occupational/workforce topic; Single-Dataset because only the Annual Population Survey is listed; Descriptive Monitoring because it characterises change in a profession over time without testing an exposure-outcome or named policy; no tag because no demographic comparison is central.",Labour Market & Employment
2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,"Julian Molina, Office of the Victims' Commissioner for England and Wales",Digital Economy Act (2017) ,Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2019-10-14,2019/006,2019,2019Q4,Q4 2019,Crime & Justice,Single-Dataset,Descriptive Monitoring,,Assigned Crime & Justice because the project analyses victimisation data; Single-Dataset because only the Crime Survey for England and Wales is listed; Descriptive Monitoring because analysing victimisation patterns profiles the phenomenon rather than testing an intervention; no tag because no demographic comparison is centrally specified.,Crime & Justice
2019/007,Thriving Places index indicators of wellbeing at local authority level,"Soraya Safazadeh, Happy City Initiative 
Saamah Abdallah, New Economics Foundation",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/007,2019,2019Q4,Q4 2019,Health & Social Care,Within-Domain Linkage,Descriptive Monitoring,,"Assigned Health & Social Care because the Thriving Places index focuses on indicators of wellbeing at local authority level; Within-Domain Linkage because the Labour Force Survey and Annual Population Survey are two related labour/population datasets within one domain; Descriptive Monitoring because it constructs and measures wellbeing indicators across places; no tag because comparison is geographic, not demographic/equality-relevant.",Health & Social Care
2019/008,Class in UK creative industries: Beyond participation,"Rebecca Florisson, The Work Foundation",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2019-11-19,2019/008,2019,2019Q4,Q4 2019,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the project examines class and participation in the creative industries workforce; Within-Domain Linkage because LFS/APS and Understanding Society are labour/socioeconomic survey datasets within the same domain; Descriptive Monitoring because it profiles class composition in an industry; tag assigned because class-based equity comparison in workforce participation is central.,Labour Market & Employment
2019/009,Functional specialisation and their linkages between London & UK cities,"Joanna Jedrasaiak, ARUP
Enrico Vanino, University of Aston",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/009,2019,2019Q4,Q4 2019,Business & Productivity,Single-Dataset,Descriptive Monitoring,,Assigned Business & Productivity because the project studies functional specialisation and linkages between London and UK cities using firm-level data; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because it characterises specialisation patterns and linkages across cities; no tag because no demographic comparison is central.,Business & Productivity
2019/010,Diversity in the Creative Industries,"Danielle Cox, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",Office for National Statistics Secure Research Service,2019-10-31,2019/010,2019,2019Q4,Q4 2019,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the project studies diversity in the creative-industries workforce; Within-Domain Linkage because LFS/APS and Understanding Society are labour/population survey datasets in the same domain; Descriptive Monitoring because it profiles diversity composition; tag assigned because diversity across demographic groups is the central lens.,Labour Market & Employment
2019/011,Modelling Return on Investment at the firm level,"Chris Dimos, University of Bath",Digital Economy Act (2017) ,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",Office for National Statistics Secure Research Service,2019-10-14,2019/011,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking,,"Assigned Business & Productivity because the project models return on investment at the firm level using innovation and business surveys; Within-Domain Linkage because the UK Innovation Survey, Annual Business Survey, BERD and BRES are all business/firm-level datasets within one domain; Outcome Tracking because it relates firm investment to performance outcomes; no tag because no demographic comparison is central.",Business & Productivity
2019/012,The impact of the immigration white paper on the Northern Ireland economy,"Patrick Deshpande, Oxford Economics",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/012,2019,2019Q4,Q4 2019,Labour Market & Employment; Migration & Demographics,Single-Dataset,Policy Evaluation / Impact Analysis,,"Assigned Labour Market & Employment and Migration & Demographics because the project assesses the immigration white paper's impact on the Northern Ireland economy, centring on migration policy and labour-market effects; Single-Dataset because only LFS/APS is listed; Policy Evaluation / Impact Analysis because it evaluates the impact of a named immigration policy; no tag because the focus is economic impact rather than demographic group comparison.",Labour Market & Employment
2019/013,TechNation programme evaluation,"Thomas Baily, Frontier Economics
Eli Daniels, Frontier Economics
Federico Cilauro, Frontier Economics",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/013,2019,2019Q4,Q4 2019,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the project evaluates the TechNation programme using firm-level data; Single-Dataset because only the Business Structure Database is listed; Policy Evaluation / Impact Analysis because it is an explicit evaluation of a named programme; no tag because no demographic comparison is central.,Business & Productivity
