Year,purpose,count,total,pct_of_projects
2019,Descriptive Monitoring,10,22,45.5
2019,Methodological / Infrastructure Research,2,22,9.1
2019,Outcome Tracking,7,22,31.8
2019,Policy Evaluation / Impact Analysis,4,22,18.2
2020,Descriptive Monitoring,47,120,39.2
2020,Life-Course / Trajectory Analysis,3,120,2.5
2020,Methodological / Infrastructure Research,5,120,4.2
2020,Outcome Tracking,42,120,35.0
2020,Policy Evaluation / Impact Analysis,22,120,18.3
2020,Risk Prediction / Early Identification,3,120,2.5
2020,Service Interaction / Systems Analysis,3,120,2.5
2021,Descriptive Monitoring,49,160,30.6
2021,Life-Course / Trajectory Analysis,12,160,7.5
2021,Methodological / Infrastructure Research,11,160,6.9
2021,Outcome Tracking,51,160,31.9
2021,Policy Evaluation / Impact Analysis,37,160,23.1
2021,Risk Prediction / Early Identification,3,160,1.9
2021,Service Interaction / Systems Analysis,1,160,0.6
2021,Unclear from Register Entry,1,160,0.6
2022,Descriptive Monitoring,70,202,34.7
2022,Life-Course / Trajectory Analysis,13,202,6.4
2022,Methodological / Infrastructure Research,10,202,5.0
2022,Outcome Tracking,71,202,35.1
2022,Policy Evaluation / Impact Analysis,39,202,19.3
2022,Risk Prediction / Early Identification,2,202,1.0
2022,Service Interaction / Systems Analysis,1,202,0.5
2023,Descriptive Monitoring,68,210,32.4
2023,Life-Course / Trajectory Analysis,17,210,8.1
2023,Methodological / Infrastructure Research,7,210,3.3
2023,Outcome Tracking,80,210,38.1
2023,Policy Evaluation / Impact Analysis,40,210,19.0
2023,Risk Prediction / Early Identification,1,210,0.5
2023,Service Interaction / Systems Analysis,2,210,1.0
2023,Unclear from Register Entry,2,210,1.0
2024,Descriptive Monitoring,62,236,26.3
2024,Life-Course / Trajectory Analysis,21,236,8.9
2024,Methodological / Infrastructure Research,17,236,7.2
2024,Outcome Tracking,95,236,40.3
2024,Policy Evaluation / Impact Analysis,42,236,17.8
2024,Risk Prediction / Early Identification,3,236,1.3
2024,Service Interaction / Systems Analysis,7,236,3.0
2024,Unclear from Register Entry,1,236,0.4
2025,Descriptive Monitoring,79,271,29.2
2025,Life-Course / Trajectory Analysis,25,271,9.2
2025,Methodological / Infrastructure Research,22,271,8.1
2025,Outcome Tracking,102,271,37.6
2025,Policy Evaluation / Impact Analysis,47,271,17.3
2025,Risk Prediction / Early Identification,6,271,2.2
2025,Service Interaction / Systems Analysis,8,271,3.0
2026,Descriptive Monitoring,12,51,23.5
2026,Life-Course / Trajectory Analysis,4,51,7.8
2026,Methodological / Infrastructure Research,4,51,7.8
2026,Outcome Tracking,23,51,45.1
2026,Policy Evaluation / Impact Analysis,8,51,15.7
2026,Risk Prediction / Early Identification,1,51,2.0
2026,Service Interaction / Systems Analysis,2,51,3.9
