Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,"Carolin Ioramashvili, London School of Economics",Digital Economy Act (2017) ,Office for National Statistics: Annual Respondents Database,Office for National Statistics Secure Research Service,2019-10-25,2019/003,2019,2019Q4,Q4 2019,Labour Market & Employment,Descriptive Monitoring,,Assigned Labour Market & Employment because the project studies labour share and earnings in UK regions using the Annual Respondents Database; Descriptive Monitoring because it characterises the distribution and trend of labour share and earnings across regions; no tag because regional variation is not a demographic/equality comparison and no pandemic lens is present.,Labour Market & Employment
2019/004,The changing nature of the HR and training practitioner profession,"Jonathan Boys, Chartered Institute of Personnel and Development",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-25,2019/004,2019,2019Q4,Q4 2019,Labour Market & Employment,Descriptive Monitoring,,Assigned Labour Market & Employment because it examines the HR and training practitioner profession (an occupation) via the Annual Population Survey; Descriptive Monitoring because it profiles the changing composition of a profession; no tag because no demographic-equity or pandemic lens is central.,Labour Market & Employment
2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,"Julian Molina, Office of the Victims' Commissioner for England and Wales",Digital Economy Act (2017) ,Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2019-10-14,2019/006,2019,2019Q4,Q4 2019,Crime & Justice,Descriptive Monitoring,,Assigned Crime & Justice because it analyses victimisation data from the Crime Survey for England and Wales; Descriptive Monitoring because the operation is measuring patterns and levels of victimisation; no tag because no demographic-equity or pandemic lens is central.,Crime & Justice
2019/007,Thriving Places index indicators of wellbeing at local authority level,"Soraya Safazadeh, Happy City Initiative 
Saamah Abdallah, New Economics Foundation",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/007,2019,2019Q4,Q4 2019,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because the Thriving Places index focuses on indicators of wellbeing at local authority level; Descriptive Monitoring because it constructs and measures wellbeing indicators across areas; no tag because the focus is area-level wellbeing rather than demographic-equity or pandemic conditions.,Health & Social Care
2019/008,Class in UK creative industries: Beyond participation,"Rebecca Florisson, The Work Foundation",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2019-11-19,2019/008,2019,2019Q4,Q4 2019,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because it studies class composition and participation in creative-industry workforces using labour-force and Understanding Society data; Descriptive Monitoring because it profiles workforce composition by class; demographic disparities tag because class-based comparison of who participates is central.,Labour Market & Employment
2019/009,Functional specialisation and their linkages between London & UK cities,"Joanna Jedrasaiak, ARUP
Enrico Vanino, University of Aston",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/009,2019,2019Q4,Q4 2019,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because it examines functional specialisation and firm linkages between London and UK cities using the Business Structure Database; Descriptive Monitoring because it characterises specialisation patterns and linkages across places; no tag because no demographic-equity or pandemic lens applies.,Business & Productivity
2019/010,Diversity in the Creative Industries,"Danielle Cox, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",Office for National Statistics Secure Research Service,2019-10-31,2019/010,2019,2019Q4,Q4 2019,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because it studies diversity in the creative industries workforce via labour-force and Understanding Society data; Descriptive Monitoring because it profiles the demographic composition of the workforce; demographic disparities tag because diversity comparison across groups is the central question.,Labour Market & Employment
2019/011,Modelling Return on Investment at the firm level,"Chris Dimos, University of Bath",Digital Economy Act (2017) ,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",Office for National Statistics Secure Research Service,2019-10-14,2019/011,2019,2019Q4,Q4 2019,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because it models return on investment at the firm level using innovation and business surveys; Outcome Tracking because it links firm investment to firm-level performance outcomes; no tag because no demographic-equity or pandemic lens is central.,Business & Productivity
2019/012,The impact of the immigration white paper on the Northern Ireland economy,"Patrick Deshpande, Oxford Economics",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey & Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-14,2019/012,2019,2019Q4,Q4 2019,Labour Market & Employment; Migration & Demographics,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Migration & Demographics because it assesses the immigration white paper's effect on the Northern Ireland economy and labour market via the APS; Policy Evaluation / Impact Analysis because it evaluates the impact of a named immigration policy; no tag because no demographic-equity comparison or pandemic lens is central.,Labour Market & Employment
2019/013,TechNation programme evaluation,"Thomas Baily, Frontier Economics
Eli Daniels, Frontier Economics
Federico Cilauro, Frontier Economics",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/013,2019,2019Q4,Q4 2019,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because it evaluates the TechNation programme using firm-level Business Structure Database data; Policy Evaluation / Impact Analysis because it evaluates a named programme; no tag because no demographic-equity or pandemic lens applies.,Business & Productivity
2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Chen Xu, University of Cardiff",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services",Office for National Statistics Secure Research Service,2019-11-19,2019/014,2019,2019Q4,Q4 2019,Business & Productivity; Data Infrastructure & Methodology,Methodological / Infrastructure Research,,"Assigned Business & Productivity because it measures the digital economy's contribution using business surveys, R&D and trade data, and Data Infrastructure & Methodology because the central object is constructing a satellite account measurement framework; Methodological / Infrastructure Research because the analytical operation is developing a measurement/satellite-account approach; no tag because no demographic or pandemic lens is central.",Business & Productivity
2019/015,Understanding saving behaviour in the UK,"Zoe Oldfield, Institute for Fiscal Studies
Carl Emmerson, Institute for Fiscal Studies
Polly Simpson, Institute for Fiscal Studies 
David Sturrock, Institute for Fiscal Studies
Laurence O'Brien, Institute for Fiscal Studies
Heidi Karjalainen, Institute for Fiscal Studies
Beatrice	Boileau, Institute for Fiscal Studies",Digital Economy Act (2017) ,Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,2019-11-19,2019/015,2019,2019Q4,Q4 2019,"Poverty, Wealth & Living Standards",Descriptive Monitoring,,"Assigned Poverty, Wealth & Living Standards because it studies saving behaviour using the Wealth and Assets Survey; Descriptive Monitoring because the aim is to characterise and understand patterns of saving rather than test an intervention; no tag because no demographic or pandemic lens is central.","Poverty, Wealth & Living Standards"
2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Fragkiskos Danelakis, Department for International Trade
Elizabeth McCrea, 
Department for International Trade
David Baker,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
Kit Angel-Scott,
Department for International Trade
Sophie Haldane,
Department for International Trade",Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-19,2019/017,2019,2019Q4,Q4 2019,Business & Productivity,Outcome Tracking; Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because it studies the spatial distribution, causes and effects of FDI using firm-level business and FDI surveys; Outcome Tracking because it links FDI to economic effects and Policy Evaluation because policy effects are explicitly part of the question; no tag because no demographic or pandemic lens is central.",Business & Productivity
2019/018,Foreign Direct Disinvestment: causes and effects,"Anuj Mathew, Department for International Trade
Palitha Konara, University of Sussex
Nicolo Tamberi, University of Sussex
Elizabeth McCrea,
Department for International Trade
Matthew Needham,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
David Baker,
Department for International Trade",Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-22,2019/018,2019,2019Q4,Q4 2019,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because it studies foreign direct disinvestment causes and effects using firm-level business and FDI surveys; Outcome Tracking because it links disinvestment to its causes and downstream effects; no tag because no demographic or pandemic lens is central.,Business & Productivity
2019/019,Improving Regional Economic Indicators Regional Consumer Prices,"Christopher Jenkins, Competition and Markets Authority
Kevin Connolly, University of Strathclyde
Aureo De Paula,
University College London
",Digital Economy Act (2017) ,Office for National Statistics: Living Cost and Food Survey,Office for National Statistics Secure Research Service,2019-11-19,2019/019,2019,2019Q4,Q4 2019,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the object is improving regional economic indicators and regional consumer price measurement; Methodological / Infrastructure Research because the operation is developing/improving statistical indicators; no tag because no demographic or pandemic lens is central.,Data Infrastructure & Methodology
2019/020,"Housing, family and environmental risk factors for hospital admissions in children","Pia Hardelid, University College London
Linda Wijlaars, University College London
Philip Symonds,
University College London
Kate Lewis,
University College London
",Digital Economy Act (2017) ,Office for National Statistics: Death Registrations & Census 2011: Household Sample,Office for National Statistics Secure Research Service,2019-11-27,2019/020,2019,2019Q4,Q4 2019,Health & Social Care; Housing & Planning,Outcome Tracking,,"Assigned Health & Social Care because hospital admissions in children is the outcome and Housing & Planning because housing risk factors are central exposures; Outcome Tracking because it links housing, family and environmental risk factors to hospital admissions; no tag because comparison is by risk factors not a central demographic-equity lens.",Health & Social Care
2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK","Jayati Das-Munshi, King's College London
Lukasz Cybulski, King's College London
Rosanna Hildersley, King's College London",Digital Economy Act (2017) ,Office for National Statistics: Census 2011 & Death Registrations,Office for National Statistics Secure Research Service,2019-03-12,2019/021,2019,2019Q1,Q1 2019,Health & Social Care,Outcome Tracking,,Assigned Health & Social Care because the outcome is severe mental disorders studied with census and death registration linkage; Outcome Tracking because it links social and economic predictors to mental disorder outcomes; no tag because socioeconomic predictors are not a central demographic-equity comparison.,Health & Social Care
2019/005,Measuring the impact of hearing loss on well-being,"Daniele Cox,
Office for National Statistics
Mary Cleaton, 
Office for National Statistics",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-12,2019/005,2019,2019Q4,Q4 2019,Health & Social Care,Outcome Tracking,,Assigned Health & Social Care because it studies the impact of hearing loss on wellbeing; Outcome Tracking because it links a health condition (hearing loss) to a wellbeing outcome; no tag because no demographic or pandemic lens is central.,Health & Social Care
2019/016,Homeownership of the young,"Belinda Tracey, Bank of England
Veronica Veggente,
Bank of England",Digital Economy Act (2017) ,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",Office for National Statistics Secure Research Service,2019-12-12,2019/016,2019,2019Q4,Q4 2019,Housing & Planning,Descriptive Monitoring,,Assigned Housing & Planning because homeownership of young people is the substantive focus; Descriptive Monitoring because the aim is to characterise homeownership patterns among the young; no tag because age is the defining population not a central equity comparison.,Housing & Planning
2019/022,Research on homeless mortality among St Mungo's clients,"David Wilson, St Mungo's",Digital Economy Act (2017) ,Office for National Statistics: Death Registrations,Office for National Statistics Secure Research Service,2019-12-12,2019/022,2019,2019Q4,Q4 2019,Health & Social Care; Housing & Planning,Descriptive Monitoring,,Assigned Health & Social Care because mortality among homeless clients is the health outcome and Housing & Planning because homelessness is central; Descriptive Monitoring because the aim is to characterise homeless mortality using death registrations; no tag because no demographic-equity or pandemic lens is central.,Health & Social Care
2019/023,Economic environment and child development,"Cheti Nicoletti, 
University of York
Charles Simpson,
University College London,
Samantha Hajna, University College London
Glory Atilola, University College London
",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey,Office for National Statistics Secure Research Service,2019-12-12,2019/023,2019,2019Q4,Q4 2019,Education & Skills,Outcome Tracking,,Assigned Education & Skills because the focus is child development analysed against economic conditions using the Labour Force Survey; Outcome Tracking because it links a naturally occurring economic exposure to child development outcomes; no tag because no demographic-equity comparison or pandemic framing is central.,Education & Skills
2019/024,The Right to Buy: Migration and Gentrification,"Iain Bamford, Columbia University",Digital Economy Act (2017) ,Office for National Statistics: Longitudinal Study,Office for National Statistics Secure Research Service,2019-12-19,2019/024,2019,2019Q4,Q4 2019,Housing & Planning; Migration & Demographics,Policy Evaluation / Impact Analysis,,Assigned Housing & Planning and Migration & Demographics because Right to Buy gentrification and residential migration are studied using the ONS Longitudinal Study; Policy Evaluation / Impact Analysis because Right to Buy is a named housing policy whose migration/gentrification effects are assessed; no tag because no demographic-equity or pandemic lens is central.,Housing & Planning
2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Madeleine Sumption, University of Oxford
Denis Kierans, University of Oxford",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",Office for National Statistics Secure Research Service,2020-03-01,2019/026,2020,2020Q1,Q1 2020,Migration & Demographics,Descriptive Monitoring,,Assigned Migration & Demographics because it analyses EU and non-EU migration in the UK using population/labour surveys; Descriptive Monitoring because it characterises migration patterns and composition rather than testing a policy or exposure-outcome; no tag because migrant status here defines the substantive object rather than an equity comparison and no pandemic framing.,Migration & Demographics
