Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,gpt_status,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,validation_error,raw_classification
2019/003,2019/003,The fall of the labour share and rise of the superstar region - Labour share and earning in UK regions,Office for National Statistics: Annual Respondents Database,2019-10-25,2019,ok,Labour Market & Employment,Descriptive Monitoring,,Assigned Labour Market & Employment because the title focuses on labour share and earnings across UK regions; Descriptive Monitoring because it characterises regional trends and patterns rather than a named intervention or prediction; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2019/004,2019/004,The changing nature of the HR and training practitioner profession,Office for National Statistics: Annual Population Survey,2019-10-25,2019,ok,Labour Market & Employment,Descriptive Monitoring,,Assigned Labour Market & Employment because the title studies the changing HR and training practitioner profession using the Annual Population Survey; Descriptive Monitoring because it profiles change in an occupational group; no tag because no central demographic-equity or COVID-19 lens is indicated.,,
2019/005,2019/005,Measuring the impact of hearing loss on well-being,Office for National Statistics: Annual Population Survey,2019-10-12,2019,ok,Health & Social Care,Outcome Tracking,Demographic disparities / equity tag,Assigned Health & Social Care because the title focuses on hearing loss and wellbeing; Outcome Tracking because it examines the impact of hearing loss on a downstream wellbeing outcome; Demographic disparities / equity tag because hearing loss is a disability-related status central to the comparison.,,
2019/006,2019/006,Analysis of victimisation data from the Crime Survey for England and Wales,Office for National Statistics: Crime Survey for England and Wales,2019-10-14,2019,ok,Crime & Justice,Descriptive Monitoring,,"Assigned Crime & Justice because the title and Crime Survey for England and Wales dataset focus on victimisation; Descriptive Monitoring because it analyses victimisation data without indicating prediction, pathways, or policy evaluation; no tag because no central demographic-equity or COVID-19 lens is indicated.",,
2019/007,2019/007,Thriving Places index indicators of wellbeing at local authority level,Office for National Statistics: Labour Force Survey & Annual Population Survey,2019-10-14,2019,ok,Data Infrastructure & Methodology,Descriptive Monitoring; Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the title concerns Thriving Places index indicators at local authority level; Descriptive Monitoring and Methodological / Infrastructure Research because it both produces local wellbeing indicators and uses them to measure area-level patterns; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2019/008,2019/008,Class in UK creative industries: Beyond participation,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Economic and Social Research: Understanding Society",2019-11-19,2019,ok,Labour Market & Employment,Descriptive Monitoring,,Assigned Labour Market & Employment because the title examines class in UK creative industries using labour survey and Understanding Society data; Descriptive Monitoring because it profiles participation or representation in an industry; no tag because class or socioeconomic position alone does not trigger the demographic-equity tag.,,
2019/009,2019/009,Functional specialisation and their linkages between London & UK cities,Office for National Statistics: Business Structure Database,2019-10-14,2019,ok,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the title studies functional specialisation and city linkages using the Business Structure Database; Descriptive Monitoring because it characterises economic and industrial patterns across London and UK cities; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2019/010,2019/010,Diversity in the Creative Industries,"Office for National Statistics: Labour Force Survey & Annual Population Survey
Institute for Social and Economic Research: Understanding Society",2019-10-31,2019,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the title focuses on diversity within the creative industries using labour and household survey data; Descriptive Monitoring because it measures workforce diversity patterns; Demographic disparities / equity tag because diversity in an industry implies central comparison across equality-relevant groups.,,
2019/011,2019/011,Modelling Return on Investment at the firm level,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey
Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey",2019-10-14,2019,ok,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the title and innovation, business survey, R&D, and employment datasets focus on firm-level return on investment; Outcome Tracking because modelling return on investment links firm investment activity to downstream firm returns; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2019/012,2019/012,The impact of the immigration white paper on the Northern Ireland economy,Office for National Statistics: Labour Force Survey & Annual Population Survey,2019-10-14,2019,ok,Labour Market & Employment; Migration & Demographics,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Migration & Demographics because the title studies the economic impact of an immigration white paper using Labour Force Survey and Annual Population Survey data; Policy Evaluation / Impact Analysis because it assesses the impact of a named immigration policy document; no tag because the entry does not indicate a central comparison across demographic groups or a COVID-19 lens.,,
2019/013,2019/013,TechNation programme evaluation,Office for National Statistics: Business Structure Database,2019-10-14,2019,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because the title evaluates the TechNation programme using the Business Structure Database, indicating a business-support or enterprise programme; Policy Evaluation / Impact Analysis because the title explicitly says programme evaluation; no cross-cutting tags because neither COVID-19 nor demographic equity is central.",,
2019/014,2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services",2019-11-19,2019,ok,Business & Productivity; Data Infrastructure & Methodology,Descriptive Monitoring; Methodological / Infrastructure Research,,"Assigned Business & Productivity and Data Infrastructure & Methodology because the title measures the digital economy in Wales using business, trade, R&D, e-commerce and expenditure datasets through an information and communications satellite account; Descriptive Monitoring and Methodological / Infrastructure Research because it quantifies the digital economy’s contribution while developing or applying a measurement framework; no cross-cutting tags because neither COVID-19 nor demographic equity is central.",,
2019/015,2019/015,Understanding saving behaviour in the UK,Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings,2019-11-19,2019,ok,"Poverty, Wealth & Living Standards",Descriptive Monitoring,,"Assigned Poverty, Wealth & Living Standards because the title focuses on saving behaviour and uses the Wealth and Assets Survey; Descriptive Monitoring because the register entry indicates understanding and characterising saving behaviour rather than evaluating a policy or predicting risk; no cross-cutting tags because neither COVID-19 nor demographic equity is central.",,
2019/016,2019/016,Homeownership of the young,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",2019-12-12,2019,ok,Housing & Planning,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Housing & Planning because the title focuses on homeownership and uses living-cost and price data relevant to housing affordability; Descriptive Monitoring because it appears to describe homeownership among young people rather than test a named intervention; Demographic disparities / equity tag because the title makes age, through “the young,” central to the research lens.",,
