label,baseline_human_majority_support_n,support_band,C01–C02_estimate_string,C01–C02_estimate,C01–C02_lower_string,C01–C02_lower,C01–C02_upper_string,C01–C02_upper,C01–C02_estimate_status,C01–C02_interval_status,C01–C02_method,C01–C02_confidence,C01–C03_estimate_string,C01–C03_estimate,C01–C03_lower_string,C01–C03_lower,C01–C03_upper_string,C01–C03_upper,C01–C03_estimate_status,C01–C03_interval_status,C01–C03_method,C01–C03_confidence,C02–C03_estimate_string,C02–C03_estimate,C02–C03_lower_string,C02–C03_lower,C02–C03_upper_string,C02–C03_upper,C02–C03_estimate_status,C02–C03_interval_status,C02–C03_method,C02–C03_confidence,Fable 5–C01_estimate_string,Fable 5–C01_estimate,Fable 5–C01_lower_string,Fable 5–C01_lower,Fable 5–C01_upper_string,Fable 5–C01_upper,Fable 5–C01_estimate_status,Fable 5–C01_interval_status,Fable 5–C01_method,Fable 5–C01_confidence,Fable 5–C02_estimate_string,Fable 5–C02_estimate,Fable 5–C02_lower_string,Fable 5–C02_lower,Fable 5–C02_upper_string,Fable 5–C02_upper,Fable 5–C02_estimate_status,Fable 5–C02_interval_status,Fable 5–C02_method,Fable 5–C02_confidence,Fable 5–C03_estimate_string,Fable 5–C03_estimate,Fable 5–C03_lower_string,Fable 5–C03_lower,Fable 5–C03_upper_string,Fable 5–C03_upper,Fable 5–C03_estimate_status,Fable 5–C03_interval_status,Fable 5–C03_method,Fable 5–C03_confidence
Business & Productivity,41,STANDARD,0.7548485508825453,0.7548485508825453,0.6280430615742347,0.6280430615742347,0.8587820063598938,0.8587820063598938,R,R,bootstrap_percentile,95%,0.6776747342230264,0.6776747342230264,0.5384615384615385,0.5384615384615385,0.8050106357835026,0.8050106357835026,R,R,bootstrap_percentile,95%,0.7397124442240951,0.7397124442240951,0.5884895039140732,0.5884895039140732,0.8524078557913144,0.8524078557913144,R,R,bootstrap_percentile,95%,0.7805642633228839,0.7805642633228839,0.6681391134305029,0.6681391134305029,0.8822605965463108,0.8822605965463108,R,R,bootstrap_percentile,95%,0.8504983388704318,0.8504983388704318,0.7450886957914548,0.7450886957914548,0.9348754008859266,0.9348754008859266,R,R,bootstrap_percentile,95%,0.7750865051903114,0.7750865051903114,0.6499777250438277,0.6499777250438277,0.878048780487805,0.878048780487805,R,R,bootstrap_percentile,95%
Labour Market & Employment,39,STANDARD,0.6526315789473685,0.6526315789473685,0.5229083525124977,0.5229083525124977,0.7772456422084871,0.7772456422084871,R,R,bootstrap_percentile,95%,0.6043956043956042,0.6043956043956042,0.46564008273960006,0.46564008273960006,0.7367334296923396,0.7367334296923396,R,R,bootstrap_percentile,95%,0.7087378640776698,0.7087378640776698,0.5614928033175443,0.5614928033175443,0.8271101524272,0.8271101524272,R,R,bootstrap_percentile,95%,0.5631067961165049,0.5631067961165049,0.4285595537340755,0.4285595537340755,0.6881522465366263,0.6881522465366263,R,R,bootstrap_percentile,95%,0.6068548387096774,0.6068548387096774,0.467042382099153,0.467042382099153,0.731793453033136,0.731793453033136,R,R,bootstrap_percentile,95%,0.6256239600665556,0.6256239600665556,0.4951140065146581,0.4951140065146581,0.7532640392965889,0.7532640392965889,R,R,bootstrap_percentile,95%
Education & Skills,27,LOW SUPPORT,0.6584116140051237,0.6584116140051237,0.4911053521211033,0.4911053521211033,0.7967554675546756,0.7967554675546756,R,R,bootstrap_percentile,95%,0.6128150622532647,0.6128150622532647,0.42784310413983834,0.42784310413983834,0.7619218910585817,0.7619218910585817,R,R,bootstrap_percentile,95%,0.780915287244401,0.780915287244401,0.6213592233009709,0.6213592233009709,0.9070631970260224,0.9070631970260224,R,R,bootstrap_percentile,95%,0.8835705045278136,0.8835705045278136,0.7806796233703526,0.7806796233703526,0.9634591961023143,0.9634591961023143,R,R,bootstrap_percentile,95%,0.757085020242915,0.757085020242915,0.612796409834864,0.612796409834864,0.8734680532823795,0.8734680532823795,R,R,bootstrap_percentile,95%,0.6790299572039944,0.6790299572039944,0.5176730759366203,0.5176730759366203,0.8140886557978187,0.8140886557978187,R,R,bootstrap_percentile,95%
Health & Social Care,23,LOW SUPPORT,0.7345132743362833,0.7345132743362833,0.560952001678797,0.560952001678797,0.8780507621455806,0.8780507621455806,R,R,bootstrap_percentile,95%,0.7317073170731707,0.7317073170731707,0.5752024100922614,0.5752024100922614,0.8738647830474269,0.8738647830474269,R,R,bootstrap_percentile,95%,0.7562296858071504,0.7562296858071504,0.5772027210364399,0.5772027210364399,0.8972963254827502,0.8972963254827502,R,R,bootstrap_percentile,95%,0.8559999999999999,0.8559999999999999,0.7239186731202019,0.7239186731202019,0.9560893142429471,0.9560893142429471,R,R,bootstrap_percentile,95%,0.7876106194690266,0.7876106194690266,0.6251561849229489,0.6251561849229489,0.9166915420892151,0.9166915420892151,R,R,bootstrap_percentile,95%,0.829268292682927,0.829268292682927,0.6927129060579454,0.6927129060579454,0.9367482175316844,0.9367482175316844,R,R,bootstrap_percentile,95%
Unclear from Register Entry,13,LOW SUPPORT,0.23832092078537598,0.23832092078537598,-0.03775091928386179,-0.03775091928386179,0.49581946872708843,0.49581946872708843,R,R,bootstrap_percentile,95%,0.15014164305949007,0.15014164305949007,0.01795735129068498,0.01795735129068498,0.31423022785613425,0.31423022785613425,R,R,bootstrap_percentile,95%,0.32195975503062135,0.32195975503062135,0.15194346289752625,0.15194346289752625,0.4912968347690935,0.4912968347690935,R,R,bootstrap_percentile,95%,0.24114671163574875,0.24114671163574875,0.0,0.0,0.6575342465753422,0.6575342465753422,R,R,bootstrap_percentile,95%,0.12241224122412374,0.12241224122412374,0.0,0.0,0.3530192435301916,0.3530192435301916,R,R,bootstrap_percentile,95%,0.037487335359675876,0.037487335359675876,-3.1421406357315754e-16,-3.1421406357315754e-16,0.11741239153396674,0.11741239153396674,R,R,bootstrap_percentile,95%
"Poverty, Wealth & Living Standards",11,LOW SUPPORT,0.24749163879598704,0.24749163879598704,0.022607336872150528,0.022607336872150528,0.4645201582208344,0.4645201582208344,R,R,bootstrap_percentile,95%,0.2944785276073618,0.2944785276073618,0.07407407407407474,0.07407407407407474,0.5002858218567864,0.5002858218567864,R,R,bootstrap_percentile,95%,0.6564885496183205,0.6564885496183205,0.40769258893641885,0.40769258893641885,0.8425258753033231,0.8425258753033231,R,R,bootstrap_percentile,95%,0.3807339449541286,0.3807339449541286,0.1444781283184324,0.1444781283184324,0.5907132687032796,0.5907132687032796,R,R,bootstrap_percentile,95%,0.45783132530120507,0.45783132530120507,0.1610110785942677,0.1610110785942677,0.7043228806891311,0.7043228806891311,R,R,bootstrap_percentile,95%,0.4347826086956517,0.4347826086956517,0.1477130206749759,0.1477130206749759,0.6704331450094163,0.6704331450094163,R,R,bootstrap_percentile,95%
Migration & Demographics,9,RARE,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,
Crime & Justice,4,RARE,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,
Environment & Agriculture,4,RARE,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,
Public Finance & Taxation,2,RARE,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,,,,,,,,W,W,,
