label,baseline_human_majority_support_n,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,tp_estimate_string,tp_estimate,tp_lower_string,tp_lower,tp_upper_string,tp_upper,tp_estimate_status,tp_interval_status,tp_method,tp_confidence,tp_status_string,fp_estimate_string,fp_estimate,fp_lower_string,fp_lower,fp_upper_string,fp_upper,fp_estimate_status,fp_interval_status,fp_method,fp_confidence,fp_status_string,fn_estimate_string,fn_estimate,fn_lower_string,fn_lower,fn_upper_string,fn_upper,fn_estimate_status,fn_interval_status,fn_method,fn_confidence,fn_status_string,tn_estimate_string,tn_estimate,tn_lower_string,tn_lower,tn_upper_string,tn_upper,tn_estimate_status,tn_interval_status,tn_method,tn_confidence,tn_status_string,precision_estimate_string,precision_estimate,precision_lower_string,precision_lower,precision_upper_string,precision_upper,precision_estimate_status,precision_interval_status,precision_method,precision_confidence,precision_status_string,recall_estimate_string,recall_estimate,recall_lower_string,recall_lower,recall_upper_string,recall_upper,recall_estimate_status,recall_interval_status,recall_method,recall_confidence,recall_status_string,f1_estimate_string,f1_estimate,f1_lower_string,f1_lower,f1_upper_string,f1_upper,f1_estimate_status,f1_interval_status,f1_method,f1_confidence,f1_status_string
Business & Productivity,41,STANDARD,False,True,True,True,40,40,,,,,R,N,,,R/N,5,5,,,,,R,N,,,R/N,1,1,,,,,R,N,,,R/N,104,104,,,,,R,N,,,R/N,0.8888888888888888,0.8888888888888888,0.7872340425531915,0.7872340425531915,0.9750152439024389,0.9750152439024389,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.975609756097561,0.975609756097561,0.9166666666666666,0.9166666666666666,1.0,1.0,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.9302325581395349,0.9302325581395349,0.8641975308641975,0.8641975308641975,0.9777898550724636,0.9777898550724636,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000
Labour Market & Employment,39,STANDARD,False,True,True,True,35,35,,,,,R,N,,,R/N,21,21,,,,,R,N,,,R/N,4,4,,,,,R,N,,,R/N,90,90,,,,,R,N,,,R/N,0.625,0.625,0.4917963323145318,0.4917963323145318,0.75,0.75,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.8974358974358975,0.8974358974358975,0.7906976744186046,0.7906976744186046,0.976204318936877,0.976204318936877,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.736842105263158,0.736842105263158,0.6265060240963856,0.6265060240963856,0.8297872340425532,0.8297872340425532,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000
Education & Skills,27,LOW SUPPORT,True,True,True,True,26,26,,,,,R,N,,,R/N,9,9,,,,,R,N,,,R/N,1,1,,,,,R,N,,,R/N,114,114,,,,,R,N,,,R/N,0.7428571428571429,0.7428571428571429,0.5897058823529412,0.5897058823529412,0.8846153846153846,0.8846153846153846,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.9629629629629629,0.9629629629629629,0.88,0.88,1.0,1.0,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.8387096774193549,0.8387096774193549,0.723404255319149,0.723404255319149,0.923076923076923,0.923076923076923,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000
Health & Social Care,23,LOW SUPPORT,True,True,True,True,22,22,,,,,R,N,,,R/N,3,3,,,,,R,N,,,R/N,1,1,,,,,R,N,,,R/N,124,124,,,,,R,N,,,R/N,0.88,0.88,0.7307692307692307,0.7307692307692307,1.0,1.0,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.9565217391304348,0.9565217391304348,0.8518518518518519,0.8518518518518519,1.0,1.0,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.9166666666666666,0.9166666666666666,0.8181354359925788,0.8181354359925788,0.9824561403508771,0.9824561403508771,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000
Unclear from Register Entry,13,LOW SUPPORT,True,True,True,True,1,1,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,12,12,,,,,R,N,,,R/N,137,137,,,,,R,N,,,R/N,1.0,1.0,,,,,R,SV,,,R/SV; valid/invalid/requested draws 1284/716/2000; Saved methods suppress intervals below 1800 valid replicates; observed counts retained,0.07692307692307693,0.07692307692307693,0.0,0.0,0.25,0.25,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.14285714285714288,0.14285714285714288,,,,,R,SV,,,R/SV; valid/invalid/requested draws 1284/716/2000; Saved methods suppress intervals below 1800 valid replicates; observed counts retained
"Poverty, Wealth & Living Standards",11,LOW SUPPORT,True,True,True,True,6,6,,,,,R,N,,,R/N,4,4,,,,,R,N,,,R/N,5,5,,,,,R,N,,,R/N,135,135,,,,,R,N,,,R/N,0.6,0.6,0.25,0.25,0.9,0.9,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.5454545454545454,0.5454545454545454,0.23055555555555557,0.23055555555555557,0.8571428571428571,0.8571428571428571,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 2000/0/2000,0.5714285714285713,0.5714285714285713,0.27166666666666667,0.27166666666666667,0.8,0.8,R,R,bootstrap_percentile,95%,R/R; bootstrap_percentile; confidence 95%; valid/invalid/requested draws 1994/6/2000
Migration & Demographics,9,RARE,False,False,False,False,4,4,,,,,R,N,,,R/N,2,2,,,,,R,N,,,R/N,5,5,,,,,R,N,,,R/N,139,139,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
Crime & Justice,4,RARE,False,False,False,False,4,4,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,146,146,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
Environment & Agriculture,4,RARE,False,False,False,False,4,4,,,,,R,N,,,R/N,6,6,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,140,140,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
Public Finance & Taxation,2,RARE,False,False,False,False,2,2,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,148,148,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
Data Infrastructure & Methodology,0,RARE,False,False,False,False,0,0,,,,,R,N,,,R/N,4,4,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,146,146,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
Housing & Planning,0,RARE,False,False,False,False,0,0,,,,,R,N,,,R/N,1,1,,,,,R,N,,,R/N,0,0,,,,,R,N,,,R/N,149,149,,,,,R,N,,,R/N,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W,,,,,,,W,W,,,W/W
