run_record_id,canonical_record_id,official_project_id,title,present_in_run1,present_in_run2,present_in_current_production,record_id_mapping_applied,mapping_source,notes
2019/015,2019/015,2019/015,Understanding saving behaviour in the UK,true,true,true,false,,
2019/024,2019/024,2019/024,The Right to Buy: Migration and Gentrification,true,true,true,false,,
2020/003,2020/003,2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates",true,true,true,false,,
2020/006,2020/006,2020/006,Parental separation and educational inequality: any evidence for growing disadvantage or 'diverging destinies' across three recent cohorts?,true,true,true,false,,
2020/013,2020/013,2020/013,Firm-level analysis of research and development,true,true,true,false,,
2020/019,2020/019,2020/019,The impact of government expenditure on employment and wages: evidence from firm-level data for the UK,true,true,true,false,,
2020/022,2020/022,2020/022,Digital skills in medium and associate professional job roles: An analysis of institutional data from English apprenticeship standard,true,true,true,false,,
2020/027,2020/027,2020/027,COVID-19 Infection Survey,true,true,true,false,,
2020/030/a,2020/030/a,2020/030,Examining the relationship between engaging in design and exporting,true,true,true,false,,
2020/030/b,2020/030/b,2020/030,Occupational mobility: evidence from England and Wales,true,true,true,false,,
2020/033,2020/033,2020/033,Education and Identity,true,true,true,false,,
2020/045,2020/045,2020/045,Migration and redistributive spending: Evidence from England and local authorities,true,true,true,false,,
2020/046,2020/046,2020/046,Wage and employment dynamics,true,true,true,false,,
2020/050,2020/050,2020/050,Inequalities in the 21st Century,true,true,true,false,,
2020/053,2020/053,2020/053,The choice to become multinational: the driving incentives and the effect of the domestic economy,true,true,true,false,,
2020/056,2020/056,2020/056,Factors Predicting Adherence Stay at Home Guidance During COVID-19 Pandemic in the United Kingdom,true,true,true,false,,
2020/062,2020/062,2020/062,"Local Institutions, Productivity, Sustainability and Inclusivity Trade-offs",true,true,true,false,,
2020/066,2020/066,2020/066,Evaluation of the Competition and Markets Authority's Covid-19 taskforce,true,true,true,false,,
2020/074,2020/074,2020/074,Health of Older People in Places : an asset for economic and social improvement for all,true,true,true,false,,
2020/077,2020/077,2020/077,Understanding the social determinants of place of death in older adults,true,true,true,false,,
2020/078,2020/078,2020/078,Addressing Health: Health and mortality of postal workers in England and Wales,true,true,true,false,,
2020/082,2020/082,2020/082,The Effects of Covid-19 on Wellbeing: Changes over time and by Demographic and Socioeconomic Characteristics,true,true,true,false,,
2020/083,2020/083,2020/083,Religion and Labour Market Outcomes in England and Wales: 1991-2011,true,true,true,false,,
2020/084,2020/084,2020/084,ExcessCovidEW: Excess mortality during and after the COVID-19 pandemic in England and Wales,true,true,true,false,,
2020/086,2020/086,2020/086,Labour supply shock and Firm outcomes: Evidence from UK's Immigration policy,true,true,true,false,,
2020/092,2020/092,2020/092,Understanding Recent Fertility in the UK and Improving Methodologies for Fertility Forecasting,true,true,true,false,,
2020/095,2020/095,2020/095,The effect of policy uncertainty on firm productivity and trade,true,true,true,false,,
2020/104,2020/104,2020/104,Analysis of the COVID-19 School Infection Survey to support government decision making during the pandemic,true,true,true,false,,
2020/106,2020/106,2020/106,"Analysis of death registrations not involving coronavirus, England and Wales: January 2020 to November 2020",true,true,true,false,,
2020/118,2020/118,2020/118,"Utilising routine data and machine learning techniques to discover new multi-morbidity and polypharmacy phenotype's associated with poorer outcomes, health, resilience and wellbeing in the Welsh population",true,true,true,false,,
2020/120,2020/120,2020/120,COVID-19 Local Area Profiles,true,true,true,false,,
2020/127,2020/127,2020/127,Establishing the impact of COVID-19 on the health of domiciliary care workers in Wales: developing a model for UK service planning and carer support,true,true,true,false,,
2021/002,2021/002,2021/002,Coronavirus and the social impacts on London,true,true,true,false,,
2021/012,2021/012,2021/012,Investigating epidemiological insights for the COVID19 infection across the UK,true,true,true,false,,
2021/013,2021/013,2021/013,"Understanding the heterogeneity of COVID-19 mortality impact: an analysis of ethnicity, socioeconomic inequality, and geography",true,true,true,false,,
2021/015,2021/015,2021/015,Inequalities in the economic impact of COVID-19 pandemic on residents and businesses in Hackney and the City of London,true,true,true,false,,
2021/017,2021/017,2021/017,ISCF Medicines Manufacturing Evaluation,true,true,true,false,,
2021/018,2021/018,2021/018,How is COVID-19 impacting women and men's working lives in the UK?,true,true,true,false,,
2021/028,2021/028,2021/028,Accounting for Unmet Need in Equitable Healthcare Resource Allocation,true,true,true,false,,
2021/032,2021/032,2021/032,Non-monetary Work Benefits: Implications for the UK Gender Pay Gap,true,true,true,false,,
2021/040,2021/040,2021/040,"Understanding the nature, extent and outcomes of serious and organised crime cases heard before the Crown Courts in England and Wales",true,true,true,false,,
2021/044,2021/044,2021/044,Analysis of occupation and Covid-19 as part of PROTECT project using ONS Infection survey,true,true,true,false,,
2021/046,2021/046,2021/046,CovPallConnect. Evaluation of the COVID19 pandemic response in palliative and end of life care: Connecting to boost impact and data assets,true,true,true,false,,
2021/053,2021/053,2021/053,Occupational changes and skill mismatch following Covid-19: Implications for graduates in the UK,true,true,true,false,,
2021/054,2021/054,2021/054,Northern Powerhouse Rail - Distributional Impact Assessment,true,true,true,false,,
2021/071,2021/071,2021/071,Developing a robust understanding of poverty and inequality within Central London and how this has been impacted by the Covid -19 pandemic,true,true,true,false,,
2021/087,2021/087,2021/087,Examining new spatial and social mobilities to understand the shaping of geographical inequalities across the UK,true,true,true,false,,
2021/089,2021/089,2021/089,Estimating the subjective wellbeing impact of scams,true,true,true,false,,
2021/090,2021/090,2021/090,AD|ARC : Linking Individual and Farm Level Data for Agricultural Research - Wales Workstream,true,true,true,false,,
2021/104,2021/104,2021/104,Addressing inclusivity in the spatial and social impacts of COVID-19 on the self-employed in the UK,true,true,true,false,,
2021/114,2021/114,2021/114,Urban Environment and Health: Impacts of Low Emission and Clean Air Zones on Health and Well-Being in England,true,true,true,false,,
2021/123,2021/123,2021/123,Economy 2030 Inquiry: People research strand,true,true,true,false,,
2021/131,2021/131,2021/131,Ethnicity and Precarious Employment Amongst Men in the UK: An Analysis of Labour Force Survey Data,true,true,true,false,,
2021/132,2021/132,2021/132,The Importance of Foreign Market Power in the UK Economy,true,true,true,false,,
2021/137,2021/137,2021/137,HACT's UK Social Value Bank,true,true,true,false,,
2021/138,2021/138,2021/138,Construction of Input-Output Tables for the Economy of Shetland Islands,true,true,true,false,,
2021/140,2021/140,2021/140,"Well-being, wages, hours of work, and income",true,true,true,false,,
2021/154,2021/154,2021/154,Occupational Sorting by Task and English Language: Immigrant/UK born ethnic minorities versus White British,true,true,true,false,,
2021/172,2021/172,2021/172,The Impact of Institutional Change on UK Labour Market,true,true,true,false,,
2021/176,2021/176,2021/176,Transforming Scottish Islands into Sustainable and Circular Energy and Resource Hubs,true,true,true,false,,
2021/180,2021/180,2021/180,Impact of Innovation on Export Performance,true,true,true,false,,
2022/022,2022/022,2022/022,Births and birth outcomes in the women's prison estate,true,true,true,false,,
2022/041,2022/041,2022/041,Digital Poverty in the UK,true,true,true,false,,
2022/044,2022/044,2022/044,"Revisiting the ‘China Shock’ – Entrepreneurial firms, employment, and the backlash against globalisation",true,true,true,false,,
2022/045,2022/045,2022/045,Creative clusters: spillovers and growth potential,true,true,true,false,,
2022/047,2022/047,2022/047,Effects of Universal Credit on children's academic and behavioural outcomes,true,true,true,false,,
2022/060,2022/060,2022/060,ERDF Support for Business Evaluation,true,true,true,false,,
2022/073,2022/073,2022/073,The effect of parental education and occupation on the disadvantage attainment gap - GUIE project,true,true,true,false,,
2022/095,2022/095,2022/095,The Micro-Anatomy of a Productivity Slowdown,true,true,true,false,,
2022/109,2022/109,2022/109,Levelling up? Startups and Regional Inequality in the United Kingdom,true,true,true,false,,
2022/117,2022/117,2022/117,Access and Representation within Elite Higher Education in the UK,true,true,true,false,,
2022/129,2022/129,2022/129,AD|ARC : Linking Individual and Farm Level Data for Agricultural Research,true,true,true,false,,
2022/132,2022/132,2022/132,Northern Ireland Trade Model,true,true,true,false,,
2022/133,2022/133,2022/133,Catholic-Protestant Earnings Differentials in Northern Ireland 2011,true,true,true,false,,
2022/135,2022/135,2022/135,"Automation, Regulation and Wage Inequality in the UK",true,true,true,false,,
2022/136,2022/136,2022/136,Endogenous entry and exit of UK firms: implications for aggregate productivity,true,true,true,false,,
2022/144,2022/144,2022/144,The housing market and the spatial allocation of credit constrained workers,true,true,true,false,,
2022/159,2022/159,2022/159,"Paid employment, deprivation and unpaid care work across England and Wales",true,true,true,false,,
2022/172,2022/172,2022/172,"Innovation, Management Capability and Productivty in SMEs",true,true,true,false,,
2022/176,2022/176,2022/176,"The local impact of skill deficiencies on performance, productivity and agglomeration",true,true,true,false,,
2022/177,2022/177,2022/177,Innovation and technology management,true,true,true,false,,
2022/193,2022/193,2022/193,Enforced alcohol abstinence: does it reduce reoffending?,true,true,true,false,,
2023/004,2023/004,2023/004,Educational pathways and outcomes for children who are looked after: a population-scale data linkage study,true,true,true,false,,
2023/008,2023/008,2023/008,A Study of Elite Mobility in Britain,true,true,true,false,,
2023/009,2023/009,2023/009,"Trade, Brexit and Firm Performance",true,true,true,false,,
2023/031,2023/031,2023/031,Monopsony and minimum wages,true,true,true,false,,
2023/033,2023/033,2023/033,University Competition and Regulation in the UK Higher Education Market,true,true,true,false,,
2023/040,2023/040,2023/040,Female Councillors and Domestic Violence,true,true,true,false,,
2023/046,2023/046,2023/046,Local far-right support and immigrants' location choices in the UK,true,true,true,false,,
2023/056,2023/056,2023/056,Ethnic and religious inequalities in children's social services in Wales: Patterns and outcomes,true,true,true,false,,
2023/066,2023/066,2023/066,Vaccination heterogeneity within social networks,true,true,true,false,,
2023/073,2023/073,2023/073,Domestic abuse proceedings in family courts: Overlap and pathways in private and public family justice,true,true,true,false,,
2023/094,2023/094,2023/094,Scottish nurses health outcomes and deprivation,true,true,true,false,,
2023/098,2023/098,2023/098,Understanding the Impacts of Time in Care on Educational Attainment of Young Adults Aged 16-18 in England,true,true,true,false,,
2023/113,2023/113,2023/113,The Influence of Early Life Health and Nutritional Environment on Later Life Health and Morbidity,true,true,true,false,,
2023/114,2023/114,2023/114,The Impact of Compulsory Education on Occupational Sorting and Earning Stability,true,true,true,false,,
2023/167,2023/167,2023/167,Market Power along the supply chain of milk in Britain,true,true,true,false,,
2023/170,2023/170,2023/170,Tax and benefit microsimulation,true,true,true,false,,
2023/173,2023/173,2023/173,"Grade Inflation at UK Universities, Attainment and outcomes in UK Universities.",true,true,true,false,,
2023/181,2023/181,2023/181,Assessing the impact of UK Enterprise Zones,true,true,true,false,,
2023/190,2023/190,2023/190,Understanding productivity: a macroeconomic approach,true,true,true,false,,
2023/204,2023/204,2023/204,"Understanding firm-level R&D, innovation and productivity in the West of England.",true,true,true,false,,
2023/205,2023/205,2023/205,Family background and educational attainment across ethnic categories in England,true,true,true,false,,
2023/212,2023/212,2023/212,Trajectories and outcomes for young people who experience school exclusion,true,true,true,false,,
2023/215,2023/215,2023/215,Labour Market Transitions amongst the over 50s in the UK,true,true,true,false,,
2023/217,2023/217,2023/217,Understanding the ethnicity of the sports workforce,true,true,true,false,,
2023/228,2023/228,2023/228,Addressing pre-specified secondary and exploratory objectives in the COVID-19 Infection Survey,true,true,true,false,,
2023/232,2023/232,2023/232,Lifelong learning and skills for longer lives,true,true,true,false,,
2023/234,2023/234,2023/234,Assessing the Impact of Road Investment on Traffic and the Environment in Great Britain,true,true,true,false,,
2023/261,2023/261,2023/261,Analysis of distributional consequences and considerations for Monetary Policy,true,true,true,false,,
2023/271,2023/271,2023/271,Impact of Innovation Support Delivered through the National Measurement System (NMS) Programme on Business Outcomes,true,true,true,false,,
2023/273,2023/273,2023/273,Innovation and Emission Responses to Environmental Regulations,true,true,true,false,,
2023/285,2023/285,2023/285,Economic Impact of Support to Businesses Delivered by Laboratories Funded by the National Measurement System (NMS) Programme,true,true,true,false,,
2023/295,2023/295,2023/295,Examination of the effects of headquartering on innovation statistics,true,true,true,false,,
2023/300,2023/300,2023/300,"The Impact of Higher Education Expansion on Overeducation, Labour Market Outcomes and Income Distribution in the UK",true,true,true,false,,
2023/304,2023/304,2023/304,Where have all the workers gone in Sick Britain? Generating insights based on data from the social security system.,true,true,true,false,,
2023/307,2023/307,2023/307,"Analysis and modelling of age, period and cohort effects on smoking status and cigarette consumption for the population of Great Britain (1972-2014)",true,true,true,false,,
2024/003,2024/003,2024/003,Investigating the characteristics of business investment using firm-level microdata,true,true,true,false,,
2024/004,2024/004,2024/004,Evaluation of the Exceptional Regional Growth Fund,true,true,true,false,,
2024/014/a,2024/014/a,2024/014,Public services and youth crime (previously 'Gangs and social housing'),true,true,true,false,,
2024/014/b,2024/014/b,2024/014,The impact of youth centres on crime,true,true,true,false,,
2024/033,2024/033,2024/033,"UK Firms, Productivity, and Value Chains",true,true,true,false,,
2024/037,2024/037,2024/037,"Technology, Skills and The Ability To Learn",true,true,true,false,,
2024/044,2024/044,2024/044,Regional trade integration and the anti-globalisation backlash,true,true,true,false,,
2024/045,2024/045,2024/045,Exploring economic inactivity due to long-term sickness in Newcastle,true,true,true,false,,
2024/051,2024/051,2024/051,Factors of firm performance and survival in the UK,true,true,true,false,,
2024/053,2024/053,2024/053,What Shapes Firms Performance? The Role of Technological and Non-Technological Innovation,true,true,true,false,,
2024/054,2024/054,2024/054,"The Impact of Higher Education Expansion on Overeducation, Labour Market Outcomes and Income Distribution in the UK",true,true,true,false,,
2024/060,2024/060,2024/060,Children of the 1990s - extending understanding of social mobility in England and Wales,true,true,true,false,,
2024/068,2024/068,2024/068,"INVEST-STEM: Investigating STEM Readiness, Inclusion, and Economic Returns",true,true,true,false,,
2024/085,2024/085,2024/085,Using Past Data to Improve University Admissions,true,true,true,false,,
2024/093,2024/093,2024/093,Help to Grow Management study,true,true,true,false,,
2024/119,2024/119,2024/119,Inequalities in domestic abuse victimisation and help-seeking,true,true,true,false,,
2024/122,2024/122,2024/122,A Randomised Controlled Trial (RCT) of self-employment support for young people feasibility study,true,true,true,false,,
2024/126,2024/126,2024/126,Firming Up Technology Trade,true,true,true,false,,
2024/136,2024/136,2024/136,"Unpacking returns to vocational education in England: the role of skills, labour market sorting and mobility",true,true,true,false,,
2024/139,2024/139,2024/139,Understanding the family justice system,true,true,true,false,,
2024/144,2024/144,2024/144,Understanding SES and Gender Gaps in University Admissions: The Case of Application Behaviour and Teacher Predicted Grades,true,true,true,false,,
2024/157,2024/157,2024/157,The effect of rank in math and English skills on later outcomes,true,true,true,false,,
2024/161,2024/161,2024/161,Women's pension entitlement in the UK: Understanding who may have been left under-provisioned by recent changes in state pension age,true,true,true,false,,
2024/167,2024/167,2024/167,The 'leaky' mathematics pipeline: when and why do students stop studying?,true,true,true,false,,
2024/193,2024/193,2024/193,How did foreign-owned business establishments avoid the UK productivity slowdown after 2008? The roles of investment and R&D.,true,true,true,false,,
2024/194,2024/194,2024/194,Population segmentation of health service utilisation for self-harm in adolescents,true,true,true,false,,
2024/197,2024/197,2024/197,Evaluating the effects of the growing and uneven diagnosis of autism amongst young people in England,true,true,true,false,,
2024/204,2024/204,2024/204,The impact of direct and indirect exposure to child maltreatment and social care on educational and labour market outcomes,true,true,true,false,,
2024/218,2024/218,2024/218,Assessing the impact of Operation Venetic on court outcomes.,true,true,true,false,,
2024/239,2024/239,2024/239,Uncovering Patterns and Policy Implications of How Employee Jobs and Self-Employment are Combined,true,true,true,false,,
2024/256,2024/256,2024/256,Drug trafficking in England and Wales,true,true,true,false,,
2025/001,2025/001,2025/001,Health and Educational Outcomes of Children with Sickle Cell Disease in England,true,true,true,false,,
2025/002,2025/002,2025/002,Effect of eligibility for herpes zoster vaccination on vascular inflammation-related health outcomes,true,true,true,false,,
2025/024,2025/024,2025/024,Impact of School Holidays and Local Food Environments on Household Finances (LCF),true,true,true,false,,
2025/036,2025/036,2025/036,The drivers of labour market inequality: employer or education providers?,true,true,true,false,,
2025/038,2025/038,2025/038,Transport connectivity and productivity,true,true,true,false,,
2025/053,2025/053,2025/053,Supply Chain Disruptions and the EU-UK TCA,true,true,true,false,,
2025/058,2025/058,2025/058,Causes and consequences of the growth-capital gap for UK-based scale-up companies: Implications for UK business investment and long-term productivity growth,true,true,true,false,,
2025/060,2025/060,2025/060,Nutrition and Food insecurity in older adults of the North UK,true,true,true,false,,
2025/061,2025/061,2025/061,"Right place, right time, right support: exploring additional learning needs provision and educational outcomes in Wales",true,true,true,false,,
2025/062,2025/062,2025/062,"Correlates of Key Stage 4 and Key Stage 5 attainment and Higher Education participation, and project qualifications",true,true,true,false,,
2025/069,2025/069,2025/069,Understanding changes in resilience among children and young people,true,true,true,false,,
2025/075,2025/075,2025/075,Beta test: Evaluating social inequality in longevity,true,true,true,false,,
2025/076,2025/076,2025/076,Welsh Electronic Children's Cohort 4,true,true,true,false,,
2025/083,2025/083,2025/083,Evaluation of DBT export promotion activities,true,true,true,false,,
2025/084,2025/084,2025/084,How do pay differentials between the public and private sector affect recruitment and retention of public sector workers?,true,true,true,false,,
2025/093,2025/093,2025/093,Transport Innovation and Crimes,true,true,true,false,,
2025/104,2025/104,2025/104,"Dissociative seizures in Wales - epidemiology, outcomes and risk stratification",true,true,true,false,,
2025/110,2025/110,2025/110,UK MS Register,true,true,true,false,,
2025/122,2025/122,2025/122,"A Comprehensive Analysis of Contextualised Admissions: Impacts on University Applications, Enrollment, and Academic and Labour Market Outcomes",true,true,true,false,,
2025/126,2025/126,2025/126,Geographical variation in where older people with dementia and/or cancer die: a population-based cohort study,true,true,true,false,,
2025/153,2025/153,2025/153,Firm Productivity and Worker-Level Wages in the United Kingdom,true,true,true,false,,
2025/167,2025/167,2025/167,Skills and productivity differences between English cities: is a lack of appropriate qualifications holding poorly performing places back?,true,true,true,false,,
2025/172,2025/172,2025/172,Studying Differences in Mortality and Health Between Migrants and Natives in England and Wales,true,true,true,false,,
2025/176,2025/176,2025/176,Internal Migration and Levelling Up,true,true,true,false,,
2025/178,2025/178,2025/178,Towns Fund Programme Evaluation,true,true,true,false,,
2025/179,2025/179,2025/179,Estimation of victim well-being benefits from crime outcomes,true,true,true,false,,
2025/181,2025/181,2025/181,Developing machine learning models to predict students' academic outcomes from previous academic performance.,true,true,true,false,,
2025/185,2025/185,2025/185,High-intensity Emergency department use and mental health in young people (aged 10-25): a longitudinal data linkage study using administrative data from England,true,true,true,false,,
2025/192,2025/192,2025/192,Mapping Agglomeration Economies from Victorian Britain to Modern Times,true,true,true,false,,
2025/200,2025/200,2025/200,ADRW-MSC Investigating inequality and inequity in Wales through linked data methods,true,true,true,false,,
2025/201,2025/201,2025/201,Analysing Pay and Low Pay Trends Across Sectors in Greater Manchester,true,true,true,false,,
2025/207,2025/207,2025/207,TRACK-NetZ: Tracking Change in Mobility and Energy Demand Towards Net-Zero,true,true,true,false,,
2025/212,2025/212,2025/212,Evaluating approaches to GCSE tier entry to improve maths teaching and learning in secondary schools,true,true,true,false,,
2025/214,2025/214,2025/214,Education and labour transitions in a multi-ethnic society,true,true,true,false,,
2025/224,2025/224,2025/224,Public Health Wales Linked Data Feasibility Hub,true,true,true,false,,
2025/227,2025/227,2025/227,The causal impact of children’s interactions with the social care system on their subsequent education and health outcomes,true,true,true,false,,
2025/228,2025/228,2025/228,Biomedical Catalyst Phase 3 impact evaluation,true,true,true,false,,
2025/244,2025/244,2025/244,Intimate partner abuse in lesbian relationships,true,true,true,false,,
2025/246,2025/246,2025/246,The origins and long-run dynamics of female labour force participation and political rights,true,true,true,false,,
