"exclusion_group","sequence","record_id","project_id","title","datasets_used","use_in_materials","source_file"
"training","1","2019/004","2019/004","The changing nature of the HR and training practitioner profession","Office for National Statistics: Annual Population Survey","Worked example: straightforward labour-market domain and descriptive purpose","layer_classifications.csv"
"training","2","2020/021","2020/021","The impact of the National Living Wage on Employment, Hours, Earnings and Household Income","Office for National Statistics: Annual Population Survey & Annual Survey of Hours and Earnings","Worked example: multi-domain assignment and policy evaluation","layer_classifications.csv"
"training","3","2024/019","2024/019","ADR Wales Social Justice","SAIL Databank Databank: Census 2021","Worked example: Unclear from Register Entry and register insufficiency","layer_classifications.csv"
"training","4","2022/073","2022/073","The effect of parental education and occupation on the disadvantage attainment gap - GUIE project","Office for National Statistics &
Department for Education: Growing Up in England Wave 1, Growing Up in England Wave 2 Vulnerability Measures,","Worked example: Outcome Tracking and socioeconomic-disadvantage tag boundary","layer_classifications.csv"
"training","5","2025/039","2025/039","Decoding the Signals from Classrooms: Early Warning System for Youth Mental Health Crises","NHS; DfE: Education and Child Health Insights from Linked Data","Worked example: explicit Risk Prediction / Early Identification","layer_classifications.csv"
"training","6","2022/042","2022/042","Education and Labour Market Trajectories in UK City Regions","DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract","Worked example: Life-Course / Trajectory Analysis","layer_classifications.csv"
"training","7","2021/065","2021/065","University Admissions Process in the UK: A Theoretical and Empirical Analysis","UCAS: Universities and Colleges Admissions Service data","Worked example: Service Interaction / Systems Analysis","layer_classifications.csv"
"training","8","2025/251","2025/251","Developing the Circular Economy in Northern Ireland: An Agent-Based Modelling Approach","Office for national Statistics: Annual Business Survey, Annual Purchases survey
Northern Ireland Statistics and Research Agency: Northern Ireland Annual Business Inquiry, Northern Ireland Economic Trade Statistics","Worked example: methodological analytical purpose without methodology research domain","layer_classifications.csv"
"training","9","2021/113","2021/113","Ethnic pay gaps in the public sector","Office for National Statistics: Annual Population Survey","Worked example: explicit demographic-disparities/equity tag positive anchor","layer_classifications.csv"
"training","10","2021/007","2021/007","The economic and social impact of COVID-19","Office for National Statistics: Business Impact of COVID-19 Survey & Coronavirus and the social impacts on Great Britain","Worked example: COVID-19 tag positive anchor","layer_classifications.csv"
"training","11","2020/003","2020/003","Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey","Integrated worked example: multiple research domains with one analytical purpose","layer_classifications.csv"
"training","12","2022/090","2022/090","Reassessing ethnic disparities in sentencing using different measures of offenders' ethnicity","Ministry of Justice: MoJ Data First Crown Court Defendant Case Level Dataset, MoJ Data First Magistrates' Court Defendant Case Level Dataset - England and Wales","No-key discussion card: genuine methodology-domain boundary case","layer_classifications.csv"
"pilot","1","2019/015","2019/015","Understanding saving behaviour in the UK","Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings","Independent pilot: material resources versus incidental labour-market dataset","layer_classifications.csv"
"pilot","2","2021/038","2021/038","Using linked Magistrates and Crown Court data to explore defendant appearance over time: specialisation, escalation or de-escalation?","Ministry of Justice: MoJ Data First Crown court defendant case level dataset, MoJ Data First Linked Criminal Courts defendant case level dataset & MoJ Data First magistrates' court defendant case level dataset","Independent pilot: two genuinely central analytical purposes","layer_classifications.csv"
"pilot","3","2021/063","2021/063","Gender Pay Gap","Office for National Statistics: Annual Survey of Hours and Earnings, Business Structure Database & Annual Business Survey","Independent pilot: explicit gender equity tag","layer_classifications.csv"
"pilot","4","2021/103","2021/103","AMPHoRA","Office for National Statistics: Living Costs and Food Survey","Independent pilot: thin title and purpose Unclear from Register Entry","layer_classifications.csv"
"pilot","5","2022/130","2022/130","Using the Earnings and Employees Study to analyse the association between unpaid caring and employment earnings in NI","Northern Ireland Statistics and Research Agency: Earnings and Employees Study","Independent pilot: unpaid caring, domain overlap and equity-tag boundary","layer_classifications.csv"
"pilot","6","2024/248","2024/248","Domestic Energy Affordability Schemes impact evaluation","Office for National Statistics: Living Costs and Food Survey - UK
DWP: Family Resources Survey - UK","Independent pilot: multi-domain policy evaluation and public-finance restraint","layer_classifications.csv"
"pilot","7","2021/056","2021/056","Evaluating the impact of the Cycling Demonstration Towns and Cycling Cities and Towns using the Office for National Statistics Longitudinal Study","Office for National Statistics: Longitudinal Study of England and Wales","Independent pilot: clear purpose but under-specified research domain","layer_classifications.csv"
"pilot","8","2022/034","2022/034","Developing a resilience framework for UK creative micro-businesses as a route to recovery from the Covid 19 pandemic","Office for National Statistics: Business Insights and Conditions Survey, Business Structure Database","Independent pilot: framework/methodology boundary and COVID tag","layer_classifications.csv"
"pilot","9","2025/181","2025/181","Developing machine learning models to predict students' academic outcomes from previous academic performance.","Department for Education: GRading and Admissions Data England - Ofqual - DfE","Independent pilot: prediction versus methodological-purpose over-assignment","layer_classifications.csv"
"pilot","10","2025/027","2025/027","Migration Observatory analysis of international migration under the UK's post-Brexit immigration system","Office for National Statistics: Census 2021 England and Wales","Independent pilot: migration description versus policy-evaluation over-assignment","layer_classifications.csv"
