assignment_id,record_id,coder_id,mapping_source,mapping_status,duplicate_flag,pilot_inclusion
BOMKUM05,2024/248,C01,explicit_hidden_reviewer_id,mapped,0,1
CETRI8Y5,2022/130,C03,explicit_hidden_reviewer_id,mapped,0,1
CWKYY707,2022/034,C01,explicit_hidden_reviewer_id,mapped,0,1
CZ760MQA,2024/248,C03,explicit_hidden_reviewer_id,mapped,0,1
E7QE1ZTZ,2021/038,C02,explicit_hidden_reviewer_id,mapped,0,1
EJHI4CSS,2024/248,C02,explicit_hidden_reviewer_id,mapped,0,1
HOGEI9B6,2021/056,C01,explicit_hidden_reviewer_id,mapped,0,1
IUAV5KXR,2025/027,C02,explicit_hidden_reviewer_id,mapped,0,1
JWBOOLU9,2021/103,C03,explicit_hidden_reviewer_id,mapped,0,1
JXLDJ4MD,2025/027,C01,explicit_hidden_reviewer_id,mapped,0,1
JZB2SYYJ,2022/034,C03,explicit_hidden_reviewer_id,mapped,0,1
K2VX8Z0J,2021/063,C02,explicit_hidden_reviewer_id,mapped,0,1
KIJTY4I2,2021/103,C01,explicit_hidden_reviewer_id,mapped,0,1
LFCF4SB0,2022/130,C01,explicit_hidden_reviewer_id,mapped,0,1
LIE1Q4ON,2021/056,C02,explicit_hidden_reviewer_id,mapped,0,1
LK52TH6D,2022/130,C02,explicit_hidden_reviewer_id,mapped,0,1
LUNLL1PM,2021/063,C03,explicit_hidden_reviewer_id,mapped,0,1
MRXVIFS0,2021/063,C01,explicit_hidden_reviewer_id,mapped,0,1
MWWCZ2K9,2021/038,C01,explicit_hidden_reviewer_id,mapped,0,1
NYM05RZF,2021/056,C03,explicit_hidden_reviewer_id,mapped,0,1
P73KCAK1,2025/181,C03,explicit_hidden_reviewer_id,mapped,0,1
QE8NBIOF,2019/015,C03,explicit_hidden_reviewer_id,mapped,0,1
QPRPEUV9,2025/181,C01,explicit_hidden_reviewer_id,mapped,0,1
RUVIMSWN,2019/015,C02,explicit_hidden_reviewer_id,mapped,0,1
UQWAIXY0,2021/038,C03,explicit_hidden_reviewer_id,mapped,0,1
WLC16ZW3,2019/015,C01,explicit_hidden_reviewer_id,mapped,0,1
X61GPVCC,2021/103,C02,explicit_hidden_reviewer_id,mapped,0,1
XNKPQT8L,2025/181,C02,explicit_hidden_reviewer_id,mapped,0,1
YXD4CMBD,2022/034,C02,explicit_hidden_reviewer_id,mapped,0,1
Z13OS8JJ,2025/027,C03,explicit_hidden_reviewer_id,mapped,0,1
