record_id,classification_dimension,C01_set,C02_set,C03_set,complete_set_pattern,C01_C02_exact,C01_C03_exact,C02_C03_exact,C01_C02_jaccard,C01_C03_jaccard,C02_C03_jaccard,majority_supported_labels,C01_difference,C01_extra_labels,C01_missing_labels,C02_difference,C02_extra_labels,C02_missing_labels,C03_difference,C03_extra_labels,C03_missing_labels,majority_supported_count,purpose_majority_exceeds_two,all_sets_distinct_with_nonempty_majority
2019/015,Research Domains,"Labour Market & Employment | Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards",two_vs_one,0,0,1,0.500000,0.500000,1.000000,"Poverty, Wealth & Living Standards",extra_only,Labour Market & Employment,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2021/038,Research Domains,Crime & Justice,Crime & Justice,Crime & Justice,unanimous,1,1,1,1.000000,1.000000,1.000000,Crime & Justice,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2021/056,Research Domains,Unclear from Register Entry,Housing & Planning,Housing & Planning,two_vs_one,0,0,1,0.000000,0.000000,1.000000,Housing & Planning,mixed_extra_and_missing,Unclear from Register Entry,Housing & Planning,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2021/063,Research Domains,"Labour Market & Employment | Poverty, Wealth & Living Standards | Public Finance & Taxation",Unclear from Register Entry,Labour Market & Employment,all_sets_distinct,0,0,0,0.000000,0.333333,0.000000,Labour Market & Employment,extra_only,"Poverty, Wealth & Living Standards | Public Finance & Taxation",,mixed_extra_and_missing,Unclear from Register Entry,Labour Market & Employment,matches_majority_supported_set,,,1,0,1
2021/103,Research Domains,Unclear from Register Entry,Unclear from Register Entry,Unclear from Register Entry,unanimous,1,1,1,1.000000,1.000000,1.000000,Unclear from Register Entry,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2022/034,Research Domains,Business & Productivity | Labour Market & Employment,Business & Productivity,Business & Productivity,two_vs_one,0,0,1,0.500000,0.500000,1.000000,Business & Productivity,extra_only,Labour Market & Employment,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2022/130,Research Domains,"Health & Social Care | Labour Market & Employment | Poverty, Wealth & Living Standards",Labour Market & Employment,Labour Market & Employment,two_vs_one,0,0,1,0.333333,0.333333,1.000000,Labour Market & Employment,extra_only,"Health & Social Care | Poverty, Wealth & Living Standards",,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2024/248,Research Domains,"Environment & Agriculture | Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards",Housing & Planning,all_sets_distinct,0,0,0,0.500000,0.000000,0.000000,"Poverty, Wealth & Living Standards",extra_only,Environment & Agriculture,,matches_majority_supported_set,,,mixed_extra_and_missing,Housing & Planning,"Poverty, Wealth & Living Standards",1,0,1
2025/027,Research Domains,Migration & Demographics,Migration & Demographics,Migration & Demographics,unanimous,1,1,1,1.000000,1.000000,1.000000,Migration & Demographics,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2025/181,Research Domains,Education & Skills,Education & Skills,Education & Skills,unanimous,1,1,1,1.000000,1.000000,1.000000,Education & Skills,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2019/015,Analytical Purposes,Descriptive Monitoring,Descriptive Monitoring,Descriptive Monitoring,unanimous,1,1,1,1.000000,1.000000,1.000000,Descriptive Monitoring,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2021/038,Analytical Purposes,Descriptive Monitoring | Life-Course / Trajectory Analysis,Life-Course / Trajectory Analysis,Descriptive Monitoring,all_sets_distinct,0,0,0,0.500000,0.500000,0.000000,Descriptive Monitoring | Life-Course / Trajectory Analysis,matches_majority_supported_set,,,missing_only,,Descriptive Monitoring,missing_only,,Life-Course / Trajectory Analysis,2,0,1
2021/056,Analytical Purposes,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,unanimous,1,1,1,1.000000,1.000000,1.000000,Policy Evaluation / Impact Analysis,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2021/063,Analytical Purposes,Unclear from Register Entry,Unclear from Register Entry,Descriptive Monitoring,two_vs_one,1,0,0,1.000000,0.000000,0.000000,Unclear from Register Entry,matches_majority_supported_set,,,matches_majority_supported_set,,,mixed_extra_and_missing,Descriptive Monitoring,Unclear from Register Entry,1,0,0
2021/103,Analytical Purposes,Unclear from Register Entry,Unclear from Register Entry,Unclear from Register Entry,unanimous,1,1,1,1.000000,1.000000,1.000000,Unclear from Register Entry,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2022/034,Analytical Purposes,Methodological / Infrastructure Research,Methodological / Infrastructure Research,Methodological / Infrastructure Research,unanimous,1,1,1,1.000000,1.000000,1.000000,Methodological / Infrastructure Research,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2022/130,Analytical Purposes,Descriptive Monitoring,Outcome Tracking,Outcome Tracking,two_vs_one,0,0,1,0.000000,0.000000,1.000000,Outcome Tracking,mixed_extra_and_missing,Descriptive Monitoring,Outcome Tracking,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2024/248,Analytical Purposes,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,unanimous,1,1,1,1.000000,1.000000,1.000000,Policy Evaluation / Impact Analysis,matches_majority_supported_set,,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2025/027,Analytical Purposes,Descriptive Monitoring | Policy Evaluation / Impact Analysis,Descriptive Monitoring,Descriptive Monitoring,two_vs_one,0,0,1,0.500000,0.500000,1.000000,Descriptive Monitoring,extra_only,Policy Evaluation / Impact Analysis,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
2025/181,Analytical Purposes,Methodological / Infrastructure Research | Risk Prediction / Early Identification,Risk Prediction / Early Identification,Risk Prediction / Early Identification,two_vs_one,0,0,1,0.500000,0.500000,1.000000,Risk Prediction / Early Identification,extra_only,Methodological / Infrastructure Research,,matches_majority_supported_set,,,matches_majority_supported_set,,,1,0,0
