record_id,dimension,dimension_type,agreement_pattern,all_agree_flag,two_vs_one_flag,split_flag,pairwise_exact_count,mean_pairwise_jaccard,majority_category,notes_for_interpretation
2019/015,Research Domains,set,two_vs_one,0,1,0,1,0.666667,,Two complete label sets match and one differs
2019/015,Analytical Purposes,set,unanimous,1,0,0,3,1.000000,,All three complete label sets are identical
2019/015,Tag: Demographic disparities / equality,binary_tag,all_agree_negative,1,0,0,3,,Negative,All three coders selected the negative tag
2019/015,Tag: COVID-19 / pandemic,binary_tag,all_agree_negative,1,0,0,3,,Negative,All three coders selected the negative tag
2019/015,Register sufficiency,categorical,two_vs_one,0,1,0,1,,Partially sufficient,Two categorical responses match and one differs
2019/015,Taxonomy fit,categorical,all_agree,1,0,0,3,,Fit,All three categorical responses are identical
2019/015,Confidence,categorical,two_vs_one,0,1,0,1,,Medium,Two categorical responses match and one differs
2021/038,Research Domains,set,unanimous,1,0,0,3,1.000000,,All three complete label sets are identical
2021/038,Analytical Purposes,set,all_sets_distinct,0,0,1,0,0.333333,,All three complete label sets differ pairwise
2021/038,Tag: Demographic disparities / equality,binary_tag,all_agree_negative,1,0,0,3,,Negative,All three coders selected the negative tag
2021/038,Tag: COVID-19 / pandemic,binary_tag,all_agree_negative,1,0,0,3,,Negative,All three coders selected the negative tag
2021/038,Register sufficiency,categorical,all_agree,1,0,0,3,,Sufficient,All three categorical responses are identical
2021/038,Taxonomy fit,categorical,all_agree,1,0,0,3,,Fit,All three categorical responses are identical
2021/038,Confidence,categorical,two_vs_one,0,1,0,1,,High,Two categorical responses match and one differs
2021/056,Research Domains,set,two_vs_one,0,1,0,1,0.333333,,Two complete label sets match and one differs
2021/056,Analytical Purposes,set,unanimous,1,0,0,3,1.000000,,All three complete label sets are identical
2021/056,Tag: Demographic disparities / equality,binary_tag,all_agree_negative,1,0,0,3,,Negative,All three coders selected the negative tag
2021/056,Tag: COVID-19 / pandemic,binary_tag,all_agree_negative,1,0,0,3,,Negative,All three coders selected the negative tag
2021/056,Register sufficiency,categorical,two_vs_one,0,1,0,1,,Partially sufficient,Two categorical responses match and one differs
2021/056,Taxonomy fit,categorical,two_vs_one,0,1,0,1,,Partial Fit,Two categorical responses match and one differs
