"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
owner_id,owner_consent,,text,"Pseudonymous owner identifier",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
owner_intro,owner_consent,,descriptive,"<strong>DEA Validation Study – Project Owner Review</strong><br><div style=""font-weight:400;""><br>This personalised link was sent because you are named as a researcher on one or more projects accredited under the Digital Economy Act 2017 in the UK Statistics Authority's public register of accredited projects. Researchers directly involved in a project may have relevant context that is not visible in the public register entry.<br><br>Participation is voluntary. After confirming that you are the intended recipient and agreeing to take part, your personalised list of projects will be displayed. You may review one, some, all or none of the listed projects, in any order.<br><br>Please do not forward this personalised link. Each project review usually takes about 5–10 minutes. The first review may take longer while you become familiar with the classifications. To pause an unfinished review, select <strong>Save & Return Later</strong> before leaving. You can then return using the same personalised link.</div>",,,,,,,,,,,,,
participant_info_link,owner_consent,,descriptive,"<div style=""font-weight:400;""><div><strong>Study title</strong> </div>
<div>From public record to portfolio intelligence: validating LLM classification of the UK's register of accredited research projects</div>
<div><strong>Research team</strong></div>
<div>Dr Balint Stewart, Researcher — balint.stewart@ucl.ac.uk</div>
<div>Dr Joseph Lam, Principal Investigator — joseph.lam@ucl.ac.uk</div>
<div>UCL Great Ormond Street Institute of Child Health, Faculty of Population Health Sciences, University College London </div>
<div><strong>UCL ethics application</strong></div>
<div>Project ID: 5004</div>
<div>You are being invited to take part in a research study. Before you decide, please read this sheet so you understand what taking part involves. You may contact us with any questions before deciding. </div>
<div><strong>Participant information</strong></div>
<div><strong>What is the study about?</strong></div>
<div>We have developed a public dashboard based on the UK Statistics Authority's register of research projects accredited under the Digital Economy Act 2017. The dashboard makes this research easier to search and understand and includes experimental classifications of projects by research domain and analytical purpose.</div>
<div>The classifications are generated by a large language model (LLM) using only the information published in the public register entry. They are experimental and are not presented as authoritative descriptions of any project. This validation study assesses how accurately those classifications represent the projects, and whether apparent problems arise from classification error, limited information in the public register entry, or gaps in the classification framework itself. </div>
<div>Dashboard: <a href=""https://adr-dea-project.onrender.com/"">https://adr-dea-project.onrender.com/</a> </div>
<div><strong>Why have I been invited?</strong></div>
<div>You are publicly named as a researcher on one or more eligible projects in the register. Researchers directly involved in a project can provide context that may not be visible from the public register entry alone.</div>
<div><strong>What would taking part involve?</strong></div>
<div>You will receive one personalised link. After confirming that you are the intended recipient, reading the Participant Information Sheet and agreeing to take part, you will see a list of the projects on which you are named. You may review all, some or none of these projects, in any order. Each project review usually takes about 5–10 minutes. The first review may take longer while you become familiar with the classifications.</div>
<div>For each project, you will be shown the public register entry and the classifications proposed by the system:</div>
<ul><li>one or more <strong>Research Domains</strong>, describing what the project is about;</li><li>one or two <strong>Analytical Purposes</strong>, describing what the project is trying to do analytically; and</li><li>two binary <strong>cross-cutting tags</strong>—Demographic disparities / equity and COVID-19 & Pandemic—each shown as either Applied or Not applied.</li></ul>
<div>You will be asked whether each proposed classification accurately describes the project and whether the basis for it is visible in the public project title and datasets listed in the register. You can also identify any important Domains, Purposes or tags that are missing, and comment on whether the public register entry contains enough information and whether the available classification categories represent the project adequately.</div>
<div>Most free-text comments are optional. A brief explanation is required only when you say that a proposed Domain or Purpose does not fit, or that a proposed tag status is incorrect. Please provide only general project context and do not disclose confidential, sensitive or otherwise non-public information.</div>
<div>You may save an unfinished review using <strong>Save & Return Later</strong> and return through the same personalised link. Please do not forward the link.</div>
<div><strong>What will my responses be used for?</strong></div>
<div>Your responses are analysed alongside those of other project researchers and of trained independent coders, who classify the same public register entries without access to your answers. Together this evidence is used to assess how well the proposed classifications fit the projects, whether the public register entry contains enough information to classify reliably, and whether the classification framework covers projects adequately.</div>
<div>Your review is treated as project-informed evidence rather than as a definitive ‘correct’ answer, because you may know things about your project that are not visible in the public register entry. How findings are reported, and whether you could be identified, is explained below.</div>
<div><strong>Is participation voluntary?</strong></div>
<div>Yes. Taking part is entirely voluntary. Deciding not to participate will have no adverse consequences. You may skip any project review or stop at any time.</div>
<div><strong>Are there any risks?</strong></div>
<div>This is a low-risk professional review. Some questions may involve mild discomfort when commenting on the accuracy of a public project description or classification. </div>
<div>Your review is not an assessment of you or of the quality of your research. You should not disclose confidential, sensitive or otherwise non-public information. </div>
<div>Where wider project context affects your answer, please describe it only at a general level you are comfortable sharing. </div>
<div>Optional comments may be left blank. </div>
<div>You should be aware that the group invited to this study is small, and that all participants are publicly named on publicly listed projects. This means your responses cannot be treated as fully anonymous. </div>
<div>A reader familiar with the register might be able to infer who commented on a particular project. We describe below the steps we take to limit this, and the choices available to you. </div>
<div><strong>What personal data do you collect about me? </strong></div>
<div>We collect and process the following:</div>
<ul><li>your name and professional email address, obtained from publicly available sources;</li><li>a record of your consent, including the date, time and the version of this information sheet you were shown;</li><li>your survey responses, including any optional free-text comments;</li><li>a pseudonymous participant identifier and the key linking it to your contact details;</li><li>your optional preference about acknowledgement.</li></ul>
<div><strong>How is my information kept confidential?</strong></div>
<div>Your name and contact details are held in a restricted recruitment table, stored separately from your survey responses. Your responses are recorded against a pseudonymous identifier, not your name. Analysis datasets contain no direct identifiers. Access to identifiable contact and consent data is restricted to Dr Balint Stewart for study administration; Dr Balint Stewart and Dr Joseph Lam may access pseudonymised research data. Response data are held in UCL REDCap and other UCL-approved secure systems, protected by password-controlled accounts.</div>
<div><strong>Will I be identified in any outputs?</strong></div>
<div>Findings will be reported in aggregate. Neither your name nor your responses will be published in identifiable form without your specific permission.</div>
<div>Occasionally we may describe an anonymised example to illustrate a type of problem. Any such description focuses on the classification issue rather than the project, and omits the project title, the datasets used, and any other detail we judge would make the project recognisable. Your own comments are not reproduced. </div>
<div>If we would like to use a short quotation from your comments, we will contact you by email with the exact proposed wording and the context in which it would appear, and we will use it only if you agree in writing. You may decline without giving a reason and without affecting anything else about your participation.</div>
<div>Because participants are publicly named on publicly listed projects, we cannot guarantee that a quotation would be entirely untraceable to you by a reader who knows the register well. Sending you the exact wording in advance is intended to let you judge that for yourself before deciding.</div>
<div>Separately, you may choose whether you would like to be acknowledged by name in the resulting publications. This choice is entirely optional, made independently of your decision to take part, and does not affect your participation. Please note that if you choose to be acknowledged, your involvement in this study becomes permanently and publicly identifiable, and this cannot be reversed once material is published. If you would prefer not to be named, simply decline the acknowledgment and the study team will not name or acknowledge you in resulting outputs. Because participants are publicly associated with listed projects, complete anonymity cannot be guaranteed. </div>
<div><strong>How long will my data be kept?</strong></div>
<div>Your contact details and the linking key will be securely deleted within three months of the study ending, once withdrawal requests and participant communications are complete. Consent records will be retained only as long as required for research governance.</div>
<div>Pseudonymised research data will be retained securely for 10 years so that findings can be verified and, where appropriate, re-analysed by the research team. Any wider sharing or archiving will be of anonymised aggregate data only; no identifiable data will be shared. Your individual responses will not be shared with researchers outside the study team, deposited in a public repository, or shared with any commercial organisation. </div>
<div><strong>Can I withdraw?</strong></div>
<div>Yes. You may stop at any time, skip any project review, or ask not to receive further invitations. Any review you have not submitted will not be analysed.</div>
<div>You may also request withdrawal of a review you have already submitted. To do this, email balint.stewart@ucl.ac.uk quoting the Review reference shown at the top of that review. You may request one review to be withdrawn, or all of them.</div>
<div><strong>Requests must be received by Monday 19 October 2026, which is 14 calendar days after the survey closes on Monday 5 October.</strong> After this date, the analysis dataset will be locked and responses may already have been incorporated into the analysis, so individual reviews will no longer be removed </div>
<div><strong>Will I hear about the results?</strong></div>
<div>Yes. All participants will be offered a brief plain-language summary of the overall findings by email once the study is complete. Findings may also be shared through the public dashboard, in academic publications and conference presentations, on the Open Science Framework, and through UCL or funder communications. Results will be reported in aggregate.</div>
<div><strong>Who can I contact?</strong></div>
<div>If you have questions about the study, please contact: </div>
<div>Dr Balint Stewart (study contact), <a href=""mailto:balint.stewart@ucl.ac.uk"">balint.stewart@ucl.ac.uk</a></div>
<div>Dr Joseph Lam (Principal Investigator), <a href=""mailto:joseph.lam@ucl.ac.uk"">joseph.lam@ucl.ac.uk</a> </div>
<div>This research is funded by Health Data Research UK and is being conducted at University College London. </div>
<div><strong>Complaints.</strong> If you have a concern about any aspect of this study, please contact Dr Balint Stewart in the first instance, or Dr Joseph Lam, the Principal Investigator, at joseph.lam@ucl.ac.uk. If you feel your complaint has not been handled to your satisfaction, you can contact the Chair of the UCL Research Ethics Committee at ethics@ucl.ac.uk.</div>
<div><strong>Data protection queries.</strong> UCL's Data Protection Officer can be contacted at <a href=""mailto:data-protection@ucl.ac.uk"">data-protection@ucl.ac.uk</a>.</div>
<div>The full participant information, including the Local Data Protection Privacy Notice, is available to download with this consent form; UCL is the data controller, and UCL's Data Protection Officer can be contacted at data-protection@ucl.ac.uk.</div></div>
",,,,,,,,,,,,,
participant_info_ver,owner_consent,,text,"Participant-information version token",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
consent_form_ver,owner_consent,,text,"Owner-consent form version",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY @DEFAULT='owner-consent-v3'"
owner_instr_ver,owner_consent,,text,"Project Owner REDCap candidate version",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
intended_recipient,owner_consent,,radio,"I confirm that I am the researcher to whom this personalised link was sent.","1, Yes | 0, No",,,,,,,y,,,,,
wrong_recipient_stop,owner_consent,,descriptive,"<div style=""font-weight:400;"">This personalised link is intended only for the researcher to whom it was sent. Please do not complete or forward it. No project reviews will be displayed.</div>",,,,,,,"[intended_recipient] = '0'",,,,,,
consent_read_info,owner_consent,,radio,"I have read and understood the participant information above.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_understand_invitation,owner_consent,,radio,"I understand why I have been invited and what taking part involves.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
