assignment_id,redcap_data_access_group,reviewer_id,instrument_ver,record_kind,validation_included,sample_status,assignment_batch,source_record_id
BOMKUM05,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2024/248
CETRI8Y5,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2022/130
CWKYY707,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2022/034
CZ760MQA,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2024/248
DECL-C02-QA,pilot_and_qa_archi,C02,redcap-candidate-0.7,2,0,3,coder_access_qa_candidate07,
DECL-QA01,pilot_and_qa_archi,QA01,redcap-candidate-0.7,2,0,3,live_qa_candidate07,
E7QE1ZTZ,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2021/038
EJHI4CSS,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2024/248
HOGEI9B6,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2021/056
IUAV5KXR,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2025/027
JWBOOLU9,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2021/103
JXLDJ4MD,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2025/027
JZB2SYYJ,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2022/034
K2VX8Z0J,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2021/063
KIJTY4I2,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2021/103
LFCF4SB0,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2022/130
LIE1Q4ON,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2021/056
LK52TH6D,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2022/130
LUNLL1PM,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2021/063
MRXVIFS0,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2021/063
MWWCZ2K9,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2021/038
NYM05RZF,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2021/056
P73KCAK1,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2025/181
PROJ-C02-QA,pilot_and_qa_archi,C02,redcap-candidate-0.7,3,0,3,coder_access_qa_candidate07,QA-SYNTHETIC-01
PROJ-QA01,pilot_and_qa_archi,QA01,redcap-candidate-0.7,3,0,3,live_qa_candidate07,QA-SYNTHETIC-01
QA-C06-001,pilot_and_qa_archi,QA01,redcap-candidate-0.6,,0,3,live_qa_candidate06,QA/001
QE8NBIOF,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2019/015
QPRPEUV9,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2025/181
RUVIMSWN,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2019/015
UQWAIXY0,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2021/038
WLC16ZW3,pilot_and_qa_archi,C01,redcap-candidate-0.3,,0,,pilot_20260717,2019/015
X61GPVCC,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2021/103
XNKPQT8L,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2025/181
YXD4CMBD,pilot_and_qa_archi,C02,redcap-candidate-0.3,,0,,pilot_20260717,2022/034
Z13OS8JJ,pilot_and_qa_archi,C03,redcap-candidate-0.3,,0,,pilot_20260717,2025/027
