assignment_id,redcap_data_access_group,reviewer_id,instrument_ver,record_kind,validation_included,sample_status,assignment_batch,source_record_id
BOMKUM05,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2024/248
CETRI8Y5,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2022/130
CWKYY707,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2022/034
CZ760MQA,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2024/248
DECL-C02-QA,c02,C02,redcap-candidate-0.7,2,0,3,coder_access_qa_candidate07,
DECL-QA01,,QA01,redcap-candidate-0.7,2,0,3,live_qa_candidate07,
E7QE1ZTZ,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2021/038
EJHI4CSS,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2024/248
HOGEI9B6,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2021/056
IUAV5KXR,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2025/027
JWBOOLU9,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2021/103
JXLDJ4MD,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2025/027
JZB2SYYJ,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2022/034
K2VX8Z0J,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2021/063
KIJTY4I2,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2021/103
LFCF4SB0,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2022/130
LIE1Q4ON,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2021/056
LK52TH6D,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2022/130
LUNLL1PM,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2021/063
MRXVIFS0,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2021/063
MWWCZ2K9,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2021/038
NYM05RZF,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2021/056
P73KCAK1,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2025/181
PROJ-C02-QA,c02,C02,redcap-candidate-0.7,3,0,3,coder_access_qa_candidate07,QA-SYNTHETIC-01
PROJ-QA01,,QA01,redcap-candidate-0.7,3,0,3,live_qa_candidate07,QA-SYNTHETIC-01
QA-C06-001,,QA01,redcap-candidate-0.6,,0,3,live_qa_candidate06,QA/001
QE8NBIOF,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2019/015
QPRPEUV9,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2025/181
RUVIMSWN,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2019/015
UQWAIXY0,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2021/038
WLC16ZW3,c01,C01,redcap-candidate-0.3,,0,,pilot_20260717,2019/015
X61GPVCC,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2021/103
XNKPQT8L,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2025/181
YXD4CMBD,c02,C02,redcap-candidate-0.3,,0,,pilot_20260717,2022/034
Z13OS8JJ,c03,C03,redcap-candidate-0.3,,0,,pilot_20260717,2025/027
