owner_id,redcap_repeat_instrument,redcap_repeat_instance,participant_info_ver,consent_form_ver,owner_instr_ver,intended_recipient,owner_consent,ack_pref,assignment_id,source_record_id,official_project_id,project_title,datasets_used,public_register_url,source_pop_ver,production_ver,taxonomy_ver,proposal_output_sha256,review_instr_ver,taxonomy_display_ver,prop_domain_summary,prop_purpose_summary,prop_tag_summary,prop_d01_label,prop_d01_def,po_d01_fit,po_d01_correct_explain,po_d01_vis,po_d01_vis_explain,prop_d02_label,prop_d02_def,po_d02_fit,po_d02_correct_explain,po_d02_vis,po_d02_vis_explain,prop_d03_label,prop_d03_def,po_d03_fit,po_d03_correct_explain,po_d03_vis,po_d03_vis_explain,prop_d04_label,prop_d04_def,po_d04_fit,po_d04_correct_explain,po_d04_vis,po_d04_vis_explain,prop_p01_label,prop_p01_def,po_p01_fit,po_p01_correct_explain,po_p01_vis,po_p01_vis_explain,prop_p02_label,prop_p02_def,po_p02_fit,po_p02_correct_explain,po_p02_vis,po_p02_vis_explain,prop_t01_label,prop_t01_def,prop_t01_status,po_t01_correct,po_t01_correct_explain,po_t01_vis,po_t01_vis_explain,prop_t02_label,prop_t02_def,prop_t02_status,po_t02_correct,po_t02_correct_explain,po_t02_vis,po_t02_vis_explain,po_miss_domain,po_miss_domain_basis,po_miss_purpose,po_miss_purpose_basis,po_miss_tag,po_miss_tag_basis,po_sufficiency,po_suff_explain,po_taxonomy_fit,po_tax_explain,po_nonpublic,po_nonpublic_note,po_other_comment,po_quote_permission,owner_consent_complete,project_review_complete
OWNER_TEST_001,,,project-owner-information-pending-approval-candidate-0.3,owner-consent-candidate-0.3,owner-redcap-candidate-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
OWNER_TEST_001,project_review,1,,,,,,,ASSIGN_TEST_001,SYN_RECORD_001,SYN_PROJECT_001,Synthetic project 001: neutral public-register test,Synthetic dataset A001; Synthetic dataset B001,https://example.invalid/synthetic/001,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000001,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Labour Market & Employment; Education & Skills; Health & Social Care; Crime & Justice,Descriptive Monitoring; Outcome Tracking,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Applied,Labour Market & Employment,"Work, employment, earnings, job quality, workforce dynamics, skills demand and labour-market transitions.",,,,,Education & Skills,"Education, learning, training, skills formation and transitions through education systems and into work.",,,,,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_002,,,project-owner-information-pending-approval-candidate-0.3,owner-consent-candidate-0.3,owner-redcap-candidate-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
OWNER_TEST_002,project_review,1,,,,,,,ASSIGN_TEST_002,SYN_RECORD_002,SYN_PROJECT_002,Synthetic project 002: neutral public-register test,Synthetic dataset A002; Synthetic dataset B002,https://example.invalid/synthetic/002,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000002,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Education & Skills; Health & Social Care; Crime & Justice,Outcome Tracking,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,Education & Skills,"Education, learning, training, skills formation and transitions through education systems and into work.",,,,,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_002,project_review,2,,,,,,,ASSIGN_TEST_003,SYN_RECORD_003,SYN_PROJECT_003,Synthetic project 003: neutral public-register test,Synthetic dataset A003; Synthetic dataset B003,https://example.invalid/synthetic/003,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000003,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,"Health & Social Care; Crime & Justice; Business & Productivity; Poverty, Wealth & Living Standards",Life-Course / Trajectory Analysis; Service Interaction / Systems Analysis,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Not applied,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,Business & Productivity,"Firms, business activity, innovation, productivity, entrepreneurship, trade, investment and business performance.",,,,,"Poverty, Wealth & Living Standards","Material resources, poverty, wealth, debt, benefits, deprivation, cost of living and household income.",,,,,Life-Course / Trajectory Analysis,"Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.",,,,,Service Interaction / Systems Analysis,"How people, cases or organisations access, use, move through or are processed by public services.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_002,project_review,3,,,,,,,ASSIGN_TEST_004,SYN_RECORD_004,SYN_PROJECT_004,Synthetic project 004: neutral public-register test,Synthetic dataset A004; Synthetic dataset B004,https://example.invalid/synthetic/004,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000004,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Crime & Justice,Service Interaction / Systems Analysis,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,,,,,,,,,,,,,,,,,,,Service Interaction / Systems Analysis,"How people, cases or organisations access, use, move through or are processed by public services.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,,,project-owner-information-pending-approval-candidate-0.3,owner-consent-candidate-0.3,owner-redcap-candidate-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
OWNER_TEST_003,project_review,1,,,,,,,ASSIGN_TEST_005,SYN_RECORD_005,SYN_PROJECT_005,Synthetic project 005: neutral public-register test,Synthetic dataset A005; Synthetic dataset B005,https://example.invalid/synthetic/005,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000005,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,"Business & Productivity; Poverty, Wealth & Living Standards",Policy Evaluation / Impact Analysis; Risk Prediction / Early Identification,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Applied,Business & Productivity,"Firms, business activity, innovation, productivity, entrepreneurship, trade, investment and business performance.",,,,,"Poverty, Wealth & Living Standards","Material resources, poverty, wealth, debt, benefits, deprivation, cost of living and household income.",,,,,,,,,,,,,,,,,Policy Evaluation / Impact Analysis,"Assessing the implementation, effects or consequences of a specific named policy, programme, regulation or intervention.",,,,,Risk Prediction / Early Identification,"Predicting risk or identifying at-risk people, groups or places for screening or early targeting.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,2,,,,,,,ASSIGN_TEST_006,SYN_RECORD_006,SYN_PROJECT_006,Synthetic project 006: neutral public-register test,Synthetic dataset A006; Synthetic dataset B006,https://example.invalid/synthetic/006,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000006,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,"Poverty, Wealth & Living Standards; Housing & Planning; Migration & Demographics",Risk Prediction / Early Identification,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Not applied,"Poverty, Wealth & Living Standards","Material resources, poverty, wealth, debt, benefits, deprivation, cost of living and household income.",,,,,Housing & Planning,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",,,,,Migration & Demographics,"Population structure and change, migration, fertility, ageing and mortality as a demographic outcome.",,,,,,,,,,,Risk Prediction / Early Identification,"Predicting risk or identifying at-risk people, groups or places for screening or early targeting.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,3,,,,,,,ASSIGN_TEST_007,SYN_RECORD_007,SYN_PROJECT_007,Synthetic project 007: neutral public-register test,Synthetic dataset A007; Synthetic dataset B007,https://example.invalid/synthetic/007,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000007,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Housing & Planning; Migration & Demographics; Environment & Agriculture; Public Finance & Taxation,Methodological / Infrastructure Research; Descriptive Monitoring,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,Housing & Planning,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",,,,,Migration & Demographics,"Population structure and change, migration, fertility, ageing and mortality as a demographic outcome.",,,,,Environment & Agriculture,"Environment, climate, energy, agriculture, land use, pollution, decarbonisation and environmental impacts.",,,,,Public Finance & Taxation,"Taxation, government revenue, public spending, fiscal transfers, tax reliefs and fiscal policy.",,,,,Methodological / Infrastructure Research,"Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.",,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
