owner_id,redcap_repeat_instrument,redcap_repeat_instance,participant_info_ver,consent_form_ver,owner_instr_ver,intended_recipient,consent_read_info,consent_understand_invitation,consent_voluntary,consent_no_nonpublic,consent_confidentiality_limits,consent_withdrawal_deadline,consent_quote_process,consent_retention_reanalysis,consent_complaints,consent_acknowledgement,consent_items_complete,owner_consent,ack_pref,assignment_id,source_record_id,official_project_id,project_title,datasets_used,public_register_url,source_pop_ver,production_ver,taxonomy_ver,proposal_output_sha256,review_instr_ver,taxonomy_display_ver,prop_d01_label,prop_d01_def,po_d01_fit,po_d01_correct_explain,po_d01_vis,po_d01_vis_explain,prop_d02_label,prop_d02_def,po_d02_fit,po_d02_correct_explain,po_d02_vis,po_d02_vis_explain,prop_d03_label,prop_d03_def,po_d03_fit,po_d03_correct_explain,po_d03_vis,po_d03_vis_explain,prop_d04_label,prop_d04_def,po_d04_fit,po_d04_correct_explain,po_d04_vis,po_d04_vis_explain,prop_p01_label,prop_p01_def,po_p01_fit,po_p01_correct_explain,po_p01_vis,po_p01_vis_explain,prop_p02_label,prop_p02_def,po_p02_fit,po_p02_correct_explain,po_p02_vis,po_p02_vis_explain,prop_t01_label,prop_t01_def,prop_t01_status,po_t01_correct,po_t01_correct_explain,po_t01_vis,po_t01_vis_explain,prop_t02_label,prop_t02_def,prop_t02_status,po_t02_correct,po_t02_correct_explain,po_t02_vis,po_t02_vis_explain,po_sufficiency,po_suff_explain,po_taxonomy_fit,po_tax_explain,po_nonpublic,po_nonpublic_note,po_other_comment,owner_consent_complete,project_review_complete
OWNER_TEST_001,,,project-owner-information-v3,owner-consent-v3,owner-redcap-candidate-0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
OWNER_TEST_001,project_review,1,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_01,OWNER_TEST_SOURCE_001,OWNER_TEST_PROJECT_001,Synthetic project 001: neutral public-register rendering test,Synthetic dataset A001; Synthetic dataset B001,https://example.invalid/owner-test/001,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,5b3c09fd55ccc4a167db2fa777e13289f3cc446bf613ec67ffb9f793d7f45db5,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Labour Market & Employment,"Work, employment, earnings, job quality, workforce dynamics, skills demand and labour-market transitions.",,,,,Education & Skills,"Education, learning, training, skills formation and transitions through education systems and into work.",,,,,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,0
OWNER_TEST_001,project_review,2,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_02,OWNER_TEST_SOURCE_002,OWNER_TEST_PROJECT_002,Synthetic project 002: neutral public-register rendering test,,https://example.invalid/owner-test/002,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,81ac77631f1f690c39b36ebfcd4bc23e81751dfd06accea83ec671983a2217ee,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Education & Skills,"Education, learning, training, skills formation and transitions through education systems and into work.",,,,,,,,,,,,,,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,0
OWNER_TEST_001,project_review,3,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_03,OWNER_TEST_SOURCE_003,OWNER_TEST_PROJECT_003,Synthetic project 003: neutral public-register rendering test,Synthetic dataset A003; Synthetic dataset B003,https://example.invalid/owner-test/003,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,2f340307742ffdde02265d4140e69f08a9cd0230df60ab9d6e2de81a3cd2b868,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,,,,,,,,,,,,,Life-Course / Trajectory Analysis,"Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.",,,,,Service Interaction / Systems Analysis,"How people, cases or organisations access, use, move through or are processed by public services.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,0
OWNER_TEST_001,project_review,4,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_04,OWNER_TEST_SOURCE_004,OWNER_TEST_PROJECT_004,"Synthetic project 004: extended multi-topic wrapping test examining deliberately fictional administrative patterns across education, housing, health, employment, transport, environmental conditions, household transitions, public-service access and longitudinal outcomes in multiple synthetic cohorts","Synthetic longitudinal cohort table with deliberately extended descriptive metadata; Synthetic linked service-interaction extracts covering fictional education, housing, health, employment and transport events; Synthetic household transitions file with repeated observations and constructed contextual indicators; Synthetic environmental conditions series with fictional geographic measures; Synthetic public-service access history prepared solely to test wrapping, scrolling and participant-facing form length in REDCap live QA",https://example.invalid/owner-test/004,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,fca80db987d5a7fa74f3fb130a96180699809f8975864dfed2245ad083746310,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,Business & Productivity,"Firms, business activity, innovation, productivity, entrepreneurship, trade, investment and business performance.",,,,,"Poverty, Wealth & Living Standards","Material resources, poverty, wealth, debt, benefits, deprivation, cost of living and household income.",,,,,Housing & Planning,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",,,,,Service Interaction / Systems Analysis,"How people, cases or organisations access, use, move through or are processed by public services.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,0
OWNER_TEST_001,project_review,5,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_05,OWNER_TEST_SOURCE_005,OWNER_TEST_PROJECT_005,Synthetic project 005: employment & wellbeing boundary-rendering test,Synthetic dataset A005; Synthetic dataset B005,https://example.invalid/owner-test/005,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,4980d0ebfd081b2ec08939de60db13af021430f75e9759616194a4db652bd059,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Business & Productivity,"Firms, business activity, innovation, productivity, entrepreneurship, trade, investment and business performance.",,,,,,,,,,,,,,,,,,,,,,,Policy Evaluation / Impact Analysis,"Assessing the implementation, effects or consequences of a specific named policy, programme, regulation or intervention.",,,,,Risk Prediction / Early Identification,"Predicting risk or identifying at-risk people, groups or places for screening or early targeting.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,0
OWNER_TEST_001,project_review,6,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_06,OWNER_TEST_SOURCE_006,OWNER_TEST_PROJECT_006,"Synthetic project 006: ""Quoted title"" punctuation-rendering test",Synthetic dataset A006; Synthetic dataset B006,https://example.invalid/owner-test/006,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,2a1b6590409bf85b15d78b8df6ba7e388184438d3a006dc478551e9c48f34638,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,"Poverty, Wealth & Living Standards","Material resources, poverty, wealth, debt, benefits, deprivation, cost of living and household income.",,,,,Housing & Planning,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",,,,,,,,,,,,,,,,,Risk Prediction / Early Identification,"Predicting risk or identifying at-risk people, groups or places for screening or early targeting.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,0
OWNER_TEST_001,project_review,7,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_07,OWNER_TEST_SOURCE_007,OWNER_TEST_PROJECT_007,Synthetic project 007: neutral public-register rendering test,Synthetic dataset A007; Synthetic dataset B007,https://example.invalid/owner-test/007,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,62789d4db40584ff119b5095146f53d155c4a77f3b222339f6b681d9bdceb0be,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Housing & Planning,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",,,,,Migration & Demographics,"Population structure and change, migration, fertility, ageing and mortality as a demographic outcome.",,,,,Environment & Agriculture,"Environment, climate, energy, agriculture, land use, pollution, decarbonisation and environmental impacts.",,,,,,,,,,,Methodological / Infrastructure Research,"Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.",,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,0
OWNER_TEST_001,project_review,8,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_08,OWNER_TEST_SOURCE_008,OWNER_TEST_PROJECT_008,Synthetic project 008: neutral public-register rendering test,Synthetic dataset A008; Synthetic dataset B008,https://example.invalid/owner-test/008,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,d9f32bc85e418a95708668490031c53f0a4c807c3b6b39220a85559e048ec407,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Migration & Demographics,"Population structure and change, migration, fertility, ageing and mortality as a demographic outcome.",,,,,Environment & Agriculture,"Environment, climate, energy, agriculture, land use, pollution, decarbonisation and environmental impacts.",,,,,Public Finance & Taxation,"Taxation, government revenue, public spending, fiscal transfers, tax reliefs and fiscal policy.",,,,,Data Infrastructure & Methodology,"Data or methodology as the primary research object, rather than tools used for another question.",,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,0
OWNER_TEST_001,project_review,9,,,,,,,,,,,,,,,,,,OWNER_TEST_ASSIGN_001_09,OWNER_TEST_SOURCE_009,OWNER_TEST_PROJECT_009,Synthetic project 009: neutral public-register rendering test,Synthetic dataset A009; Synthetic dataset B009,https://example.invalid/owner-test/009,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,d3ce5872b977cab08a2750e1670ee59ec2aeadf2fb04900f7fd1ef9fdbe14806,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Environment & Agriculture,"Environment, climate, energy, agriculture, land use, pollution, decarbonisation and environmental impacts.",,,,,,,,,,,,,,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,Life-Course / Trajectory Analysis,"Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,0
