Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
owner_id,owner_consent,Owner Consent,text,Pseudonymous owner identifier,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
owner_intro,owner_consent,,descriptive,"<strong>DEA Validation Study – Project Owner Review</strong><br><br>This personalised link was sent because you are named as a researcher on one or more projects in the UK Statistics Authority public register. Researchers directly involved in a project may have relevant context that is not visible in the public register entry.<br><br>Participation is voluntary. After confirming that you are the intended recipient and agreeing to take part, your personalised list of projects will be displayed. You may review one, some, all or none of the listed projects, in any order.<br><br>Please do not forward this personalised link and do not enter confidential, sensitive or otherwise non-public information. Each project review normally takes approximately 3–5 minutes. To pause an unfinished review, select <strong>Save & Return Later</strong> before leaving. You can then return using the same personalised link.",,,,,,,,,,,,,
participant_info_link,owner_consent,,descriptive,<strong>Participant Information Sheet v3</strong><br>Read the full approved Participant Information Sheet displayed here before answering the consent questions. The controlled live configuration must attach or render Project_Owner_Participant_Information_and_Consent_v3.docx/PDF; this repository dictionary does not embed a production attachment.,,,,,,,,,,,,,
participant_info_ver,owner_consent,,text,Participant-information version token,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
consent_form_ver,owner_consent,,text,Owner-consent form version,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
owner_instr_ver,owner_consent,,text,Project Owner REDCap candidate version,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
intended_recipient,owner_consent,,radio,I confirm that I am the researcher to whom this personalised link was sent.,"1, Yes | 0, No",,,,,,,y,,,,,
wrong_recipient_stop,owner_consent,,descriptive,This personalised link is intended only for the researcher to whom it was sent. Please do not complete or forward it. No project reviews will be displayed.,,,,,,,[intended_recipient] = '0',,,,,,
consent_read_info,owner_consent,,radio,I have read and understood the participant information above.,"1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_understand_invitation,owner_consent,,radio,I understand why I have been invited and what taking part involves.,"1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_voluntary,owner_consent,,radio,"I understand that participation is voluntary and that I may review all, some or none of the projects offered.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_no_nonpublic,owner_consent,,radio,"I understand that I should not disclose confidential, sensitive or otherwise non-public information.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_confidentiality_limits,owner_consent,,radio,"I understand that my information will be handled confidentially and that direct identifiers will not appear in research outputs, but complete anonymity cannot be guaranteed because the participant group is small and responses concern publicly identifiable projects.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_withdrawal_deadline,owner_consent,,radio,"I understand that I may withdraw a submitted review by emailing the study team by Friday 2 October 2026, and that after this date responses can no longer be removed.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_quote_process,owner_consent,,radio,"I understand that if the study wishes to quote my comments, I will be sent the exact proposed wording in advance and it will only be used if I agree.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_retention_reanalysis,owner_consent,,radio,I agree that my pseudonymised research data may be retained for 10 years and used by the research team for verification and further analyses directly related to this validation study and the improvement of the classification framework and dashboard.,"1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_complaints,owner_consent,,radio,I am aware of who I should contact if I wish to lodge a complaint.,"1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_acknowledgement,owner_consent,,radio,"I understand that choosing to be acknowledged by name is optional, is separate to my decision to take part, and would make my participation in this study permanently and publicly identifiable.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',,,,,,
consent_items_complete,owner_consent,,calc,All ten owner-consent confirmations complete,"if([consent_read_info] = '1' and [consent_understand_invitation] = '1' and [consent_voluntary] = '1' and [consent_no_nonpublic] = '1' and [consent_confidentiality_limits] = '1' and [consent_withdrawal_deadline] = '1' and [consent_quote_process] = '1' and [consent_retention_reanalysis] = '1' and [consent_complaints] = '1' and [consent_acknowledgement] = '1', 1, 0)",,,,,,[intended_recipient] = '1',,,,,,@HIDDEN-SURVEY @READONLY
owner_consent,owner_consent,,radio,"I consent to participate in the study. I understand that my name, professional email address, consent record, survey responses and optional free-text comments will be used for the purposes explained to me, that UCL is the data controller, that I can contact UCL’s Data Protection Officer at data-protection@ucl.ac.uk, and that according to data protection legislation ‘public task’ will be the lawful basis for processing.","1, Yes, I agree to take part | 0, No, I do not wish to take part",An affirmative response is valid only when consent_items_complete = 1. A No response remains available without confirming every statement and invokes the configured Stop Action.,,,,,[intended_recipient] = '1',y,,,,,
consent_decline_stop,owner_consent,,descriptive,"Thank you for considering the study. You have chosen not to take part, and no project reviews will be displayed. This will have no adverse consequences.",,,,,,,[owner_consent] = '0',,,,,,
