variable,source_form,include_in_ordinary_analytical_export,restricted_or_public,notes
owner_record_id,owner_contact_admin,yes,internal_analysis,Restricted contact/consent administration
record_type,owner_contact_admin,yes,internal_analysis,Restricted contact/consent administration
owner_id,owner_contact_admin,yes,internal_analysis,Restricted contact/consent administration
oc_name,owner_contact_admin,no,restricted,Restricted contact/consent administration
oc_email,owner_contact_admin,no,restricted,Restricted contact/consent administration
oc_affiliation,owner_contact_admin,no,restricted,Restricted contact/consent administration
oc_contact_source,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_contactability,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_contact_issue_note,owner_contact_admin,no,restricted,Restricted contact/consent administration
oc_eligible_projects,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_projects_offered,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_minutes_per_project,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_est_total_minutes,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_eoi_invite_date,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_eoi_status,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_eoi_response_date,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_projects_accepted,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_followup_date,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_contact_suppression,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_recruit_route,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_sequence_pos,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_supp_reason,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_reconsent_required,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_consent_withdrawal,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_consent_withdraw_date,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_link_eligible,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_ack_permission,owner_contact_admin,no,internal_analysis,Restricted contact/consent administration
oc_ack_name,owner_contact_admin,no,restricted,Restricted contact/consent administration
