variable,form,field_type,choices,validation,branching,required,identifier,respondent_visible,ordinary_analytical_export,restriction,candidate_source
owner_record_id,owner_contact_admin,text,,,,y,,no,yes,standard,retained_unchanged_from_candidate_0.1
record_type,owner_contact_admin,radio,"1, Contact | 2, Assignment",,,y,,no,yes,standard,retained_unchanged_from_candidate_0.1
owner_id,owner_contact_admin,text,,,,y,,no,yes,standard,retained_unchanged_from_candidate_0.1
oc_name,owner_contact_admin,text,,,[record_type] = '1',y,y,no,no,direct_identifier,retained_unchanged_from_candidate_0.1
oc_email,owner_contact_admin,text,,email,[record_type] = '1',,y,no,no,direct_identifier,retained_unchanged_from_candidate_0.1
oc_affiliation,owner_contact_admin,text,,,[record_type] = '1',,y,no,no,direct_identifier,retained_unchanged_from_candidate_0.1
oc_contact_source,owner_contact_admin,dropdown,"1, Public register entry | 2, Institutional profile | 3, Public directory | 4, Existing approved contact record | 5, Other public source",,[record_type] = '1',y,,no,no,standard,retained_unchanged_from_candidate_0.1
oc_contactability,owner_contact_admin,radio,"0, Unresolved | 1, Contactable | 2, Uncontactable | 3, Identity ambiguous | 4, Contact must not proceed",,[record_type] = '1',y,,no,no,standard,retained_unchanged_from_candidate_0.1
oc_contact_issue_note,owner_contact_admin,notes,,,([record_type] = '1') and ([oc_contactability] = '2' or [oc_contactability] = '3' or [oc_contactability] = '4'),y,y,no,no,direct_identifier,retained_unchanged_from_candidate_0.1
oc_eligible_projects,owner_contact_admin,text,,integer,[record_type] = '1',y,,no,no,standard,retained_unchanged_from_candidate_0.1
oc_projects_offered,owner_contact_admin,text,,integer,[record_type] = '1',y,,no,no,standard,retained_unchanged_from_candidate_0.1
oc_minutes_per_project,owner_contact_admin,text,,integer,[record_type] = '1',y,,no,no,standard,retained_unchanged_from_candidate_0.1
oc_est_total_minutes,owner_contact_admin,text,,integer,[record_type] = '1',y,,no,no,standard,retained_unchanged_from_candidate_0.1
oc_eoi_invite_date,owner_contact_admin,text,,date_ymd,[record_type] = '1',,,no,no,standard,retained_unchanged_from_candidate_0.1
oc_eoi_status,owner_contact_admin,radio,"0, Not approached | 1, Awaiting response | 2, Interested | 3, Not interested | 4, No response | 5, Withdrawn",,[record_type] = '1',y,,no,no,standard,retained_unchanged_from_candidate_0.1
oc_eoi_response_date,owner_contact_admin,text,,date_ymd,([record_type] = '1') and ([oc_eoi_status] = '2' or [oc_eoi_status] = '3' or [oc_eoi_status] = '5'),y,,no,no,standard,retained_unchanged_from_candidate_0.1
