variable,source_form,redcap_generated_or_user_defined,data_type,allowed_values,analysis_role,project_level_or_assignment_level,required_at_lock,restricted_public_status,notes
assignment_id,assignment_admin,user-defined,string,,identifier/provenance,assignment,y,restricted response data,Hidden from reviewers
review_stream,assignment_admin,user-defined,integer,"1, Scratch coder | 2, Project owner",identifier/provenance,assignment,,restricted response data,Hidden from reviewers
reviewer_id,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
source_record_id,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
official_project_id,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
project_title,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
datasets_used,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
sample_set,assignment_admin,user-defined,integer,"1, Baseline | 2, Hard case | 3, Owner review | 4, Pilot",identifier/provenance,assignment,,restricted response data,Hidden from reviewers
hard_stratum,assignment_admin,user-defined,integer,"0, Not applicable | 1, Domain only | 2, Purpose only | 3, Both",identifier/provenance,assignment,,restricted response data,Hidden from reviewers
validation_included,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
sample_status,assignment_admin,user-defined,integer,"1, Active | 2, Reserve | 3, Review only",identifier/provenance,assignment,,restricted response data,Hidden from reviewers
display_order,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
assignment_batch,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
source_pop_ver,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
production_ver,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
instrument_ver,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
cluster_id,assignment_admin,user-defined,string,,identifier/provenance,project,,restricted response data,Hidden from reviewers
owner_resp_id,assignment_admin,user-defined,string,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
owner_project_id,assignment_admin,user-defined,string,,identifier/provenance,project,,restricted response data,Hidden from reviewers
prop_d01,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d02,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d03,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d04,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d05,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d06,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d07,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d08,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d09,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d10,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d11,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_d12,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_p01,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_p02,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_p03,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_p04,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_p05,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_p06,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_p07,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_p08,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_t01,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
prop_t02,assignment_admin,user-defined,integer,,identifier/provenance,assignment,,restricted response data,Hidden from reviewers
sc_blind_decl,scratch_coder,user-defined,integer,"1, Confirmed | 0, Cannot confirm",classification/diagnostic,assignment,y,restricted response data,
sc_exposure,scratch_coder,user-defined,integer,"0, No | 1, Yes",classification/diagnostic,assignment,y,restricted response data,
sc_exposure_note,scratch_coder,user-defined,string,,classification/diagnostic,assignment,y,restricted response data,
sc_domains___1,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Labour Market & Employment
sc_domains___2,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Education & Skills
sc_domains___3,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Health & Social Care
sc_domains___4,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Crime & Justice
sc_domains___5,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Business & Productivity
sc_domains___6,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,"Poverty, Wealth & Living Standards"
sc_domains___7,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Housing & Planning
sc_domains___8,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Migration & Demographics
sc_domains___9,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Environment & Agriculture
sc_domains___10,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Public Finance & Taxation
sc_domains___11,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Data Infrastructure & Methodology
sc_domains___12,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Unclear from Register Entry
sc_purposes___1,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Descriptive Monitoring
sc_purposes___2,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Outcome Tracking
sc_purposes___3,scratch_coder,REDCap checkbox export,integer,"0,1",classification/diagnostic,assignment,y,restricted response data,Life-Course / Trajectory Analysis
