code,rule_id,scope,layer,category,rule_type,label_group,grouping,unclear_problem
1,R001,category,Domains,Business & Productivity,definition,Domains: Business & Productivity,fixed: the rule's own label,0
2,R002,category,Domains,Business & Productivity,inclusion rule,Domains: Business & Productivity,fixed: the rule's own label,0
3,R003,category,Domains,Business & Productivity,exclusion rule,Domains: Business & Productivity,fixed: the rule's own label,0
4,R004,category,Domains,Business & Productivity,counterexample,Domains: Business & Productivity,fixed: the rule's own label,0
5,R005,category,Domains,Crime & Justice,definition,Domains: Crime & Justice,fixed: the rule's own label,0
6,R006,category,Domains,Crime & Justice,inclusion rule,Domains: Crime & Justice,fixed: the rule's own label,0
7,R007,category,Domains,Crime & Justice,exclusion rule,Domains: Crime & Justice,fixed: the rule's own label,0
8,R008,category,Domains,Crime & Justice,counterexample,Domains: Crime & Justice,fixed: the rule's own label,0
9,R009,category,Domains,Data Infrastructure & Methodology,definition,Domains: Data Infrastructure & Methodology,fixed: the rule's own label,0
10,R010,category,Domains,Data Infrastructure & Methodology,inclusion rule,Domains: Data Infrastructure & Methodology,fixed: the rule's own label,0
11,R011,category,Domains,Data Infrastructure & Methodology,exclusion rule,Domains: Data Infrastructure & Methodology,fixed: the rule's own label,0
12,R012,category,Domains,Data Infrastructure & Methodology,counterexample,Domains: Data Infrastructure & Methodology,fixed: the rule's own label,0
13,R013,category,Domains,Education & Skills,definition,Domains: Education & Skills,fixed: the rule's own label,0
14,R014,category,Domains,Education & Skills,inclusion rule,Domains: Education & Skills,fixed: the rule's own label,0
15,R015,category,Domains,Education & Skills,exclusion rule,Domains: Education & Skills,fixed: the rule's own label,0
16,R016,category,Domains,Education & Skills,counterexample,Domains: Education & Skills,fixed: the rule's own label,0
17,R017,category,Domains,Environment & Agriculture,definition,Domains: Environment & Agriculture,fixed: the rule's own label,0
18,R018,category,Domains,Environment & Agriculture,inclusion rule,Domains: Environment & Agriculture,fixed: the rule's own label,0
19,R019,category,Domains,Environment & Agriculture,exclusion rule,Domains: Environment & Agriculture,fixed: the rule's own label,0
20,R020,category,Domains,Environment & Agriculture,counterexample,Domains: Environment & Agriculture,fixed: the rule's own label,0
21,R021,category,Domains,Health & Social Care,definition,Domains: Health & Social Care,fixed: the rule's own label,0
22,R022,category,Domains,Health & Social Care,inclusion rule,Domains: Health & Social Care,fixed: the rule's own label,0
23,R023,category,Domains,Health & Social Care,exclusion rule,Domains: Health & Social Care,fixed: the rule's own label,0
24,R024,category,Domains,Health & Social Care,counterexample,Domains: Health & Social Care,fixed: the rule's own label,0
25,R025,category,Domains,Housing & Planning,definition,Domains: Housing & Planning,fixed: the rule's own label,0
26,R026,category,Domains,Housing & Planning,inclusion rule,Domains: Housing & Planning,fixed: the rule's own label,0
27,R027,category,Domains,Housing & Planning,exclusion rule,Domains: Housing & Planning,fixed: the rule's own label,0
28,R028,category,Domains,Housing & Planning,counterexample,Domains: Housing & Planning,fixed: the rule's own label,0
29,R029,category,Domains,Labour Market & Employment,definition,Domains: Labour Market & Employment,fixed: the rule's own label,0
30,R030,category,Domains,Labour Market & Employment,inclusion rule,Domains: Labour Market & Employment,fixed: the rule's own label,0
31,R031,category,Domains,Labour Market & Employment,exclusion rule,Domains: Labour Market & Employment,fixed: the rule's own label,0
32,R032,category,Domains,Labour Market & Employment,counterexample,Domains: Labour Market & Employment,fixed: the rule's own label,0
33,R033,category,Domains,Migration & Demographics,definition,Domains: Migration & Demographics,fixed: the rule's own label,0
34,R034,category,Domains,Migration & Demographics,inclusion rule,Domains: Migration & Demographics,fixed: the rule's own label,0
35,R035,category,Domains,Migration & Demographics,exclusion rule,Domains: Migration & Demographics,fixed: the rule's own label,0
36,R036,category,Domains,Migration & Demographics,counterexample,Domains: Migration & Demographics,fixed: the rule's own label,0
37,R037,category,Domains,"Poverty, Wealth & Living Standards",definition,"Domains: Poverty, Wealth & Living Standards",fixed: the rule's own label,0
38,R038,category,Domains,"Poverty, Wealth & Living Standards",inclusion rule,"Domains: Poverty, Wealth & Living Standards",fixed: the rule's own label,0
39,R039,category,Domains,"Poverty, Wealth & Living Standards",exclusion rule,"Domains: Poverty, Wealth & Living Standards",fixed: the rule's own label,0
40,R040,category,Domains,"Poverty, Wealth & Living Standards",counterexample,"Domains: Poverty, Wealth & Living Standards",fixed: the rule's own label,0
41,R041,category,Domains,Public Finance & Taxation,definition,Domains: Public Finance & Taxation,fixed: the rule's own label,0
42,R042,category,Domains,Public Finance & Taxation,inclusion rule,Domains: Public Finance & Taxation,fixed: the rule's own label,0
43,R043,category,Domains,Public Finance & Taxation,exclusion rule,Domains: Public Finance & Taxation,fixed: the rule's own label,0
44,R044,category,Domains,Public Finance & Taxation,counterexample,Domains: Public Finance & Taxation,fixed: the rule's own label,0
