candidate_key,eligible_record_id,incidence_type,potential_review_status,candidate_eligible_record_count,burden_diagnostic
CAND_001841cba60155f75107,2019/010,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_003d20f102aebbb39ebf,2023/030,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_003d20f102aebbb39ebf,2025/080,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_0049b6c211f2562f8db6,2025/169,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_007b045eca45bf9bbb75,2024/192,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_007b045eca45bf9bbb75,2025/066,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_0082db47050f1da0db5a,2021/087,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_008b9e3879274cefe052,2022/081,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_008befe6b5d349cbd011,2020/027,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_0097de876a559f0ac5aa,2020/047,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_0097de876a559f0ac5aa,2025/224,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_009f5bc661f0c0afd67c,2024/193,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_00c221b3a1778168e505,2025/067,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_00d809643947c10f9650,2020/027,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_00f52fd37f6691f105a1,2021/082,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_00f52fd37f6691f105a1,2022/047,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_00f52fd37f6691f105a1,2023/083,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_00f52fd37f6691f105a1,2023/221,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_00f52fd37f6691f105a1,2024/077,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_00f52fd37f6691f105a1,2024/078,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_00f52fd37f6691f105a1,2024/222,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_0116b514df31884128f0,2022/070,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_011c3c57f4e045648464,2024/052,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_01273e1b5aedb18357e4,2022/153,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_019527f92c3c38b62ef6,2025/223,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_022a0f62b1c0d1d7aea4,2023/062,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_025285377e2f1e395519,2024/173,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_025e11916f30fa20a358,2021/022,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_025e11916f30fa20a358,2021/140,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_025e11916f30fa20a358,2023/013,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_025e11916f30fa20a358,2023/300,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_025e11916f30fa20a358,2024/054,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_025e11916f30fa20a358,2025/119,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_025e11916f30fa20a358,2026/035,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,7,
CAND_0264f68794137674bacd,2023/220,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_02660b028ac9512f3738,2022/161,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_02660b028ac9512f3738,2025/019,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_02697fc99bdeac18dbc7,2025/072,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_02fee7fb02cd1fc396fe,2022/027,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_034573a675a0f8393736,2020/104,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_034b8b12cfa64e635bc6,2019/005,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_03801e3f4d4923b6e5f2,2023/042,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_03d8e774b736b29912bf,2023/291,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_03e4c75684a51d7478cb,2021/115,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,3,
CAND_03e4c75684a51d7478cb,2022/081,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,3,
CAND_03e4c75684a51d7478cb,2024/169,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,3,
CAND_03e9d72d426f0a67add2,2025/114,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_0406de93a548c638ac34,2022/070,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_04192000702985449c76,2021/028,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_042330d34241d3fbebcb,2025/129,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_042485ca420b4a0febb4,2020/027,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_042888acdbf90238d552,2025/096,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_043de2506644d9cd7f3d,2023/289,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_0463e251dcddb1017d6e,2020/040,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_04700179308094ff127b,2020/063,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_0476f61c208f3523584c,2023/204,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_04df184efd5a7f7dd945,2023/102,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_04f5f4f97ac61401a9b3,2022/120,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_0510dbf777f346364a54,2021/166,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_052146a645a336cedb67,2024/094,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_055f0cda178191e3e070,2020/036,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_0585e066b52771a5342a,2023/055,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_0585e066b52771a5342a,2024/013,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,2,
CAND_05a36778d13849b82325,2024/141,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_05b052f9ce1392bb9618,2025/112,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_05f2280a81fbca072e8f,2022/063,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,1,
CAND_0605e57a13001f42a84c,2020/012,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,8,
CAND_0605e57a13001f42a84c,2020/018,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,8,
CAND_0605e57a13001f42a84c,2020/050,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,8,
CAND_0605e57a13001f42a84c,2020/061,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,8,
CAND_0605e57a13001f42a84c,2022/197,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,8,
CAND_0605e57a13001f42a84c,2023/164,NAMED_PERSON_ON_ELIGIBLE_RECORD,POTENTIAL_NOT_PRODUCTION_ASSIGNMENT,8,
