owner_id,redcap_repeat_instrument,redcap_repeat_instance,participant_info_ver,consent_form_ver,owner_instr_ver,intended_recipient,consent_read_info,consent_understand_invitation,consent_voluntary,consent_no_nonpublic,consent_confidentiality_limits,consent_withdrawal_deadline,consent_quote_process,consent_retention_reanalysis,consent_complaints,consent_acknowledgement,consent_items_complete,owner_consent,ack_pref,assignment_id,source_record_id,official_project_id,project_title,datasets_used,public_register_url,source_pop_ver,production_ver,taxonomy_ver,proposal_output_sha256,review_instr_ver,taxonomy_display_ver,prop_d01_label,prop_d01_def,po_d01_fit,po_d01_correct_explain,po_d01_vis,po_d01_vis_explain,prop_d02_label,prop_d02_def,po_d02_fit,po_d02_correct_explain,po_d02_vis,po_d02_vis_explain,prop_d03_label,prop_d03_def,po_d03_fit,po_d03_correct_explain,po_d03_vis,po_d03_vis_explain,prop_d04_label,prop_d04_def,po_d04_fit,po_d04_correct_explain,po_d04_vis,po_d04_vis_explain,prop_p01_label,prop_p01_def,po_p01_fit,po_p01_correct_explain,po_p01_vis,po_p01_vis_explain,prop_p02_label,prop_p02_def,po_p02_fit,po_p02_correct_explain,po_p02_vis,po_p02_vis_explain,prop_t01_label,prop_t01_def,prop_t01_status,po_t01_correct,po_t01_correct_explain,po_t01_vis,po_t01_vis_explain,prop_t02_label,prop_t02_def,prop_t02_status,po_t02_correct,po_t02_correct_explain,po_t02_vis,po_t02_vis_explain,po_miss_domain_basis,po_miss_purpose_basis,po_miss_tag_basis,po_sufficiency,po_suff_explain,po_taxonomy_fit,po_tax_explain,po_nonpublic,po_nonpublic_note,po_other_comment,owner_consent_complete,project_review_complete
OWNER_009,,,project-owner-information-v3.2,owner-consent-v3,owner-redcap-candidate-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
OWNER_009,project_review,1,,,,,,,,,,,,,,,,,,REV-AJQB-KGSF,2020/118,2020/118,"Utilising routine data and machine learning techniques to discover new multi-morbidity and polypharmacy phenotype's associated with poorer outcomes, health, resilience and wellbeing in the Welsh population",SAIL Databank Databank: 2011 Census Data Welsh residents,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,,,,,,,,,,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,Methodological / Infrastructure Research,"Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,0
OWNER_009,project_review,2,,,,,,,,,,,,,,,,,,REV-4PXJ-XGSM,2020/127,2020/127,Establishing the impact of COVID-19 on the health of domiciliary care workers in Wales: developing a model for UK service planning and carer support,SAIL Databank Databank: 2011 Census Data Welsh residents,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Labour Market & Employment,"Work, employment, earnings, job quality, workforce dynamics, skills demand and labour-market transitions.",,,,,,,,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,,,,0
OWNER_009,project_review,3,,,,,,,,,,,,,,,,,,REV-D67Y-5ME5,2020/128,2020/128,The Role of Area-level deprivation for private and public family law cases concerning children in England and Wales,SAIL Databank Databank: 2011 Census Data Welsh residents,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,,,,,,,,,,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,0
OWNER_009,project_review,4,,,,,,,,,,,,,,,,,,REV-84JK-EHBN,2020/129,2020/129,Born into care: Newborns in care proceedings in Wales,SAIL Databank Databank: 2011 Census Data Welsh residents,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,,,,,,,,,,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,0
OWNER_009,project_review,5,,,,,,,,,,,,,,,,,,REV-89G9-V4Q9,2021/025,2021/025,Welsh virtual population vaccination and outcome registry,SAIL Databank Databank: 2011 Census Data Welsh residents,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Data Infrastructure & Methodology,"Data or methodology as the primary research object, rather than tools used for another question.",,,,,,,,,,,,,,,,,Methodological / Infrastructure Research,"Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,0
OWNER_009,project_review,6,,,,,,,,,,,,,,,,,,REV-WHFP-H8SV,2022/030,2022/030,WMCC - Wales Multi-morbidity Cardiovascular COVID-19 UK,SAIL Databank Databank: 2011 Census Data Welsh residents,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,,,,,,,,,,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,,,,0
OWNER_009,project_review,7,,,,,,,,,,,,,,,,,,REV-FHX5-6NRZ,2022/038,2022/038,The inequalities in the patterns of needs for mental health illness and crisis for children and young people in Wales,SAIL Databank Databank: 2011 Census Data Welsh residents,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,,,,,,,,,,,,,,,,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,0
OWNER_009,project_review,8,,,,,,,,,,,,,,,,,,REV-CEWY-9MYY,2022/057,2022/057,The inequalities in the patterns of needs for carers and cared for people receiving support from local authorities across Wales,SAIL Databank Databank: 2011 Census Data Welsh residents,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,,,,,,,,,,,,,,,,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,0
OWNER_009,project_review,9,,,,,,,,,,,,,,,,,,REV-YT72-56VR,2022/111,2022/111,"Private family law cases in England and Wales: profiles, pathways and outcomes",Ministry of Justice: MoJ Data First family court data extract,,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,6f4ff530a3620167c37dc0ddee927ac592ca4ea2410c663535674503f811e299,owner-redcap-candidate-0.4,project-owner-taxonomy-display-v1,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,,,,,,,,,,,,,,,,,,,Service Interaction / Systems Analysis,"How people, cases or organisations access, use, move through or are processed by public services.",,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,0
