rank,canonical_value,affected_records,total_occurrences,unique_records,changed_occurrences,n_distinct_raw_variants,existing_match_types,raw_variants,raw_variants_suppressed,suppression_reason
1,Business Structure Database (BSD),281,283,283,281,7,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
2,Annual Business Survey (ABS),230,231,231,230,10,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
3,Annual Survey of Hours and Earnings (ASHE),200,205,204,201,11,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
4,Annual Population Survey (APS),173,183,176,180,9,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
5,Longitudinal Education Outcomes (LEO),116,119,118,117,15,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
6,Business Enterprise Research and Development (BERD),81,83,82,82,10,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
7,UK Innovation Survey (UKIS),79,79,79,79,4,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
8,Business Register and Employment Survey (BRES),65,67,66,66,6,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
9,Labour Force Survey (LFS),61,81,62,80,4,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
10,ONS Longitudinal Study (LS),54,57,56,55,7,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
11,Labour Force Survey Person,49,68,68,49,7,identity; normalised_format,,True,reserve membership artefacts unavailable; all observed raw strings withheld
12,Annual Respondents Database X,41,62,62,41,10,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
13,Business Insights and Conditions Survey (BICS),40,41,41,40,7,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
14,Education and Child Health Insights from Linked Data (ECHILD),40,41,41,40,4,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
15,Crime Survey for England and Wales (CSEW),39,41,40,40,3,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
16,Living Costs and Food Survey (LCF),39,39,39,39,4,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
17,Labour Force Survey Household,36,48,48,36,8,identity; normalised_format,,True,reserve membership artefacts unavailable; all observed raw strings withheld
18,Annual Survey of Hours and Earnings Longitudinal,36,42,41,37,10,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
19,Longitudinal Small Business Survey (LSBS),34,35,35,34,4,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
20,Understanding Society,32,58,58,32,4,alias; identity; normalised_format,,True,reserve membership artefacts unavailable; all observed raw strings withheld
21,Wealth and Assets Survey (WAS),29,29,29,29,4,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
22,Labour Force Survey Longitudinal,27,39,39,27,5,identity; normalised_format,,True,reserve membership artefacts unavailable; all observed raw strings withheld
23,Universities and Colleges Admissions Service (UCAS),25,25,25,25,6,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
