field,canonical_entity,source_form_class,distinct_observed_forms,total_occurrences,modal_form_occurrences,minimum_required_relabels,records,changed_occurrences,fragmentation_rank
datasets,Annual Respondents Database,fragmented_observed_forms,3,45,43,2,40,2,74
datasets,Annual Population Survey (APS),fragmented_observed_forms,9,183,131,52,176,180,5
datasets,Crime Survey for England and Wales (CSEW),fragmented_observed_forms,3,41,39,2,40,40,75
datasets,Labour Force Survey (LFS),fragmented_observed_forms,4,81,70,11,62,80,23
datasets,Understanding Society,fragmented_observed_forms,4,58,28,30,58,32,10
datasets,Business Structure Database (BSD),fragmented_observed_forms,7,283,176,107,283,281,1
datasets,UK Innovation Survey (UKIS),fragmented_observed_forms,4,79,75,4,79,79,52
datasets,Annual Business Survey (ABS),fragmented_observed_forms,10,231,143,88,231,230,2
datasets,Business Enterprise Research and Development (BERD),fragmented_observed_forms,10,83,33,50,82,82,6
datasets,Business Register and Employment Survey (BRES),fragmented_observed_forms,6,67,25,42,66,66,7
datasets,UK Manufacturers' Sales by Product Survey,fragmented_observed_forms,5,18,7,11,18,11,28
datasets,Quarterly Acquisitions and Disposals of Capital Assets Survey,fragmented_observed_forms,3,14,11,3,14,3,62
datasets,Living Costs and Food Survey (LCF),fragmented_observed_forms,4,39,29,10,39,39,29
datasets,International Trade in Services,fragmented_observed_forms,6,36,17,19,36,19,15
datasets,Business Expenditure on Research and Development,fragmented_observed_forms,3,16,14,2,16,2,76
datasets,E-Commerce Survey,fragmented_observed_forms,5,17,7,10,17,10,31
datasets,Annual Survey of Goods and Services,fragmented_observed_forms,2,6,3,3,6,3,70
datasets,Wealth and Assets Survey (WAS),fragmented_observed_forms,4,29,17,12,29,29,22
datasets,Annual Survey of Hours and Earnings (ASHE),fragmented_observed_forms,11,205,123,82,204,201,3
datasets,Retail Price Index,single_observed_form,1,1,1,0,1,0,
datasets,Annual Foreign Direct Investment Survey,fragmented_observed_forms,4,22,11,11,22,11,25
datasets,Mergers and Acquisitions Survey,fragmented_observed_forms,3,4,2,2,4,4,90
datasets,Business Structure Database Longitudinal,fragmented_observed_forms,6,20,7,13,20,14,21
datasets,Death Registrations,fragmented_observed_forms,4,22,18,4,21,4,54
datasets,Census 2011 Household Sample,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011,fragmented_observed_forms,3,29,25,4,27,4,53
datasets,ONS Longitudinal Study (LS),fragmented_observed_forms,7,57,21,36,56,55,9
datasets,Longitudinal Small Business Survey (LSBS),fragmented_observed_forms,4,35,25,10,35,34,30
datasets,Small Business Survey,fragmented_observed_forms,2,7,5,2,7,2,81
datasets,Census 2011 Individual Sample England and Wales,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011 Origin-Destination Flow,single_observed_form,1,1,1,0,1,1,
datasets,Business Insights and Conditions Survey (BICS),fragmented_observed_forms,7,41,16,25,41,40,13
datasets,UK Household Longitudinal Study Mainstage Survey Wave 9,single_observed_form,1,1,1,0,1,1,
datasets,UK Household Longitudinal Study Mainstage Survey Wave 6,single_observed_form,1,1,1,0,1,0,
datasets,Universities and Colleges Admissions Service (UCAS),fragmented_observed_forms,6,25,8,17,25,25,18
datasets,Monthly Business Survey,fragmented_observed_forms,3,9,7,2,9,2,78
datasets,Quarterly Labour Force Survey,single_observed_form,1,48,48,0,46,0,
datasets,Labour Force Survey Person,fragmented_observed_forms,7,68,39,29,68,49,11
