analysis_type,field,rank,canonical_entity,distinct_observed_forms,total_occurrences,modal_form_occurrences,minimum_required_relabels,records,form_rank,raw_observed_form,form_occurrences,form_records,production_canonical_form,transformation_class,disclosure_status
fragmented_entity,datasets,1,Business Structure Database (BSD),7,283,176,107,283,,,,,,,aggregate_only
fragmented_entity_source_form,datasets,1,Business Structure Database (BSD),,,,,,1,Business Structure Database,176,176,Business Structure Database (BSD),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,1,Business Structure Database (BSD),,,,,,2,Business Structure Database - UK,88,88,Business Structure Database (BSD),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,1,Business Structure Database (BSD),,,,,,3,Business Structure Database UK,14,14,Business Structure Database (BSD),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,1,Business Structure Database (BSD),,,,,,4,Business Structure Database (BSD),2,2,Business Structure Database (BSD),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,1,Business Structure Database (BSD),,,,,,5,Business Structure Database (1997-2023),1,1,Business Structure Database (BSD),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,1,Business Structure Database (BSD),,,,,,6,Business structure Database - UK,1,1,Business Structure Database (BSD),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,1,Business Structure Database (BSD),,,,,,7,Business structure database,1,1,Business Structure Database (BSD),fragmented_observed_forms,public_register_raw_form
fragmented_entity,datasets,2,Annual Business Survey (ABS),10,231,143,88,231,,,,,,,aggregate_only
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,1,Annual Business Survey,143,143,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,2,Annual Business Survey - GB,44,44,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,3,Annual Business Survey - UK,31,31,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,4,Annual Business Survey GB,4,4,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,5,Annual Business Survey UK,4,4,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,6,Annual Business Survey (ABS),1,1,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,7,Annual Business Survey 1973 onwards),1,1,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,8,Annual Business Survey 2005-2022,1,1,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,9,Annual Business Survey Household Datasets,1,1,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,2,Annual Business Survey (ABS),,,,,,10,Annual Business Survey in Great Britain,1,1,Annual Business Survey (ABS),fragmented_observed_forms,public_register_raw_form
fragmented_entity,datasets,3,Annual Survey of Hours and Earnings (ASHE),11,205,123,82,204,,,,,,,aggregate_only
fragmented_entity_source_form,datasets,3,Annual Survey of Hours and Earnings (ASHE),,,,,,1,Annual Survey of Hours and Earnings,123,123,Annual Survey of Hours and Earnings (ASHE),fragmented_observed_forms,public_register_raw_form
fragmented_entity_source_form,datasets,3,Annual Survey of Hours and Earnings (ASHE),,,,,,2,Annual Survey of Hours and Earnings - UK,41,41,Annual Survey of Hours and Earnings (ASHE),fragmented_observed_forms,public_register_raw_form
