rank,canonical_value,affected_records,total_occurrences,unique_records,changed_occurrences,n_distinct_raw_variants,existing_match_types,raw_variants,raw_variants_suppressed,suppression_reason
1,University College London (UCL),120,120,120,120,12,alias; identity; parser_cleanup,,True,reserve membership artefacts unavailable; all observed raw strings withheld
2,London School of Economics and Political Science (LSE),97,97,97,97,9,alias; parser_cleanup,,True,reserve membership artefacts unavailable; all observed raw strings withheld
3,Institute for Fiscal Studies (IFS),67,67,67,67,3,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
4,Office for National Statistics (ONS),47,47,47,47,3,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
5,King's College London (KCL),32,32,32,32,5,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
6,University of Manchester,25,43,43,25,4,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
7,Ipsos,22,27,27,22,5,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
8,University of Edinburgh,18,31,31,18,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
9,National Institute for Economic and Social Research (NIESR),15,15,15,15,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
10,Public Health Wales (PHW),15,15,15,15,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
11,National Foundation for Education Research (NFER),14,14,14,14,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
12,London School of Hygiene and Tropical Medicine (LSHTM),13,13,13,13,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
13,Durham University,11,19,19,11,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
14,Cardiff University,9,37,37,9,3,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
15,Queen Mary University of London,9,16,16,9,6,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
16,"City, University of London",9,11,11,9,4,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
17,Greater London Authority (GLA),9,9,9,9,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
18,Aston University,8,14,14,8,4,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
19,University of the West of England,8,10,10,8,3,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
20,Competition and Markets Authority (CMA),8,8,8,8,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
21,Agri-Food and Biosciences Institute,7,7,7,7,4,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
22,PwC LLP,7,7,7,7,4,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
23,Lancaster University,6,18,18,6,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
24,Northern Ireland Statistics and Research Agency (NISRA),6,7,7,6,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
25,University of Liverpool,5,20,20,5,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
26,"Royal Holloway, University of London",5,9,9,5,4,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
27,"Department for Business, Energy and Industrial Strategy (BEIS)",5,5,5,5,2,alias; identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
28,Department of Health and Social Care (DHSC),5,5,5,5,2,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
29,Department for Business and Trade (DBT),5,5,5,5,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
